"treatment_combo","covariate","trait","level","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Earring_No+Fur_Red","Earring_No","Earring","No",2,26,0.884682784648852,0.650839206924667,-0.390962060923496,2.1603276302212,142.221590553519
"Earring_No+Fur_Red","Earring_No","Earring","No",2,66,1.24766945394163,0.729263013146379,-0.181686051825274,2.67702495970853,248.221802388344
"Earring_No+Fur_Red","Earring_No","Earring","No",2,68,0.892000995962623,0.618394324780327,-0.320051880606818,2.10405387253206,144.0007214255
"Earring_No+Fur_Red","Earring_No","Earring","No",2,119,0.914539227966091,0.656359076222348,-0.371924561429711,2.20100301736189,149.562507269941
"Earring_No+Fur_Red","Earring_No","Earring","No",2,318,0.903875809919316,0.638953129908928,-0.348472324702182,2.15622394454081,146.915456314218
"Earring_No+Fur_Red","Earring_No","Earring","No",2,323,0.948864433106778,0.759907214998731,-0.540553708290734,2.43828257450429,158.27750795524
"Earring_No+Fur_Red","Earring_No","Earring","No",2,365,0.901067230191619,0.657854238145942,-0.388327076574428,2.19046153695767,146.222947507473
"Earring_No+Fur_Red","Earring_No","Earring","No",2,388,0.933061535737178,0.634295912719947,-0.310158453193918,2.17628152466827,154.228055815086
"Earring_No+Fur_Red","Earring_No","Earring","No",2,404,0.924588433260667,0.604203316298578,-0.259650066684546,2.10882693320588,152.083055681798
"Earring_No+Fur_Red","Earring_No","Earring","No",2,412,0.91767935563602,0.585739961103892,-0.230370968127609,2.06572967939965,150.347397086568
"Earring_No+Fur_Red","Earring_No","Earring","No",2,428,0.858630573766566,0.592583905154002,-0.302833880335278,2.02009502786841,135.992673429783
"Earring_No+Fur_Red","Earring_No","Earring","No",2,443,0.855200494329361,0.616095709507584,-0.352347096305504,2.06274808496423,135.184586506782
"Earring_No+Fur_Red","Earring_No","Earring","No",2,471,0.873274850145836,0.623731311887421,-0.349238521153509,2.09578822144518,139.474044224847
"Earring_No+Fur_Red","Earring_No","Earring","No",2,501,0.905223157982947,0.591074504762077,-0.253282871350724,2.06372918731662,147.248361595445
"Earring_No+Fur_Red","Earring_No","Earring","No",2,505,0.851107469387405,0.641049327784644,-0.405349213070498,2.10756415184531,134.223937449655
"Earring_No+Fur_Red","Earring_No","Earring","No",2,528,0.855646102940139,0.558224134727132,-0.23847320112504,1.94976540700532,135.289410137073
"Earring_No+Fur_Red","Earring_No","Earring","No",2,641,0.87079758515892,0.607242056984891,-0.319396846531467,2.06099201684931,138.881537760582
"Earring_No+Fur_Red","Earring_No","Earring","No",2,646,0.891703594804733,0.591386912667498,-0.267414754023564,2.05082194363303,143.928166117973
"Earring_No+Fur_Red","Earring_No","Earring","No",2,712,0.915203068705516,0.684213315631217,-0.425855029931669,2.2562611673427,149.728232030638
"Earring_No+Fur_Red","Earring_No","Earring","No",2,715,0.916602054414926,0.643811170870895,-0.345267840492028,2.17847194932188,150.077842751666
"Earring_No+Fur_Red","Earring_No","Earring","No",2,720,0.913058636034656,0.704020853076625,-0.466822235995529,2.29293950806484,149.193280439871
"Earring_No+Fur_Red","Earring_No","Earring","No",2,748,0.889344075747613,0.621592090615383,-0.328976421858537,2.10766457335376,143.353291442035
