"treatment_combo","covariate","trait","level","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,5,-0.0954255883719143,0.0532035343684496,-0.199704515734076,0.00885333899024696,-9.10140017347972
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,10,-0.0927204759500375,0.051778852095042,-0.19420702605632,0.00876607415624489,-8.85517636055829
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,12,-0.103543382024986,0.045096639919512,-0.19193279626723,-0.0151539677827425,-9.83630929414275
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,16,-0.0869671085331226,0.050837825591411,-0.186609246692288,0.012675029626043,-8.32927530166611
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,25,-0.0916857196909793,0.0499824609436685,-0.18965134314057,0.00627990375861104,-8.76081487166556
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,27,-0.0927512484540333,0.0481061833834606,-0.187039367885616,0.00153687097754948,-8.85798107185371
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,32,-0.0924479666263136,0.0508070320250084,-0.19202974939533,0.00713381614270275,-8.83033516173195
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,34,-0.0900645489055553,0.0502044801754035,-0.188465330049346,0.00833623223823554,-8.61278060825999
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,35,-0.0889512234466325,0.0545247697992464,-0.195819772253155,0.0179173253598905,-8.51098023233093
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,36,-0.0934182711743692,0.0500499478117447,-0.191516168885389,0.00467962653665048,-8.91875459834132
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,42,-0.0885076345661737,0.0540574189080431,-0.194460175625938,0.0174449064935907,-8.47038771794955
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,47,-0.0906596856169133,0.0514412277717929,-0.191484492049627,0.0101651208158007,-8.66715231656429
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,48,-0.0966430657148938,0.0516238544057453,-0.197825820350155,0.00453968892036691,-9.21199981933422
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,53,-0.0946561566218364,0.0531890685794745,-0.198906731037606,0.0095944177939337,-9.03143299070148
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,56,-0.0909263912994509,0.0568353507810951,-0.202323678830397,0.0204708962314955,-8.6915080579921
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,57,-0.0990641793897957,0.0509904183452194,-0.199005399346426,0.000877040566834353,-9.43154201254298
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,60,-0.0932755867950218,0.0519294841589334,-0.195057375746531,0.00850620215648755,-8.905757800173
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,62,-0.0946061996470558,0.0538620553343962,-0.200175828102472,0.0109634288083609,-9.02688836277659
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,64,-0.0925236988558776,0.0500482418011492,-0.19061825278613,0.00557085507437491,-8.83723938227944
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,70,-0.0934995690134716,0.0547584017729116,-0.200826036488378,0.0138268984614352,-8.92615900578998
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,76,-0.0902567816133175,0.0503575228533665,-0.188957526405916,0.00844396317928078,-8.63034653247183
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,77,-0.093858870732899,0.0532952892677307,-0.198317637697651,0.0105998962318532,-8.9588761154452
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,92,-0.0942533688965939,0.0527499574991643,-0.197643285594956,0.00913654780176819,-8.99478458825939
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,104,-0.0907621024659906,0.0507509884781822,-0.190234039883228,0.00870983495124647,-8.67650586005287
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,106,-0.0920162215901752,0.0483407968721776,-0.186764183459643,0.00273174027929296,-8.79096461308372
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,115,-0.092482466133792,0.0465479344064081,-0.183716417570352,-0.00124851469723219,-8.83348041601066
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,117,-0.0931380689228437,0.0521819316865237,-0.19541465502843,0.00913851718274271,-8.89322985242939
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,118,-0.092776463860665,0.0526487223764514,-0.19596795971851,0.0104150319971798,-8.86027922594764
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,120,-0.0951175059600018,0.0460980694365998,-0.185469722055737,-0.00476528986426619,-9.0733915993527
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,123,-0.0924196872070482,0.0534140360381517,-0.197111197841826,0.0122718234277292,-8.8277569001
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,128,-0.0924885451096447,0.0595002877008454,-0.209109109003302,0.0241320187840123,-8.83403461339731
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,131,-0.0928787310412404,0.0533899251729066,-0.197522984380137,0.0117655222976565,-8.86959935165003
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,135,-0.0958818576889007,0.0513252200053086,-0.196479288899306,0.00471557352150422,-9.1428649552644
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,142,-0.0913202661148862,0.0520374860552922,-0.193313738783259,0.0106732065534865,-8.72746509165358
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,145,-0.0937945784223178,0.0541849370407851,-0.199997055022257,0.0124078981776211,-8.95302268306942
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,153,-0.0944555808409282,0.0524296130987966,-0.19721762251457,0.00830646083271319,-9.01318506935113
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,155,-0.0921350952604191,0.0516644541213622,-0.193397425338289,0.00912723481745087,-8.80180632146996
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,159,-0.0963105377765667,0.0507419139807431,-0.195764689178823,0.00314361362568974,-9.18180525281904
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,168,-0.0913217955358222,0.0449847280301064,-0.179491862474831,-0.00315172859681372,-8.7276046856726
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,171,-0.0936737939611458,0.0538976377116421,-0.199313163875964,0.0119655759536726,-8.94202495880914
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,172,-0.0960513511137214,0.0541878257075194,-0.202259489500459,0.0101567872730166,-9.15826333725341
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,176,-0.0913217577435972,0.0591617626534933,-0.207278812544444,0.0246352970572496,-8.72760123628563
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,184,-0.0933382940010845,0.0455977916097402,-0.182709965556175,-0.00396662244599362,-8.91146988649338
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,186,-0.0892184023330224,0.0514670874760815,-0.190093893786142,0.0116570891200973,-8.53542090158859
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,189,-0.0942790529865121,0.0555128614462974,-0.203084261421255,0.0145261554482307,-8.9971219443785
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,202,-0.0923177568749745,0.0541156423381825,-0.198384415857812,0.0137489021078631,-8.81846320943849
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,203,-0.0984724023057691,0.0484992943360677,-0.193531019204462,-0.00341378540707635,-9.37792981289938
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,204,-0.0899112411434159,0.0518822493726461,-0.191600449913802,0.0117779676269704,-8.59876916416277
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,206,-0.0936101396211447,0.0507433764987897,-0.193067157558773,0.00584687831648305,-8.93622853902437
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,213,-0.0922393111064642,0.0538202224610931,-0.197726947130207,0.0132483249172783,-8.81131012315
"Earring_No+Fur_Tan","Earring_No","Earring","No",2,216,-0.0935979030496639,0.0490703090270995,-0.189775708742779,0.00257990264345113,-8.93511422385789
