"treatment_combo","covariate","trait","level","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,1,-0.0914030576243721,0.0438509321788293,-0.177350884694878,-0.00545523055386662,-8.7350213697911
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,3,-0.0907483945049612,0.0448654788041263,-0.178684732961049,-0.00281205604887369,-8.67525399257387
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,4,-0.0942306663662359,0.0419863116201495,-0.176523837141729,-0.0119374955907428,-8.99271851614133
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,7,-0.0959504468898832,0.0436648734069195,-0.181533598767445,-0.010367295012321,-9.14909655984785
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,9,-0.0916176927240261,0.0461255010371979,-0.182023674756934,-0.00121171069111814,-8.75460793551687
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,10,-0.094986173870698,0.0428824500303732,-0.179035775930229,-0.0109365718111666,-9.06144923370737
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,11,-0.0937329910083795,0.0440769849012368,-0.180123881414804,-0.00734210060195538,-8.947415162515
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,12,-0.093352582444262,0.0448402712644749,-0.181239514122633,-0.00546565076589134,-8.91277139048179
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,13,-0.0922699099541461,0.0403860131075545,-0.171426495644953,-0.0131133242633393,-8.81410034929278
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,14,-0.0943922083728433,0.0463380715443131,-0.185214828599697,-0.00356958814598965,-9.00741882761723
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,15,-0.0946759315360011,0.0444682525699642,-0.181833706573131,-0.00751815649887126,-9.0332318685194
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,16,-0.0938341742443391,0.0467688447599267,-0.185501109973795,-0.00216723851488283,-8.95662769160674
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,17,-0.0958105824460656,0.0440126384253464,-0.182075353759745,-0.00954581113238658,-9.1363888601109
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,18,-0.0953844181421834,0.0468306080278709,-0.18717240987681,-0.00359642640755643,-9.09765778020557
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,19,-0.0896722952646593,0.0470964224573801,-0.181981283281124,0.0026366927518057,-8.5769266072507
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,20,-0.0919559997576923,0.0484395280481819,-0.186897474732129,0.00298547521674419,-8.7854716724379
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,23,-0.0901149425176209,0.0426173572129814,-0.173644962655064,-0.00658492238017738,-8.61738582430405
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,24,-0.0933212191242516,0.0468589902129811,-0.185164839941695,-0.00147759830680871,-8.90991454778224
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,25,-0.095988661908964,0.0434906000276811,-0.181230237963219,-0.010747085854709,-9.1525683625184
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,26,-0.0970935103331423,0.0438573626886009,-0.1830539412028,-0.0111330794634845,-9.25288557634122
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,27,-0.0952572449753788,0.0434253612247258,-0.180370952975841,-0.0101435369749162,-9.08609670636192
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,29,-0.0934030159386386,0.046318116009554,-0.184186523317364,-0.00261950855991272,-8.9173651218737
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,31,-0.0908388822987847,0.0472446103086539,-0.183438318503746,0.00176055390617685,-8.68351739348748
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,32,-0.0905305321436798,0.0435406600748661,-0.175870225890417,-0.0051908383969422,-8.65535560028862
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,33,-0.0922603162565816,0.045041307321882,-0.18054127860747,-0.00397935390569293,-8.81322553515304
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,34,-0.0943572223709605,0.0443130136023638,-0.181210729031594,-0.00750371571032736,-9.00423530531198
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,35,-0.0950635039200895,0.0428148853732836,-0.178980679251725,-0.0111463285884537,-9.06848124443336
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,36,-0.0919764997932607,0.0438838162097055,-0.177988779564284,-0.00596422002223783,-8.78734155434658
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,37,-0.0968949816430025,0.042221869131536,-0.179649845140813,-0.0141401181451919,-9.23486788212529
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,38,-0.0925021840515936,0.0439144782384063,-0.17857456139887,-0.00642980670431725,-8.8352780122276
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,39,-0.0962671411517285,0.0431154923351074,-0.180773506128539,-0.0117607761749179,-9.17786396417443
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,40,-0.0909287724885522,0.046882565838074,-0.182818601531177,0.000961056554072803,-8.69172548051911
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,41,-0.0964203253223185,0.0432541377249453,-0.181198435263211,-0.0116422153814257,-9.19177541222027
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,42,-0.0934649006104937,0.0487906627900427,-0.189094599678977,0.00216479845799002,-8.92300156643827
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,43,-0.0925249716511152,0.0444335420028601,-0.179614713976721,-0.00543522932550931,-8.83735541373316
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,44,-0.0921892652788825,0.0460113801833707,-0.182371570438289,-0.00200696011947582,-8.8067463955022
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,45,-0.0931259293613653,0.0466892887298309,-0.184636935271834,-0.00161492345089671,-8.89212384947889
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,46,-0.0926582051082546,0.0471015813294997,-0.184977304514074,-0.0003391057024352,-8.84950051894822
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,47,-0.0910461391066887,0.0420966338650144,-0.173555541482117,-0.00853673673126047,-8.70244139504971
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,48,-0.0938753519643882,0.0453621634748595,-0.182785192375113,-0.00496551155366362,-8.96037657291826
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,50,-0.0941806540263842,0.0453258950683614,-0.183019408360372,-0.00534189969239587,-8.98816691523362
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,51,-0.0939524202405988,0.0430497958325956,-0.178330020072486,-0.00957482040871142,-8.9673925694038
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,53,-0.091370173818201,0.0396775925928983,-0.169138255300282,-0.0136020923361203,-8.73202018057862
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,54,-0.094322507151672,0.0454268506479609,-0.183359134421675,-0.00528587988166863,-9.00107631255404
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,56,-0.0914200531534523,0.0463041918282374,-0.182176269136798,-0.000663837170107109,-8.73657245320862
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,57,-0.0936883997502527,0.0481379671079174,-0.188038815281771,0.000662015781265471,-8.94335492267648
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,58,-0.0936849701038731,0.0430280751292517,-0.178019997357206,-0.00934994285053985,-8.94304263004783
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,60,-0.0974425460833512,0.0434438581332979,-0.182592508024615,-0.0122925841420874,-9.28455403646949
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,61,-0.0942761596273826,0.0440507092755171,-0.180615549807396,-0.00793676944736914,-8.99685863998954
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,62,-0.092030403002378,0.0445499830180925,-0.179348369717839,-0.00471243628691678,-8.79225807683958
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,64,-0.092933193497802,0.0439452857472207,-0.179065953562354,-0.0068004334332495,-8.8745624019856
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,65,-0.0911185674299008,0.0446376680706147,-0.178608396848306,-0.00362873801149591,-8.70905368467141
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,66,-0.0920174514188847,0.0443548073416826,-0.178952873808583,-0.00508202902918684,-8.79107678450502
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,67,-0.0880845785466128,0.0454456163794791,-0.177157986650392,0.000988829557166157,-8.43165737253031
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,68,-0.0930327679206928,0.0415442878213532,-0.174459572050545,-0.0116059637908405,-8.88363571310273
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,69,-0.0971577037851039,0.0477798275326443,-0.190806165749087,-0.00350924182112097,-9.25871075990031
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,70,-0.0943601737403368,0.0454309332388267,-0.183404802888437,-0.0053155445922365,-9.00450386702897
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,72,-0.0939507315314511,0.0458028047975379,-0.183724228934625,-0.00417723412827681,-8.96723884167708
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,73,-0.0945740720702308,0.0470207224093115,-0.186734687992481,-0.0024134561479803,-9.02396557019258
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,75,-0.0930075678295051,0.04401550635706,-0.179277960289343,-0.00673717536966753,-8.88133954348229
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,76,-0.0946518125905752,0.0454388728194659,-0.183712003316728,-0.00559162186442205,-9.03103781954428
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,77,-0.0942605957034185,0.0419205850180053,-0.176424942338709,-0.0120962490681281,-8.99544226299476
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,78,-0.0921888229351037,0.0451619159734855,-0.180706178243135,-0.00367146762707218,-8.80670605672488
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,79,-0.0951245494235216,0.0436379328007868,-0.180654897713064,-0.00959420113397948,-9.0740320353465
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,80,-0.0941085456936921,0.0442884058042693,-0.18091382107006,-0.00730327031732425,-8.98160396707585
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,82,-0.0949711313024958,0.0433332310425836,-0.17990426414596,-0.0100379984590319,-9.06008127406648
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,83,-0.093298347485785,0.0446980551983924,-0.180906535674634,-0.00569015929693595,-8.90783114445455
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,84,-0.0919039889198781,0.0450275588624165,-0.180158004290214,-0.00364997354954182,-8.78072740502317
"Earring_No+Hat_Fisherman.s.Hat","Earring_No","Earring","No",2,85,-0.093745531533514,0.0451632583991599,-0.182265517995867,-0.00522554507116053,-8.94855700258407
