"treatment","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Earring_No+Hat_Seaman.s.Hat",2,1,-0.0230059341850539,0.0356659657094354,-0.0929112269755473,0.0468993586054394,-2.2743315465941
"Earring_No+Hat_Seaman.s.Hat",2,2,-0.00150360603156388,0.0436157902052129,-0.0869905548337811,0.0839833427706534,-0.150247618236843
"Earring_No+Hat_Seaman.s.Hat",2,3,-0.00585454110470366,0.048655850526824,-0.101220008137279,0.0895109259278713,-0.583743667473857
"Earring_No+Hat_Seaman.s.Hat",2,4,-0.0230089825058778,0.0353019686455397,-0.0922008410511355,0.04618287603938,-2.27462944533022
"Earring_No+Hat_Seaman.s.Hat",2,5,-0.00566281180250717,0.0464464894074536,-0.0966979310411161,0.0853723074361018,-0.56468083062643
"Earring_No+Hat_Seaman.s.Hat",2,6,-0.00370277988613936,0.0528628417788042,-0.107313949772596,0.0999083900003169,-0.369593305007931
"Earring_No+Hat_Seaman.s.Hat",2,7,-0.0238918543216388,0.0379008447448889,-0.098177510021621,0.0503938013783434,-2.360870345246
"Earring_No+Hat_Seaman.s.Hat",2,8,-0.0206721556663879,0.0367108040471287,-0.0926253315987602,0.0512810202659843,-2.04599514117286
"Earring_No+Hat_Seaman.s.Hat",2,9,-0.0234187640823856,0.0355523451322113,-0.0931013605415197,0.0462638323767485,-2.31466729779352
"Earring_No+Hat_Seaman.s.Hat",2,10,-0.0210672143294616,0.0353458189857648,-0.0903450195415606,0.0482105908826375,-2.08468507647485
"Earring_No+Hat_Seaman.s.Hat",2,11,-0.0264906107014001,0.0290350475702511,-0.0833993039390922,0.030418082536292,-2.61428123714635
"Earring_No+Hat_Seaman.s.Hat",2,12,-0.025466890954894,0.0343776552687984,-0.092847095281739,0.0419133133719509,-2.51453450618331
"Earring_No+Hat_Seaman.s.Hat",2,13,-0.00674134232643634,0.0475743493869629,-0.0999870671248836,0.0865043824720109,-0.671867045314922
"Earring_No+Hat_Seaman.s.Hat",2,14,-0.0228923233981207,0.0357682918316809,-0.0929981753882152,0.0472135285919738,-2.26322822578097
"Earring_No+Hat_Seaman.s.Hat",2,15,-0.0232494793745839,0.0342816039686106,-0.0904414231530607,0.0439424644038928,-2.29812926501198
"Earring_No+Hat_Seaman.s.Hat",2,16,-0.0242478845940392,0.0370237203863867,-0.096814376551357,0.0483186073632787,-2.39562664365959
"Earring_No+Hat_Seaman.s.Hat",2,17,-0.0201338265203569,0.0364747371220929,-0.091624311279659,0.0513566582389451,-1.99324944938909
"Earring_No+Hat_Seaman.s.Hat",2,18,-0.00278226051376375,0.0452770067558785,-0.0915251937552857,0.0859606727277582,-0.277839361405263
"Earring_No+Hat_Seaman.s.Hat",2,19,-0.024246650928462,0.0366804359757108,-0.0961403054408551,0.0476470035839312,-2.39550623242971
"Earring_No+Hat_Seaman.s.Hat",2,20,-0.00318071222379288,0.0508439643034695,-0.102834882258593,0.0964734578110073,-0.317565911757955
"Earring_No+Hat_Seaman.s.Hat",2,21,-0.0239545751101749,0.0367909399827579,-0.0960648174763802,0.0481556672560305,-2.36699415640278
"Earring_No+Hat_Seaman.s.Hat",2,22,-0.0240029865693419,0.0348069974047365,-0.0922247014826254,0.0442187283439417,-2.37172059827063
"Earring_No+Hat_Seaman.s.Hat",2,23,-0.0182789916180644,0.04028770426304,-0.0972428919736229,0.060684908737494,-1.81129441169696
"Earring_No+Hat_Seaman.s.Hat",2,24,-0.0100283390205774,0.0454272001730967,-0.0990656513598468,0.0790089733186921,-0.997822289589234
"Earring_No+Hat_Seaman.s.Hat",2,25,-0.00303239082771271,0.0426931865794164,-0.0867110365233689,0.0806462548679434,-0.302779777446383
"Earring_No+Hat_Seaman.s.Hat",2,26,-0.000670309983748694,0.0407278659362039,-0.0804969272187082,0.0791563072512109,-0.0670085376199947
"Earring_No+Hat_Seaman.s.Hat",2,27,-0.0235038819543346,0.0368425317887402,-0.0957152442602655,0.0487074803515963,-2.32298171157613
"Earring_No+Hat_Seaman.s.Hat",2,28,-0.00676003266138279,0.0418535619504465,-0.0887930140842579,0.0752729487614923,-0.67372350404048
"Earring_No+Hat_Seaman.s.Hat",2,29,-0.00421514839116738,0.0483101394089962,-0.0989030216328,0.0904727248504652,-0.42062771221365
"Earring_No+Hat_Seaman.s.Hat",2,30,-0.00231325845543529,0.0462151418205278,-0.0928949364236698,0.0882684195127992,-0.231058493500635
"Earring_No+Hat_Seaman.s.Hat",2,31,-0.0261070381471508,0.0354893107492713,-0.0956660872157225,0.0434520109214208,-2.57691958325866
"Earring_No+Hat_Seaman.s.Hat",2,32,-0.0254581355223428,0.0335013662160407,-0.0911208133057825,0.0402045422610968,-2.51368097502894
"Earring_No+Hat_Seaman.s.Hat",2,33,-0.0246750683009105,0.0343716660079995,-0.0920435336765896,0.0426933970747686,-2.43731273723289
"Earring_No+Hat_Seaman.s.Hat",2,34,-0.00617520577766427,0.0481237509704867,-0.100497757679818,0.0881473461244896,-0.61561783806432
"Earring_No+Hat_Seaman.s.Hat",2,35,-0.0246247215217194,0.0374284255674328,-0.0979844356338878,0.048734992590449,-2.43240064650704
"Earring_No+Hat_Seaman.s.Hat",2,36,-0.0208399074961847,0.0341602763133246,-0.0877940490703009,0.0461142340779315,-2.06242572655494
"Earring_No+Hat_Seaman.s.Hat",2,37,-0.0217912873767987,0.0288840231208815,-0.0784039726937265,0.0348213979401292,-2.15555725551875
"Earring_No+Hat_Seaman.s.Hat",2,38,-0.0218890528470786,0.037281594552297,-0.0949609781695807,0.0511828724754236,-2.16512259589032
"Earring_No+Hat_Seaman.s.Hat",2,39,-0.0236340057113941,0.0367648511106972,-0.0956931138883607,0.0484251024655725,-2.33569098526704
"Earring_No+Hat_Seaman.s.Hat",2,40,-0.00824629628889018,0.043103529027086,-0.0927292131819787,0.0762366206041983,-0.8212388855243
"Earring_No+Hat_Seaman.s.Hat",2,41,-0.0244389325276427,0.0367631465727419,-0.0964946998102168,0.0476168347549314,-2.41427197636712
"Earring_No+Hat_Seaman.s.Hat",2,42,-0.00473704107706794,0.0513297285640756,-0.105343309062656,0.0958692269085202,-0.472583899320911
"Earring_No+Hat_Seaman.s.Hat",2,43,-0.025469465099921,0.034381202100308,-0.0928566212165247,0.0419176910166826,-2.51478544758653
"Earring_No+Hat_Seaman.s.Hat",2,44,-0.00422902617396189,0.0452092128815458,-0.0928390834217916,0.0843810310738678,-0.42200964352398
"Earring_No+Hat_Seaman.s.Hat",2,45,-0.00618089071522069,0.0497579809839787,-0.103706533443819,0.0913447520133776,-0.616182830465029
"Earring_No+Hat_Seaman.s.Hat",2,46,-0.00578425681724803,0.0497975862990834,-0.103387525963451,0.0918190123289554,-0.576756021178026
"Earring_No+Hat_Seaman.s.Hat",2,47,-0.0237686219444734,0.0319682870687635,-0.0864264645992499,0.0388892207103032,-2.34883730177923
"Earring_No+Hat_Seaman.s.Hat",2,48,-0.0231338406437674,0.03678768811325,-0.0952377093457374,0.0489700280582026,-2.28683049140646
"Earring_No+Hat_Seaman.s.Hat",2,49,-0.00664611940835614,0.0433891344897985,-0.0916888230083612,0.0783965841916489,-0.662408280309068
"Earring_No+Hat_Seaman.s.Hat",2,50,-0.0204069064763441,0.0345652392602127,-0.088154775426361,0.0473409624736727,-2.02000947453636
"Earring_No+Hat_Seaman.s.Hat",2,51,-0.0227614938138862,0.0305923424207229,-0.0827224849585031,0.0371994973307306,-2.25044052807898
"Earring_No+Hat_Seaman.s.Hat",2,52,-0.0236383437630919,0.0324065176207417,-0.0871551182997456,0.0398784307735617,-2.33611465716962
"Earring_No+Hat_Seaman.s.Hat",2,53,-0.020392633533219,0.0344564695219396,-0.0879273137962206,0.0471420467297826,-2.01861100172405
"Earring_No+Hat_Seaman.s.Hat",2,54,-0.00510273225389242,0.0471347614225597,-0.0974868646421094,0.0872814001343245,-0.508973543149693
"Earring_No+Hat_Seaman.s.Hat",2,55,-0.0247182120097235,0.0366088758237053,-0.0964716086241859,0.047035184604739,-2.44152186260387
"Earring_No+Hat_Seaman.s.Hat",2,56,-0.0216823253478388,0.0352148185392331,-0.0907033696847356,0.047338718989058,-2.14489534565375
