"treatment","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Earring_No+Mouth_Bored",2,1,-0.10892297348942,0.0414774604869453,-0.190218796043833,-0.0276271509350069,-10.3200507826517
"Earring_No+Mouth_Bored",2,2,-0.050042553638561,0.0281734856182479,-0.105262585450327,0.00517747817320487,-4.8811052911168
"Earring_No+Mouth_Bored",2,3,-0.0802413399246595,0.0304704269400791,-0.139963376727215,-0.0205193031221045,-7.71064115615787
"Earring_No+Mouth_Bored",2,4,-0.0925827004077674,0.0385219086075822,-0.168085641278628,-0.0170797595369063,-8.84261796795643
"Earring_No+Mouth_Bored",2,5,-0.0902381404264576,0.0244852087653243,-0.138229149606493,-0.042247131246422,-8.62864327781292
"Earring_No+Mouth_Bored",2,6,-0.103767147341997,0.029023698142807,-0.160653595701899,-0.0468806989820952,-9.85648254385544
"Earring_No+Mouth_Bored",2,7,-0.0552286393521836,0.0160419177919849,-0.086670798224474,-0.0237864804798932,-5.37312310602742
"Earring_No+Mouth_Bored",2,8,-0.0446985383124614,0.0292507278280921,-0.102029964855522,0.0126328882305991,-4.37142781082597
"Earring_No+Mouth_Bored",2,9,-0.0663131769799196,0.0289784035991856,-0.123110848034323,-0.00951550592551587,-6.41622644422879
"Earring_No+Mouth_Bored",2,10,-0.0605852678040853,0.0444810697336593,-0.147768164482058,0.026597628873887,-5.87864896124906
"Earring_No+Mouth_Bored",2,11,-0.0579232324955055,0.0217214893189048,-0.100497351560559,-0.015349113430452,-5.62776081309668
"Earring_No+Mouth_Bored",2,12,-0.0634626051883519,0.02914706691716,-0.120590856345986,-0.00633435403071826,-6.1490785980232
"Earring_No+Mouth_Bored",2,13,-0.0784548862615321,0.0425526138940858,-0.16185800949394,0.00494823697087603,-7.54562313834918
"Earring_No+Mouth_Bored",2,14,-0.0628160949536552,0.0332645458661359,-0.128014604851282,0.00238241494397111,-6.08838339888148
"Earring_No+Mouth_Bored",2,15,-0.0644199811338804,0.0330672265205793,-0.129231745114216,0.000391782846455038,-6.23888621595301
"Earring_No+Mouth_Bored",2,16,-0.0785466862206983,0.017072287149521,-0.112008369033759,-0.0450850034076372,-7.55411005681447
"Earring_No+Mouth_Bored",2,17,-0.0477869653122214,0.0304195067630615,-0.107409198567822,0.0118352679433792,-4.66631407338118
"Earring_No+Mouth_Bored",2,18,-0.0647331752210884,0.02698813937015,-0.117629928386582,-0.0118364220555944,-6.26824704434128
"Earring_No+Mouth_Bored",2,19,-0.0446355789550108,0.0236384815359315,-0.0909670027654365,0.00169584485541502,-4.36540690783291
"Earring_No+Mouth_Bored",2,20,-0.0724303777240936,0.0226403581121118,-0.116805479623833,-0.0280552758243545,-6.98694977915083
"Earring_No+Mouth_Bored",2,21,-0.0964528875885045,0.0352613757604637,-0.165565184079013,-0.0273405910979958,-9.19473228565967
"Earring_No+Mouth_Bored",2,22,-0.0891890823597432,0.0295773705227575,-0.147160728584348,-0.0312174361351386,-8.53273912325878
"Earring_No+Mouth_Bored",2,23,-0.0546870768650808,0.0383692012175831,-0.129890711251544,0.0205165575213821,-5.32186286016968
"Earring_No+Mouth_Bored",2,24,-0.0664982153499205,0.0285102557404233,-0.12237831660115,-0.0106181140986908,-6.4335414311282
"Earring_No+Mouth_Bored",2,25,-0.078872895592073,0.0309508874467153,-0.139536634987635,-0.0182091561965111,-7.58426185429219
"Earring_No+Mouth_Bored",2,26,-0.0701692372491346,0.0328695683182724,-0.134593591152949,-0.00574488334532068,-6.77639625075354
"Earring_No+Mouth_Bored",2,27,-0.0609382314767542,0.0158785865954218,-0.0920602612037809,-0.0298162017497275,-5.91186451670118
"Earring_No+Mouth_Bored",2,28,-0.0643770257314806,0.0405184074655692,-0.143793104363996,0.0150390529010351,-6.23485858307727
"Earring_No+Mouth_Bored",2,29,-0.0967181379566454,0.0197502520838787,-0.135428632041048,-0.0580076438722431,-9.21881522220493
"Earring_No+Mouth_Bored",2,30,-0.107144307455431,0.0152819552227168,-0.137096939691956,-0.0771916752189061,-10.1603981607916
"Earring_No+Mouth_Bored",2,31,-0.0743028150159398,0.0387479009358413,-0.150248700850189,0.0016430708183091,-7.16094793186102
"Earring_No+Mouth_Bored",2,32,-0.0715668092437318,0.028819791456925,-0.128053600499305,-0.0150800179881588,-6.90659194846683
"Earring_No+Mouth_Bored",2,33,-0.0542957914685939,0.0547750468675525,-0.161654883328997,0.053063300391809,-5.28480943898173
"Earring_No+Mouth_Bored",2,34,-0.0508331768375504,0.0281650962730696,-0.106036765532767,0.0043704118576661,-4.95627877506989
"Earring_No+Mouth_Bored",2,35,-0.0572298286378501,0.035952237818864,-0.127696214762824,0.0132365574871233,-5.56230004563741
"Earring_No+Mouth_Bored",2,36,-0.0586693594221743,0.0246348572668806,-0.10695367966526,-0.0103850391790883,-5.69814821964898
"Earring_No+Mouth_Bored",2,37,-0.0577918645471178,0.0232735007513559,-0.103407926019775,-0.0121758030744602,-5.61536251129804
"Earring_No+Mouth_Bored",2,38,-0.0773704851712319,0.0354773624583669,-0.146906115589631,-0.00783485475283287,-7.44531113188275
"Earring_No+Mouth_Bored",2,39,-0.0741413255857462,0.0154618484061561,-0.104446548461812,-0.0438361027096803,-7.14595419561045
"Earring_No+Mouth_Bored",2,40,-0.0714387507439452,0.0166576973782112,-0.104087837605239,-0.0387896638826514,-6.89466978294072
"Earring_No+Mouth_Bored",2,41,-0.062205915159481,0.0162921948567563,-0.0941386170787233,-0.0302732132402387,-6.03106294187937
