"treatment_combo","covariate","trait","level","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,1,0.348809621900228,0.0478705983733775,0.254983249088408,0.442635994712048,41.7379326671867
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,2,0.374567924997663,0.041490545694222,0.293246455436988,0.455889394558338,45.4362884995077
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,3,0.350197130899436,0.043038371970098,0.265841921838044,0.434552339960828,41.9347318230185
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,5,0.355507367813037,0.0432618516967334,0.270714138487439,0.440300597138634,42.6904436037295
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,6,0.356122721645098,0.041720860505156,0.274349835054992,0.437895608235204,42.7782757361477
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,13,0.354672395772629,0.0404394150973097,0.275411142181902,0.433933649363356,42.5713507993871
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,16,0.350866107058367,0.0471872098951417,0.258379175663889,0.443353038452845,42.0297145417774
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,17,0.345509490288655,0.0495578466603978,0.248376110834276,0.442642869743035,41.2709498112958
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,18,0.352991851251786,0.0492831272386067,0.256396921864116,0.449586780639455,42.3319545113744
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,20,0.35125957281226,0.0400287894462179,0.272803145497673,0.429716000126847,42.0856093661133
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,21,0.344974096954815,0.0453617582312777,0.256065050821511,0.43388314308812,41.1953345302665
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,24,0.357487892735019,0.0411573820014699,0.276819424012138,0.4381563614579,42.9733256183888
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,25,0.351945096973643,0.0405867150540776,0.272395135467651,0.431495058479635,42.1830458780443
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,26,0.375431535763199,0.0400929082731566,0.296849435547812,0.454013635978586,45.5619430944764
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,28,0.356356131067779,0.044462331115753,0.269209962080903,0.443502300054655,42.8116054206386
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,29,0.358981021173244,0.0452375859612869,0.270315352689122,0.447646689657367,43.186962610821
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,30,0.35429640059509,0.0393844164812036,0.277102944291931,0.431489856898249,42.5177547355934
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,34,0.370184016324262,0.0375281563236657,0.296628829929877,0.443739202718647,44.8001045978726
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,39,0.345622292605877,0.050521363832955,0.246600419493286,0.444644165718469,41.2868864006159
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,40,0.37345617276027,0.0475391610468391,0.280279417108465,0.466632928412075,45.2746892261917
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,41,0.348999950597599,0.0522160053880482,0.246656580037024,0.451343321158173,41.7649120306714
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,42,0.357024652119229,0.0455072398343556,0.267830462043892,0.446218842194566,42.9071099050758
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,43,0.34159240660148,0.0501458726776051,0.243306496153375,0.439878317049586,40.7186620631535
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,44,0.349874561325644,0.04237081890915,0.26682775626371,0.432921366387578,41.8889553805088
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,45,0.37228757098129,0.044420553193331,0.285223286722361,0.459351855240219,45.1050201230379
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,47,0.347531620059047,0.0492184602540881,0.251063437961034,0.443999802157059,41.5569070284615
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,48,0.349111646401449,0.0510668987873895,0.249020524778166,0.449202768024733,41.7807474608375
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,49,0.360469897306039,0.0416450563693683,0.278845586822077,0.44209420779,43.4003090457757
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,50,0.342313973336084,0.0500675695629079,0.244181536992784,0.440446409679383,40.8202366106363
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,51,0.346933526838099,0.0538001078655375,0.241485315421646,0.452381738254553,41.4722681154926
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,53,0.343906320601367,0.0529383893868041,0.240147077403231,0.447665563799503,41.0446499538685
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,54,0.37287068577836,0.0441668253420742,0.286303708107895,0.459437663448826,45.1896576817091
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,56,0.340598140714612,0.0504400184321429,0.241735704587612,0.439460576841612,40.5788198295198
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,63,0.342274960754793,0.0469270038957895,0.250298033119046,0.43425188839054,40.8147429568697
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,65,0.347663685896541,0.0518457662843901,0.246045983979137,0.449281387813946,41.57560309447
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,67,0.339840704594909,0.0496524984391223,0.242521807654229,0.437159601535588,40.4723806692367
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,68,0.345828157627914,0.0497687949356882,0.248281319553965,0.443374995701863,41.3159754227016
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,70,0.348825909210183,0.0531338511897406,0.244683560878291,0.452968257542074,41.7402412156284
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,72,0.348260686783748,0.0533379141167227,0.243718375114972,0.452802998452525,41.6601490896303
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,74,0.34964762863481,0.042520432054575,0.266307581807843,0.432987675461777,41.8567597913187
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,76,0.34984699345466,0.0518147379239064,0.248290107123803,0.451403879785516,41.8850438580093
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,77,0.343061527847425,0.0570129826691936,0.231316081815806,0.454806973879045,40.9255467714414
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,84,0.35332325382114,0.0464319778906889,0.26231657715539,0.44432993048689,42.3791315036572
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,85,0.352245839462161,0.0348296606285056,0.28397970463029,0.420511974294032,42.2258127916783
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,86,0.353654109811096,0.0396695451298219,0.275901801356645,0.431406418265547,42.4262462858341
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,87,0.35503364341686,0.0452156385427392,0.266410991873091,0.443656294960629,42.6228636678891
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,88,0.354364584603493,0.0391355393746715,0.277658927429137,0.431070241777849,42.5274724986741
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,89,0.375052313674812,0.0340992538215123,0.308217776184648,0.441886851164976,45.5067532556908
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,90,0.357897612932976,0.0442626318124667,0.271142854580541,0.444652371285411,43.0319166798148
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,91,0.370017682741706,0.0481145414132977,0.275713181571643,0.46432218391177,44.7760214806914
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,92,0.34834587536965,0.0478048224943036,0.254648423280815,0.442043327458485,41.672217431445
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,93,0.355719896944824,0.0347783615248691,0.287554308356081,0.423885485533568,42.7207727026173
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,95,0.353505188990073,0.0499302205609501,0.25564195669061,0.451368421289535,42.4050376315462
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,96,0.352229327075548,0.041344491465351,0.27119412380346,0.433264530347636,42.2234643234607
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,97,0.351609624497566,0.0525992567463269,0.248515081274765,0.454704167720367,42.1353553794595
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,98,0.370676514508696,0.0398239524821893,0.292621567643605,0.448731461373788,44.8714359503319
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,99,0.353056173173192,0.039503710424465,0.275628900741241,0.430483445605144,42.3411098706082
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,100,0.374041141869445,0.0455540873401626,0.284755130682727,0.463327153056164,45.3596952922715
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,104,0.343611007424878,0.0510912450039532,0.243472167217129,0.443749847632626,41.0030037599014
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,105,0.368574398780691,0.0405372058020243,0.289121475408723,0.448027322152658,44.5672192876226
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,106,0.345461573986794,0.0500087500411905,0.24744442390606,0.443478724067527,41.2641807919949
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,107,0.346449304315818,0.0487368974475891,0.250924985318543,0.441973623313092,41.4037806399201
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,112,0.348535723994645,0.0513404534018334,0.247908435327052,0.449163012662239,41.6991162603965
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,113,0.372087248116712,0.0401505281562338,0.293392212930494,0.45078228330293,45.0759551810256
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,114,0.346563574672553,0.0520857376996303,0.244475528781278,0.448651620563829,41.4199398236179
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,115,0.375639632727371,0.0446077633868972,0.288208416489052,0.463070848965689,45.5922372448843
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,116,0.353380778076112,0.0426573653798838,0.26977234193154,0.436989214220684,42.3873219926941
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,117,0.344001745760008,0.0489199099028749,0.248118722350373,0.439884769169642,41.0581098041597
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,118,0.346231876263411,0.0494201747147567,0.249368333822488,0.443095418704334,41.3730388334793
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,119,0.350623318708409,0.0463451526132384,0.259786819586461,0.441459817830356,41.9952355674547
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,125,0.359238411189083,0.045964120671244,0.269148734673445,0.449328087704722,43.2238222488432
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,126,0.354848109114282,0.0419339444567766,0.272657577979,0.437038640249564,42.5964046889469
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,127,0.359600299212885,0.0407107534134687,0.279807222522486,0.439393375903284,43.2756626144761
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,128,0.349476910173531,0.0461981060070997,0.258928622399616,0.440025197947447,41.8325442906405
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,129,0.351352219661355,0.0401605058258784,0.272637628242633,0.430066811080076,42.098773759933
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,130,0.355496799068845,0.0393028922692051,0.278463130221203,0.432530467916487,42.6889355529016
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,131,0.35257114247367,0.045215234468751,0.263949282914918,0.441193002032422,42.2720868030234
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,132,0.35715551646175,0.0328991697708678,0.292673143710849,0.421637889212651,42.9258125737846
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,133,0.358775542967851,0.0437484501864422,0.273028580602424,0.444522505333278,43.1575438332703
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,134,0.358114989650862,0.042184728219809,0.275432922340037,0.440797056961688,43.0630118679782
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,135,0.351676316029229,0.0430522873614408,0.267293832800805,0.436058799257653,42.1448349201123
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,136,0.350955269851111,0.0441812581899375,0.264360003798834,0.437550535903389,42.0423788723637
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,137,0.353740961583131,0.0437093703037558,0.26807059578777,0.439411327378493,42.4386167949009
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,138,0.353983867113359,0.0365126579140855,0.282419057601752,0.425548676624967,42.4732201251384
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,139,0.353198184122573,0.0401930323265532,0.274419840762529,0.431976527482617,42.3613253021291
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,140,0.357023337346083,0.043414399831968,0.271931113675426,0.442115561016741,42.9069220147689
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,141,0.368911920434724,0.0439074633956523,0.282853292179245,0.454970548690202,44.6160220901336
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,143,0.371081850104423,0.0477360279151466,0.277519235390736,0.46464446481811,44.9301694027019
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,144,0.374839702091094,0.0431726075116567,0.290221391368247,0.459458012813941,45.475820122927
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,145,0.356785723813961,0.0382113515505233,0.281891474774936,0.431679972852987,42.8729694302209
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,146,0.373381226415795,0.0434541424337715,0.288211107245603,0.458551345585987,45.26380182728
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,148,0.374866119981291,0.041869908023976,0.292801100254299,0.456931139708284,45.479663337934
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,149,0.374502610403189,0.0354800617339103,0.304961689404725,0.444043531401653,45.4267896975112
"Earring_No+Mouth_Other","Earring_No","Earring","No",2,150,0.347193027957139,0.0540949186950181,0.241166987314904,0.453219068599374,41.5089850912238
