"treatment_combo","covariate","trait","level","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Eyes_Bored+Fur_Black","Eyes_Bored","Eyes","Bored",2,1,-0.0776269489554673,0.0680603220011028,-0.211025180077629,0.0557712821666941,-7.46904501406789
"Eyes_Bored+Fur_Black","Eyes_Bored","Eyes","Bored",2,2,-0.07487683036742,0.0617034977374769,-0.195815685932875,0.0460620251980347,-7.21422368095325
"Eyes_Bored+Fur_Black","Eyes_Bored","Eyes","Bored",2,3,-0.0758328493989489,0.0665536909920282,-0.206278083743324,0.0546123849454264,-7.30288626065971
"Eyes_Bored+Fur_Black","Eyes_Bored","Eyes","Bored",2,5,-0.0775602893260136,0.0695354700551137,-0.213849810634036,0.0587292319820092,-7.46287672931002
"Eyes_Bored+Fur_Black","Eyes_Bored","Eyes","Bored",2,7,-0.0797218609718834,0.0686208910102972,-0.214218807352066,0.0547750854082992,-7.66268632198819
"Eyes_Bored+Fur_Black","Eyes_Bored","Eyes","Bored",2,8,-0.0734059477322681,0.0696991561914154,-0.210016293867442,0.063204398402906,-7.07764627373186
"Eyes_Bored+Fur_Black","Eyes_Bored","Eyes","Bored",2,10,-0.0809935777891936,0.0639511769022404,-0.206337884517585,0.0443507289391976,-7.78003860140832
"Eyes_Bored+Fur_Black","Eyes_Bored","Eyes","Bored",2,12,-0.080376839004494,0.0745907042628384,-0.226574619359657,0.0658209413506692,-7.72314543218164
"Eyes_Bored+Fur_Black","Eyes_Bored","Eyes","Bored",2,14,-0.0775286794173849,0.0639403188346662,-0.202851704333331,0.0477943454985607,-7.45995159306727
"Eyes_Bored+Fur_Black","Eyes_Bored","Eyes","Bored",2,15,-0.0820554605424813,0.0756829932468712,-0.230394127306349,0.0662832062213862,-7.87791341294224
"Eyes_Bored+Fur_Black","Eyes_Bored","Eyes","Bored",2,16,-0.075946150779805,0.0659710290007195,-0.205249367621215,0.0533570660616054,-7.31338837668439
"Eyes_Bored+Fur_Black","Eyes_Bored","Eyes","Bored",2,18,-0.0751652612064601,0.0675160687107713,-0.207496755879572,0.0571662334666516,-7.24098210110564
