"treatment_combo","covariate","trait","level","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Eyes_Bored+Fur_Dark.Brown","Eyes_Bored","Eyes","Bored",2,3,0.0428987688867823,0.0583050469390296,-0.0713791231137157,0.15717666088728,4.38322212042073
"Eyes_Bored+Fur_Dark.Brown","Eyes_Bored","Eyes","Bored",2,4,0.0417780955150417,0.0597418372874772,-0.0753159055684136,0.158872096598497,4.26630814635875
"Eyes_Bored+Fur_Dark.Brown","Eyes_Bored","Eyes","Bored",2,5,0.0408445040771437,0.0586587129278252,-0.0741265732613937,0.155815581415681,4.16901143856567
"Eyes_Bored+Fur_Dark.Brown","Eyes_Bored","Eyes","Bored",2,8,0.0467117618742286,0.0608952978311367,-0.0726430218747993,0.166066545623256,4.78199438916218
"Eyes_Bored+Fur_Dark.Brown","Eyes_Bored","Eyes","Bored",2,9,0.0427238075054627,0.0650693539415262,-0.0848121262199285,0.170259741230854,4.36496068526151
"Eyes_Bored+Fur_Dark.Brown","Eyes_Bored","Eyes","Bored",2,11,0.0416599022066164,0.0581014600551681,-0.0722189595015131,0.155538763914746,4.2539852946953
"Eyes_Bored+Fur_Dark.Brown","Eyes_Bored","Eyes","Bored",2,15,0.0410854311560469,0.0582923858749893,-0.073167645158932,0.155338507471026,4.19411159773642
"Eyes_Bored+Fur_Dark.Brown","Eyes_Bored","Eyes","Bored",2,16,0.0407724277550581,0.0603889595612892,-0.0775899329850688,0.159134788495185,4.1615035899182
"Eyes_Bored+Fur_Dark.Brown","Eyes_Bored","Eyes","Bored",2,17,0.0470191514855792,0.0632397234322424,-0.0769307064416158,0.170969009412774,4.81420823654137
"Eyes_Bored+Fur_Dark.Brown","Eyes_Bored","Eyes","Bored",2,18,0.0416840584143243,0.0625918081003632,-0.0809958854623875,0.164364002291036,4.25650370603596
"Eyes_Bored+Fur_Dark.Brown","Eyes_Bored","Eyes","Bored",2,20,0.0440201969956022,0.0581252616591976,-0.0699053158564251,0.157945709847629,4.50034606056051
"Eyes_Bored+Fur_Dark.Brown","Eyes_Bored","Eyes","Bored",2,21,0.0427997813006446,0.056538062321859,-0.0680148208501991,0.153614383451488,4.3728899886146
