"treatment","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Eyes_Bored+Mouth_Bored.Unshaven",2,1,-0.0545304982119305,0.0457026826487157,-0.144107756203413,0.0350467597795523,-5.30703712430696
"Eyes_Bored+Mouth_Bored.Unshaven",2,2,-0.0593937842839429,0.0409824708006669,-0.13971942705325,0.0209318584853642,-5.76643808716406
"Eyes_Bored+Mouth_Bored.Unshaven",2,3,-0.0604099297601179,0.0427466247988904,-0.144193314365943,0.0233734548457073,-5.86214446077122
"Eyes_Bored+Mouth_Bored.Unshaven",2,4,-0.0562837357313459,0.0441033911306797,-0.142726382347478,0.0301589108847864,-5.47291092906709
"Eyes_Bored+Mouth_Bored.Unshaven",2,5,-0.0622483191088683,0.0426398687604227,-0.145822461879297,0.0213258236615603,-6.03504751144902
"Eyes_Bored+Mouth_Bored.Unshaven",2,6,-0.0618546474019917,0.0387814820786894,-0.137866352276223,0.0141570574722395,-5.9980488860381
"Eyes_Bored+Mouth_Bored.Unshaven",2,7,-0.0592733761062499,0.0451942986579094,-0.147854201475752,0.0293074492632526,-5.75509091256403
"Eyes_Bored+Mouth_Bored.Unshaven",2,8,-0.0577292939216063,0.0404395018807364,-0.13699071760785,0.0215321297646369,-5.609456620726
"Eyes_Bored+Mouth_Bored.Unshaven",2,9,-0.0576699694702299,0.0454120663093479,-0.146677619436552,0.031337680496092,-5.60385678742301
"Eyes_Bored+Mouth_Bored.Unshaven",2,10,-0.0593307951694657,0.0421359377567901,-0.141917233172774,0.0232556428338429,-5.76050221159934
"Eyes_Bored+Mouth_Bored.Unshaven",2,11,-0.0558335055125266,0.0465376986345509,-0.147047394836246,0.0353803838111932,-5.4303423949692
"Eyes_Bored+Mouth_Bored.Unshaven",2,12,-0.056083584947182,0.0439074849730615,-0.142142255494383,0.0299750856000185,-5.45398936454499
"Eyes_Bored+Mouth_Bored.Unshaven",2,15,-0.052835364917129,0.0469959313860206,-0.144947390433729,0.0392766605994714,-5.14638380422654
"Eyes_Bored+Mouth_Bored.Unshaven",2,16,-0.0588163470298864,0.0406838976359959,-0.138556786396438,0.0209240923366655,-5.71200840458232
"Eyes_Bored+Mouth_Bored.Unshaven",2,17,-0.0568206206576737,0.0412365579795316,-0.137644274297556,0.0240030329822083,-5.52364747725623
"Eyes_Bored+Mouth_Bored.Unshaven",2,18,-0.0636702103474092,0.0418835235308503,-0.145761916467876,0.0184214957730575,-6.16856051114573
"Eyes_Bored+Mouth_Bored.Unshaven",2,19,-0.0545964588372129,0.0419506955245966,-0.136819822065422,0.0276269043909963,-5.31328292535734
"Eyes_Bored+Mouth_Bored.Unshaven",2,20,-0.0633229632744655,0.0421434361222957,-0.145924098074165,0.019278171525234,-6.13597216065592
"Eyes_Bored+Mouth_Bored.Unshaven",2,21,-0.0559795824331326,0.0444737755774787,-0.143148182564991,0.0311890176987257,-5.44415583039828
"Eyes_Bored+Mouth_Bored.Unshaven",2,22,-0.0576354980309142,0.0460537313860173,-0.147900811547508,0.0326298154856796,-5.60060276041545
