"treatment","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Hat_No+Mouth_Bored",2,5,-0.0580453972742807,0.0398480602939576,-0.136147595450438,0.0200568009018763,-5.63928907263149
"Hat_No+Mouth_Bored",2,6,-0.058984732808316,0.0382103452091605,-0.133877009418271,0.0159075438016386,-5.72788382480868
"Hat_No+Mouth_Bored",2,8,-0.0781490857148594,0.0358213608053601,-0.148358952893365,-0.00793921853635352,-7.5173462160338
"Hat_No+Mouth_Bored",2,11,-0.0806209028932214,0.0332829092422829,-0.145855405008096,-0.015386400778347,-7.7456641320345
"Hat_No+Mouth_Bored",2,13,-0.0570413018201978,0.0389282585571948,-0.1333406885923,0.0192580849519041,-5.54449432822373
"Hat_No+Mouth_Bored",2,14,-0.104503206759475,0.032892200916775,-0.168971920556354,-0.0400344929625958,-9.92280911566016
"Hat_No+Mouth_Bored",2,17,-0.0809635531689413,0.0340412651245749,-0.147684432813108,-0.0142426735247746,-7.7772696905201
"Hat_No+Mouth_Bored",2,18,-0.0798696591145551,0.0306223473954889,-0.139889460009713,-0.0198498582193969,-7.67633259697721
"Hat_No+Mouth_Bored",2,19,-0.0816068735127086,0.034452845766045,-0.149134451214157,-0.0140792958112605,-7.83657936947893
"Hat_No+Mouth_Bored",2,20,-0.0840224025347206,0.0333033857165948,-0.149297038539246,-0.0187477665301948,-8.05893412647958
"Hat_No+Mouth_Bored",2,22,-0.0836319111274873,0.0365092960140358,-0.155190131314998,-0.0120736909399771,-8.02302491962203
"Hat_No+Mouth_Bored",2,23,-0.0821507278072803,0.030776425343275,-0.142472521480099,-0.0218289341344614,-7.88668921412904
"Hat_No+Mouth_Bored",2,24,-0.0553722722272546,0.0336414937603325,-0.121309599997506,0.0105650555429971,-5.38671366036614
"Hat_No+Mouth_Bored",2,25,-0.0560924751642776,0.0387364936004465,-0.132016002621153,0.0198310522925974,-5.45482989536881
"Hat_No+Mouth_Bored",2,26,-0.0824172878783288,0.0234326551114511,-0.128345291896773,-0.0364892838598846,-7.9112396725653
"Hat_No+Mouth_Bored",2,27,-0.104564380085771,0.0324930491135737,-0.168250756348375,-0.0408780038231664,-9.92831926851105
"Hat_No+Mouth_Bored",2,30,-0.0523368329540225,0.0387477833405559,-0.128282488301512,0.0236088223934672,-5.09908445559777
"Hat_No+Mouth_Bored",2,35,-0.0803134387856762,0.0335629858861735,-0.146096891122576,-0.0145299864487762,-7.71729487394885
"Hat_No+Mouth_Bored",2,37,-0.0854520032182783,0.0287973330616246,-0.141894776019062,-0.0290092304174942,-8.19027922920527
"Hat_No+Mouth_Bored",2,43,-0.0818702935925525,0.032037847467447,-0.144664474628749,-0.0190761125563563,-7.8608538677646
"Hat_No+Mouth_Bored",2,46,-0.0570204714046611,0.0347476090628479,-0.125125785167843,0.0110848423585208,-5.5425267602983
"Hat_No+Mouth_Bored",2,48,-0.0807062796400411,0.0351526821118607,-0.149605536579288,-0.0118070227007942,-7.75354017089084
