"treatment_combo","covariate","trait","level","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,9,0.144970420771891,0.29769322681367,-0.438508303782902,0.728449145326683,15.6005376015592
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,55,0.138303829634625,0.305664582055539,-0.460798751194231,0.737406410463481,14.832439225776
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,66,0.118625589079846,0.287965098283302,-0.445786003555425,0.683037181715118,12.5948272030221
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,67,0.132868302382806,0.267665445748756,-0.391755971284756,0.657492576050367,14.2099576633181
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,112,0.122417328152732,0.289812858212242,-0.445615873943262,0.690450530248727,13.0225678366905
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,150,0.154963214463586,0.271177425449655,-0.376544539417737,0.686470968344909,16.7615008970691
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,179,0.15223005055716,0.270518098914054,-0.377985423314386,0.682445524428705,16.4428082951066
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,223,0.138078736106862,0.294429716487318,-0.439003508208281,0.715160980422004,14.8065940958238
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,232,0.148559086832122,0.261540214606475,-0.36405973379657,0.661177907460813,16.0161346007944
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,271,0.119130458059871,0.295060791934784,-0.459188694132306,0.697449610252049,12.6516871908024
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,285,0.137325809347459,0.280777350688727,-0.412997798002445,0.687649416697364,14.7201856726623
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,287,0.139885230922174,0.304479279771834,-0.45689415743062,0.736664619274968,15.0141790569465
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,344,0.139791729279667,0.296981618455489,-0.442292242893092,0.721875701452427,15.0034255450364
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,461,0.110361160096359,0.27066365985562,-0.420139613220656,0.640861933413375,11.6681298364894
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,463,0.148162844393881,0.275860439084856,-0.392523616212436,0.688849305000198,15.9701731912767
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,467,0.141495755044984,0.293238714232789,-0.433252124851282,0.71624363494125,15.1995614080869
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,482,0.147361328330136,0.270602820556281,-0.383020199960175,0.677742856620448,15.8772584758414
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,494,0.130029702603223,0.289571004216182,-0.437529465660493,0.69758887086694,13.8862209994599
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,649,0.119929542693247,0.280190383791382,-0.429243609537861,0.669102694924356,12.7417413986354
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,654,0.135176650444582,0.279636338318822,-0.412910572660309,0.683263873549472,14.4738985142014
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,683,0.149138950175123,0.276292596124504,-0.392394538228905,0.690672438579151,16.083427612936
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,695,0.140237045353707,0.294385103220246,-0.436757756957975,0.717231847665389,15.0546498236521
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,708,0.163213728186673,0.266250891009691,-0.358638018192322,0.685065474565667,17.7288282491081
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,937,0.117807090654333,0.294481510456655,-0.459376669840711,0.694990851149377,12.5027062198182
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,980,0.132660863103741,0.285463976336758,-0.426848530516304,0.692170256723786,14.1862684891559
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,999,0.119105702244926,0.278531855419942,-0.42681673437816,0.665028138868013,12.6488984410001
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,1001,0.114996558654805,0.295648763899113,-0.464475018587457,0.694468135897066,12.1869576824817
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,1070,0.138081531361826,0.295185759723088,-0.440482557695427,0.716645620419078,14.8069150099744
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,1188,0.122154153102122,0.273260668417572,-0.413436756996319,0.657745063200562,12.9928270303707
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,1196,0.148881356176306,0.296984156726236,-0.433207591007116,0.730970303359728,16.0535290696288
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,1216,0.132296166635662,0.297759423211616,-0.451312302859105,0.715904636130429,14.1446327529993
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,1389,0.13185109584539,0.286944426834046,-0.43055998074934,0.694262172440121,14.0938416147591
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,1397,0.126650650504193,0.288648224772712,-0.439099870050323,0.692401171058709,13.5020429696751
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,1425,0.130198117051911,0.285845677175532,-0.430059410212131,0.690455644315953,13.905402699775
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,1430,0.125223055836464,0.287566079264448,-0.438406459521854,0.688852571194782,13.340123663424
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,1447,0.10528384311051,0.287497981941341,-0.458212201494519,0.668779887715539,11.102592265772
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,1465,0.156646983939684,0.325207314624505,-0.480759352724345,0.794053320603714,16.9582659552755
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,1468,0.129314145185532,0.267367622042089,-0.394726394016963,0.653354684388026,13.8047580184469
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,1506,0.112510301489873,0.272931085412749,-0.422434625919115,0.647455228898861,11.9083785083681
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,1532,0.117667822759884,0.296486321884752,-0.46344536813423,0.698781013653998,12.4870392957783
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,1549,0.12843909897546,0.288956874029295,-0.437916374121957,0.694794572072878,13.7052171540344
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,1583,0.130440873006152,0.273467571129256,-0.40555556640719,0.666437312419495,13.9330572710207
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,1636,0.134498406826159,0.275851550467268,-0.406170632089686,0.675167445742005,14.3962836469278
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,1724,0.127879532486528,0.306324423754401,-0.472516338072098,0.728275403045153,13.6416093229633
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,1741,0.109776880730399,0.284394620841788,-0.447636576119506,0.667190337580304,11.6029035094446
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,1776,0.151950979498422,0.275252527510786,-0.387543974422718,0.691445933419562,16.4103170112126
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,1806,0.143450223702998,0.279932598923389,-0.405217670186844,0.69211811759284,15.4249355118439
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,1922,0.153797869905427,0.260557912150257,-0.356895637909078,0.664491377719931,16.6255127692982
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,1937,0.122605111050613,0.28590853389763,-0.437775615388742,0.682985837489968,13.043793534854
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,1947,0.129202584085754,0.285376733503555,-0.430135813581213,0.688540981752722,13.7920625426563
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,1961,0.131873879147493,0.292673165623502,-0.44176552547457,0.705513283769557,14.0964410788327
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,2002,0.142698346383126,0.279149033031814,-0.404433758359229,0.689830451125482,15.3381827384932
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,2084,0.138911307524462,0.286827283509113,-0.423270168153399,0.701092783202324,14.9022185862052
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,2099,0.145305340006165,0.280451674046286,-0.404379941124556,0.694990621136885,15.639260929326
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,2119,0.136955202426716,0.295541312999971,-0.442305771053228,0.716216175906659,14.6776774553093
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,2121,0.122894189330414,0.278171399159524,-0.422321753022253,0.668110131683081,13.0764767640095
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,2163,0.11313886522873,0.291066537051366,-0.457351547391948,0.683629277849409,11.9787421688789
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,2231,0.126034353197998,0.311747740282098,-0.484991217754913,0.73705992415091,13.4321135172253
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,2285,0.133783625539022,0.295642894479967,-0.445676447641713,0.713243698719757,14.3145445403309
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,2336,0.13620244098998,0.280252109148088,-0.413091692940272,0.685496574920233,14.5913850049559
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,2391,0.13088205935563,0.282751874414423,-0.423311614496638,0.685075733207898,13.9833340705463
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,2415,0.152221813521899,0.313671223769908,-0.462573785067121,0.767017412110918,16.441849155539
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,2504,0.147924417714217,0.309944767020965,-0.459567325646874,0.755416161075308,15.9425261039753
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,2536,0.123124905579418,0.317080911532272,-0.498353681023835,0.74460349218267,13.1025683543402
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,2582,0.131198442547153,0.282142643921711,-0.421801139539401,0.684198024633706,14.019402186932
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,2650,0.153175457834159,0.276459736307493,-0.388685625328527,0.695036540996845,16.5529462278211
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,2652,0.116978573314764,0.286140979158462,-0.443857745835822,0.67781489246535,12.409534379539
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,2683,0.131887382999468,0.294502766560037,-0.445338039458205,0.709112805457141,14.097981830687
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,2758,0.118160671545317,0.280123588344622,-0.430881561610141,0.667202904700775,12.5424920602635
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,2762,0.12630808427098,0.281249425951376,-0.424940790593718,0.677556959135678,13.4631676614171
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,2776,0.130870007236793,0.293375502491184,-0.444145977645927,0.705885992119513,13.9819603381369
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,2778,0.134444755060218,0.306563352726639,-0.466419416283995,0.735308926404431,14.3901462489356
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,2810,0.12371233176956,0.287022840256802,-0.438852435133772,0.686277098672892,13.1690272831104
"Background_Aquamarine+Earring_No+Fur_Dark.Brown","Background_Aquamarine","Background","Aquamarine",3,2837,0.123190589897599,0.300701702409019,-0.466184746824079,0.712565926619276,13.1099976634189
