"treatment","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Background_Aquamarine+Earring_No+Hat_No",3,1,-0.0255057163623151,0.103476526118468,-0.228319707554513,0.177308274829883,-2.5183193456243
"Background_Aquamarine+Earring_No+Hat_No",3,9,-0.0333698916193628,0.0975244222948512,-0.224517759317271,0.157777976078546,-3.28192586345095
"Background_Aquamarine+Earring_No+Hat_No",3,12,-0.019891675223799,0.0999270936942904,-0.215748778864608,0.17596542841701,-1.96951411401669
"Background_Aquamarine+Earring_No+Hat_No",3,21,-0.0244109310597748,0.102276738430955,-0.224873338384446,0.176051476264896,-2.41153939448153
"Background_Aquamarine+Earring_No+Hat_No",3,24,-0.0286801388254293,0.0965147082476536,-0.21784896699083,0.160488689339972,-2.82727674233968
"Background_Aquamarine+Earring_No+Hat_No",3,29,-0.0261581583988789,0.0950468424978633,-0.212449969694691,0.160133652896933,-2.58189974835896
"Background_Aquamarine+Earring_No+Hat_No",3,30,-0.0252544750604481,0.0943003670611108,-0.210083194500225,0.159574244379329,-2.49382484438215
"Background_Aquamarine+Earring_No+Hat_No",3,32,-0.0264961720441879,0.103872036834696,-0.230085364240192,0.177093020151816,-2.61482283100505
"Background_Aquamarine+Earring_No+Hat_No",3,36,-0.0230241790680392,0.0968505048602456,-0.212851168594121,0.166802810458042,-2.27611452371453
"Background_Aquamarine+Earring_No+Hat_No",3,37,-0.0390940981944381,0.101375872141903,-0.237790807592567,0.159602611203691,-3.83397856011006
"Background_Aquamarine+Earring_No+Hat_No",3,38,-0.025948882152804,0.0951204432012956,-0.212384950827343,0.160487186521735,-2.56151032060151
"Background_Aquamarine+Earring_No+Hat_No",3,43,-0.0342587900673821,0.0938074125744756,-0.218121318713354,0.14960373857859,-3.36786021033421
"Background_Aquamarine+Earring_No+Hat_No",3,44,-0.0169966160663532,0.0980948380948686,-0.209262498732296,0.175269266599589,-1.68529884664673
"Background_Aquamarine+Earring_No+Hat_No",3,49,-0.0238082432318091,0.098243201549024,-0.216364918267896,0.168748431804278,-2.35270628990751
"Background_Aquamarine+Earring_No+Hat_No",3,51,-0.0289961098793566,0.101947597652719,-0.228813401278685,0.170821181519972,-2.85797565988032
"Background_Aquamarine+Earring_No+Hat_No",3,54,-0.0168341285748556,0.098027793670099,-0.20896860416825,0.175300347018538,-1.66932263954723
"Background_Aquamarine+Earring_No+Hat_No",3,55,-0.0247009342863138,0.0987905774095159,-0.218330466008965,0.168928597436337,-2.43983625964069
"Background_Aquamarine+Earring_No+Hat_No",3,61,-0.0233259009874311,0.0942757624480758,-0.20810639538566,0.161454593410797,-2.3055955142567
"Background_Aquamarine+Earring_No+Hat_No",3,62,-0.0292387908904733,0.108311808609698,-0.241529935765482,0.183052353984535,-2.88154732425574
"Background_Aquamarine+Earring_No+Hat_No",3,65,-0.0253616684289249,0.102581487196968,-0.226421383334983,0.175698046477133,-2.50427629957103
"Background_Aquamarine+Earring_No+Hat_No",3,68,-0.0296842815572814,0.0972794492036223,-0.220352001996381,0.160983438881818,-2.92480305277057
"Background_Aquamarine+Earring_No+Hat_No",3,69,-0.031352755816025,0.101391936192834,-0.23008095075398,0.16737543912193,-3.08663547588089
"Background_Aquamarine+Earring_No+Hat_No",3,70,-0.0172318634641766,0.102231483210171,-0.217605570556112,0.183141843627759,-1.70842440404059
"Background_Aquamarine+Earring_No+Hat_No",3,77,-0.0244935333339748,0.101867806831844,-0.224154434724389,0.175167368056439,-2.41960009034274
"Background_Aquamarine+Earring_No+Hat_No",3,82,-0.0258973752497069,0.102557173625091,-0.226909435554885,0.175114685055471,-2.55649143650319
"Background_Aquamarine+Earring_No+Hat_No",3,95,-0.0264160279302776,0.0988781599992423,-0.220217221528792,0.167385165668237,-2.60701766950814
"Background_Aquamarine+Earring_No+Hat_No",3,96,-0.0255245660039389,0.103159744420221,-0.227717665067572,0.176668533059695,-2.52015682305157
"Background_Aquamarine+Earring_No+Hat_No",3,97,-0.0261830186008872,0.102034249930469,-0.226170148464606,0.173804111262832,-2.5843215519071
"Background_Aquamarine+Earring_No+Hat_No",3,103,-0.024864644980059,0.096423116749189,-0.21385395380847,0.164124663848351,-2.45580659443556
"Background_Aquamarine+Earring_No+Hat_No",3,106,-0.026250028829694,0.104432338080148,-0.230937411466784,0.178437353807396,-2.5908491800979
"Background_Aquamarine+Earring_No+Hat_No",3,107,-0.0374069077934071,0.102491908021315,-0.238291047515185,0.163477231928371,-3.67159122117271
"Background_Aquamarine+Earring_No+Hat_No",3,112,-0.0239203805066421,0.101858189166117,-0.223562431272232,0.175721670258948,-2.36365557739588
"Background_Aquamarine+Earring_No+Hat_No",3,113,-0.0285597140564044,0.0996231571710361,-0.223821102111635,0.166701673998826,-2.81557403495208
"Background_Aquamarine+Earring_No+Hat_No",3,115,-0.0283871349167136,0.101617752167179,-0.227557929164384,0.170783659330957,-2.79880058299536
"Background_Aquamarine+Earring_No+Hat_No",3,127,-0.027973148945328,0.10297606468055,-0.229806235719206,0.17385993782855,-2.75855231950147
"Background_Aquamarine+Earring_No+Hat_No",3,137,-0.0239679230037793,0.0992681724101905,-0.218533540927753,0.170597694920194,-2.36829734267965
"Background_Aquamarine+Earring_No+Hat_No",3,140,-0.0164645278096538,0.102961409831462,-0.21826889107932,0.185339835460013,-1.63297282890688
"Background_Aquamarine+Earring_No+Hat_No",3,141,-0.0214538538543808,0.104859173475719,-0.22697783386679,0.184070126158028,-2.12253568957613
"Background_Aquamarine+Earring_No+Hat_No",3,142,-0.024914689298229,0.104530299361223,-0.229794076046227,0.179964697449769,-2.46068800494154
