"treatment_combo","covariate","trait","level","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Background_Army.Green+Clothes_No+Earring_No","Background_Army.Green","Background","Army.Green",3,6,-0.173395972848217,0.228008592812644,-0.620292814760999,0.273500869064565,-15.9195386878298
"Background_Army.Green+Clothes_No+Earring_No","Background_Army.Green","Background","Army.Green",3,10,-0.141835787823514,0.227964247929147,-0.588645713764642,0.304974138117614,-13.2236257840572
"Background_Army.Green+Clothes_No+Earring_No","Background_Army.Green","Background","Army.Green",3,24,-0.16010962951374,0.21709455649023,-0.58561496023459,0.26539570120711,-14.7949626022396
"Background_Army.Green+Clothes_No+Earring_No","Background_Army.Green","Background","Army.Green",3,26,-0.165591487667746,0.223175919787367,-0.603016290450986,0.271833315115494,-15.2607666289797
"Background_Army.Green+Clothes_No+Earring_No","Background_Army.Green","Background","Army.Green",3,28,-0.173139577028214,0.212076802757312,-0.588810110432545,0.242530956376117,-15.8979780450942
"Background_Army.Green+Clothes_No+Earring_No","Background_Army.Green","Background","Army.Green",3,29,-0.168851779945147,0.210735923243726,-0.58189418950285,0.244190629612555,-15.5365914180938
"Background_Army.Green+Clothes_No+Earring_No","Background_Army.Green","Background","Army.Green",3,30,-0.153807955748095,0.218804380556208,-0.582664541638263,0.275048630142073,-14.2563329015054
"Background_Army.Green+Clothes_No+Earring_No","Background_Army.Green","Background","Army.Green",3,44,-0.156514070685814,0.239489062249561,-0.625912632694953,0.312884491323326,-14.4880514499354
"Background_Army.Green+Clothes_No+Earring_No","Background_Army.Green","Background","Army.Green",3,53,-0.160612373714779,0.208523351341392,-0.569318142343907,0.248093394914349,-14.8377881746345
"Background_Army.Green+Clothes_No+Earring_No","Background_Army.Green","Background","Army.Green",3,57,-0.146053714210246,0.194808636838474,-0.527878642413654,0.235771213993162,-13.5888713117293
"Background_Army.Green+Clothes_No+Earring_No","Background_Army.Green","Background","Army.Green",3,62,-0.154590459988304,0.183098688814933,-0.513463890065574,0.204282970088965,-14.3234014404508
"Background_Army.Green+Clothes_No+Earring_No","Background_Army.Green","Background","Army.Green",3,72,-0.164774430355373,0.237358406091329,-0.629996906294379,0.300448045583632,-15.1915015257828
"Background_Army.Green+Clothes_No+Earring_No","Background_Army.Green","Background","Army.Green",3,96,-0.152230205907771,0.208686794894759,-0.561256323901498,0.256795912085955,-14.1209440676617
"Background_Army.Green+Clothes_No+Earring_No","Background_Army.Green","Background","Army.Green",3,127,-0.172106721529752,0.215615578976516,-0.594713256323724,0.25049981326422,-15.8110679342196
"Background_Army.Green+Clothes_No+Earring_No","Background_Army.Green","Background","Army.Green",3,129,-0.162300781113836,0.239729251222885,-0.63217011351069,0.307568551283018,-14.9814553646976
"Background_Army.Green+Clothes_No+Earring_No","Background_Army.Green","Background","Army.Green",3,131,-0.170438581909248,0.213848668215819,-0.589581971612254,0.248704807793758,-15.6705118400316
"Background_Army.Green+Clothes_No+Earring_No","Background_Army.Green","Background","Army.Green",3,132,-0.15510765436913,0.203861352944116,-0.554675906139597,0.244460597401337,-14.3677014389514
"Background_Army.Green+Clothes_No+Earring_No","Background_Army.Green","Background","Army.Green",3,139,-0.166822010644096,0.216821555007082,-0.591792258457977,0.258148237169785,-15.3649760734337
"Background_Army.Green+Clothes_No+Earring_No","Background_Army.Green","Background","Army.Green",3,140,-0.160755809504272,0.211100967724158,-0.574513706243621,0.253002087235077,-14.8500026077083
"Background_Army.Green+Clothes_No+Earring_No","Background_Army.Green","Background","Army.Green",3,144,-0.13474327300313,0.194523274967706,-0.516008891939834,0.246522345933573,-12.6059753054614
"Background_Army.Green+Clothes_No+Earring_No","Background_Army.Green","Background","Army.Green",3,150,-0.162510959589066,0.201692404614861,-0.557828072634194,0.232806153456063,-14.9993225550601
"Background_Army.Green+Clothes_No+Earring_No","Background_Army.Green","Background","Army.Green",3,159,-0.150119795826709,0.24302487498163,-0.626448550790704,0.326208959137287,-13.9395126622752
"Background_Army.Green+Clothes_No+Earring_No","Background_Army.Green","Background","Army.Green",3,162,-0.147859389507481,0.207306704425226,-0.554180530180924,0.258461751165961,-13.7447609668023
"Background_Army.Green+Clothes_No+Earring_No","Background_Army.Green","Background","Army.Green",3,172,-0.155937566007556,0.206054638720387,-0.559804657899514,0.247929525884402,-14.4387391985434
"Background_Army.Green+Clothes_No+Earring_No","Background_Army.Green","Background","Army.Green",3,174,-0.144975907088811,0.219465139721344,-0.575127580942646,0.285175766765023,-13.4956865732913
"Background_Army.Green+Clothes_No+Earring_No","Background_Army.Green","Background","Army.Green",3,187,-0.160321335378647,0.215620122231293,-0.582936774951982,0.262294104194687,-14.8129990990929
"Background_Army.Green+Clothes_No+Earring_No","Background_Army.Green","Background","Army.Green",3,188,-0.168644235232024,0.217544946396021,-0.595032330168225,0.257743859704178,-15.5190596649418
"Background_Army.Green+Clothes_No+Earring_No","Background_Army.Green","Background","Army.Green",3,189,-0.167542689916143,0.223713716547495,-0.606021574349233,0.270936194516947,-15.4259488073351
"Background_Army.Green+Clothes_No+Earring_No","Background_Army.Green","Background","Army.Green",3,193,-0.157957050931764,0.193067242447955,-0.536368846129755,0.220454744266227,-14.6113545191443
