"treatment_combo","covariate","trait","level","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,1,-0.0462005019629578,0.0540995409059609,-0.152235602138641,0.0598345982127255,-4.51495064018559
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,2,-0.0451109299090639,0.0486910039799859,-0.140545297709836,0.0503234378917086,-4.41085609988555
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,3,-0.0493849330422495,0.0574799255767447,-0.162045587172669,0.0632757210881702,-4.81853257455931
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,4,-0.045878914748127,0.0580220529419585,-0.159602138514366,0.0678443090181117,-4.48423893112218
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,5,-0.0447285548055655,0.0518288625183356,-0.146313125341503,0.0568560157303723,-4.37429820212389
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,6,-0.0484798590444291,0.0546912576131808,-0.155674723966263,0.0587150058774052,-4.7323473071792
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,7,-0.0462496439974792,0.0569214302110306,-0.157815647211099,0.0653163592161409,-4.51964285448408
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,8,-0.0470754257304434,0.0562803039888271,-0.157384821548545,0.0632339700876577,-4.59845624346461
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,9,-0.0453045674856862,0.0536342598152536,-0.150427716723583,0.0598185817522108,-4.42936395809553
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,10,-0.0448797896405456,0.0539899559907895,-0.150700103382493,0.0609405241014018,-4.38875904583593
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,11,-0.0444857150635177,0.0523392343734223,-0.147070614435425,0.05809918430839,-4.35107366155957
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,12,-0.0473995711700877,0.0538052762663677,-0.152857912652168,0.0580587703119929,-4.62937520741702
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,13,-0.0458947631424902,0.0521668938158013,-0.148141875021461,0.0563523487364803,-4.48575269057614
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,14,-0.0423413899096163,0.0530606938733716,-0.146340349901425,0.061657570082192,-4.1457512024865
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,15,-0.0440398946710908,0.0478908313106004,-0.137905924039868,0.049826134697686,-4.30842191288092
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,16,-0.0423539605256738,0.0576947699166678,-0.155435709562343,0.0707277885109951,-4.14695614187218
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,17,-0.0449494105634265,0.0523561367575886,-0.1475674386083,0.0576686174814471,-4.395415356957
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,18,-0.0468011619140871,0.0527287271039304,-0.150149467037791,0.0565471432096165,-4.57228746357697
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,19,-0.0431818532314546,0.0523219305711791,-0.145732837150966,0.0593691306880565,-4.22627933763091
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,20,-0.0461129926085504,0.0521249573272907,-0.14827790897004,0.0560519237529394,-4.50659443954303
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,21,-0.047630044493612,0.0552452499629181,-0.155910734420932,0.0606506454337075,-4.65135305952796
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,22,-0.0386807533185649,0.0556144656358206,-0.147685105964773,0.0703235993276434,-3.79422061160869
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,23,-0.043895616510528,0.0529534436663782,-0.147684366096629,0.0598931330755732,-4.29461471199834
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,24,-0.0416480459756245,0.0505437881204846,-0.140713870691774,0.0574177787405253,-4.07926819540392
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,25,-0.0478398996757495,0.0559348239101669,-0.157472154539677,0.0617923551881775,-4.67136036780613
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,26,-0.044947695396592,0.0534102780328919,-0.14963184034106,0.059736449547876,-4.39525137900356
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,27,-0.0490987258920719,0.0542402258878431,-0.155409568632244,0.0572121168481005,-4.7912870592731
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,28,-0.0436893803628581,0.0527707238288576,-0.147119999067419,0.0597412383417028,-4.27487476655009
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,29,-0.0432581723082557,0.0498309933334087,-0.140926919241737,0.0544105746252254,-4.23358842065888
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,30,-0.0448895317468183,0.0565119763189601,-0.15565300533198,0.0658739418383434,-4.38969049616902
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,31,-0.0410590289681413,0.0520521202402259,-0.143081184638984,0.0609631267027014,-4.02275261031433
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,32,-0.0435803174733783,0.0577170705604598,-0.15670577577188,0.069545140825123,-4.26443413846412
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,33,-0.0445657237174666,0.0570480425993369,-0.156379887212167,0.0672484397772338,-4.35872609727294
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,34,-0.0421150187374374,0.0553291708886016,-0.150560193679096,0.0663301562042216,-4.12405010766942
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,35,-0.0471184827031284,0.0479312648549382,-0.141063761818807,0.0468267964125504,-4.60256385669692
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,36,-0.0442712949223722,0.0583440564677606,-0.158625645599183,0.0700830557544385,-4.33056240633912
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,37,-0.0450224176214996,0.0547236277146793,-0.152280727942271,0.0622358926992719,-4.40239491163861
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,38,-0.0478818649839967,0.0524039399804986,-0.150593587345774,0.0548298573777806,-4.67536077961324
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,39,-0.0421410362602902,0.0604451139202904,-0.160613459544059,0.076331387023479,-4.12654452993729
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,40,-0.0437005406991443,0.0544359500496476,-0.150395002796454,0.062993921398165,-4.27594308517732
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,41,-0.0450841114089271,0.053121505741485,-0.149202262662238,0.0590340398443835,-4.40829250804111
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,42,-0.0469819760112335,0.0541952225351003,-0.15320461218003,0.059240660157563,-4.58954057941171
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,43,-0.0479755141097347,0.0549677367137275,-0.155712278068641,0.0597612498491711,-4.68428743074445
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,44,-0.0478689821364064,0.0565551983553708,-0.158717170912933,0.0629792066401203,-4.67413271890412
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,45,-0.0411038147381437,0.0529808559561889,-0.144946292412274,0.0627386629359865,-4.02705092898892
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,46,-0.0453212064118482,0.0506184760672926,-0.144533419503742,0.0538910066800452,-4.43095413762242
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,47,-0.0482827723882634,0.0532472028593856,-0.152647289992659,0.0560817452161323,-4.7135694736998
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,48,-0.0448383255878766,0.057796302671903,-0.158119078824807,0.0684424276490534,-4.38479453411346
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,49,-0.0440733207481419,0.0483169652184179,-0.138774572576241,0.0506279310799572,-4.31162045348557
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,50,-0.0440248809590017,0.057653996864326,-0.157026714813081,0.0689769528950773,-4.30698521629312
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,51,-0.046450621716804,0.0546376049513287,-0.153540327421408,0.0606390839878002,-4.53883035070931
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,52,-0.0428096961895966,0.0538095222386968,-0.148276359777442,0.0626569673982491,-4.19062983986711
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,53,-0.0447279111085727,0.0519428440098308,-0.146535885367841,0.0570800631506956,-4.37423664812739
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,54,-0.0407657632710727,0.0535236803783221,-0.145672176812584,0.0641406502704387,-3.99460164830188
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,55,-0.0448207751002661,0.0540068554583716,-0.150674211798674,0.0610326615981422,-4.38311642590878
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,56,-0.0464630807303254,0.0569055597204717,-0.15799797778245,0.0650718163217992,-4.5400196953037
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,57,-0.047279327119377,0.0512272179839759,-0.14768467436797,0.0531260201292156,-4.61790676768113
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,58,-0.0450462617427627,0.0548918353737045,-0.152634259075223,0.062541735589698,-4.40467432535138
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,59,-0.0472453747574491,0.0555692805057808,-0.156161164548779,0.0616704150338813,-4.61466826535318
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,60,-0.0448545023903753,0.0554469651883814,-0.153530554159603,0.0638215493788522,-4.3863412698975
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,61,-0.042779566969903,0.0549462708751768,-0.15047425788525,0.0649151239454434,-4.18774313481799
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,62,-0.0419213473006178,0.0519660834557117,-0.143774870873813,0.0599321762725771,-4.10547987649369
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,63,-0.0415890462684705,0.0556971831046946,-0.150755525153672,0.0675774326167308,-4.07360873336579
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,64,-0.0420777180862254,0.0534158807889336,-0.146772844432535,0.0626174082600844,-4.12047380560409
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,65,-0.0446709494628327,0.0536242152044744,-0.149774411263602,0.060432512337937,-4.36878949213372
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,66,-0.0466097735119417,0.0539328688000716,-0.152318196360082,0.0590986493361986,-4.55402195830706
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,67,-0.0451790370907847,0.0520893244648335,-0.147274113041858,0.056916038860289,-4.4173661853854
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,68,-0.0421709899512345,0.0588827431349275,-0.157581166495692,0.0732391865932234,-4.12941625078267
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,69,-0.0448010871372404,0.0557599413301575,-0.154090572144349,0.0644883978698682,-4.38123390570893
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,70,-0.0461160917597476,0.0547348762535548,-0.153396449216715,0.0611642656972198,-4.50689038758659
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,71,-0.0466207489949157,0.053067811537788,-0.15063365960898,0.0573921616191487,-4.55506951826525
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,72,-0.0444511942960294,0.0545840246067081,-0.151435882525177,0.0625334939331185,-4.34777173022065
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,73,-0.0500551711124704,0.0535190715739162,-0.154952551397346,0.0548422091724053,-4.88230544371763
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,74,-0.0447410193523658,0.0561919007983489,-0.15487714491713,0.065395106212398,-4.37549012573085
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,75,-0.0480857775761208,0.0554818751415552,-0.156830252853569,0.0606586977013273,-4.69479669220896
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,76,-0.042592771532809,0.0540822326407315,-0.148593947508643,0.0634084044430247,-4.16984417074753
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,77,-0.046979894938077,0.0498343662581528,-0.144655252804056,0.0506954629279025,-4.58934202305915
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,78,-0.0432388936100253,0.0554898736867384,-0.151999046036032,0.0655212588159819,-4.23174215111266
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,79,-0.0453063681802048,0.0519727237801054,-0.147172906789211,0.0565601704288018,-4.42953605146105
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,80,-0.0530515993052987,0.0483705073946996,-0.14785779379891,0.0417545951883125,-5.16689220050014
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,81,-0.0417593324914682,0.0536907644946239,-0.146993230900931,0.0634745659179946,-4.08994228549146
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,82,-0.0440909014194024,0.0535058928271283,-0.148962451360574,0.0607806485217691,-4.31330270464223
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,83,-0.0470313798298862,0.0527056865643587,-0.150334525496029,0.056271765836257,-4.59425410401247
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,84,-0.0405998115993198,0.0551992325800296,-0.148790307456178,0.0675906842575382,-3.9786680698827
"Background_Blue+Earring_No+Fur_Brown","Background_Blue","Background","Blue",3,85,-0.0457781823402194,0.0533427945191306,-0.150330059597715,0.0587736949172767,-4.47461691390023
