"treatment_combo","covariate","trait","level","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Background_Blue+Earring_No+Mouth_Bored","Background_Blue","Background","Blue",3,2,0.0186737030495094,0.105232273691525,-0.18758155338588,0.224928959484899,1.88491470035494
"Background_Blue+Earring_No+Mouth_Bored","Background_Blue","Background","Blue",3,3,0.0189902179663598,0.102081599398935,-0.181089716855553,0.219070152788273,1.91716789969973
"Background_Blue+Earring_No+Mouth_Bored","Background_Blue","Background","Blue",3,4,0.0258202255005337,0.0982456557326255,-0.166741259735412,0.21838171073648,2.61564551272448
"Background_Blue+Earring_No+Mouth_Bored","Background_Blue","Background","Blue",3,5,0.0148327753890647,0.0894351872249114,-0.160460191571762,0.190125742349891,1.49433269209889
"Background_Blue+Earring_No+Mouth_Bored","Background_Blue","Background","Blue",3,9,0.017870528945809,0.0883138856881756,-0.155224687003015,0.190965744894633,1.80311622891418
"Background_Blue+Earring_No+Mouth_Bored","Background_Blue","Background","Blue",3,10,0.0148397069436996,0.0950369365782185,-0.171432688749609,0.201112102637008,1.49503620804929
"Background_Blue+Earring_No+Mouth_Bored","Background_Blue","Background","Blue",3,11,0.0186842041436109,0.102841294609586,-0.182884733291178,0.2202531415784,1.88598460904934
"Background_Blue+Earring_No+Mouth_Bored","Background_Blue","Background","Blue",3,12,0.0212462274883445,0.089775970528881,-0.154714674748262,0.197207129724951,2.14735355381994
"Background_Blue+Earring_No+Mouth_Bored","Background_Blue","Background","Blue",3,14,0.0225436886825501,0.0919369276287782,-0.157652689469855,0.202740066834955,2.2799717960541
"Background_Blue+Earring_No+Mouth_Bored","Background_Blue","Background","Blue",3,15,0.0213540422011242,0.0918997405099462,-0.15876944919837,0.201477533600619,2.15836713510693
"Background_Blue+Earring_No+Mouth_Bored","Background_Blue","Background","Blue",3,18,0.0232342212840821,0.0936561186992003,-0.16033177136635,0.206800213934515,2.35062384202616
"Background_Blue+Earring_No+Mouth_Bored","Background_Blue","Background","Blue",3,19,0.0206947651033796,0.0862819087861903,-0.148417776117553,0.189807306324313,2.09103865981135
"Background_Blue+Earring_No+Mouth_Bored","Background_Blue","Background","Blue",3,20,0.0213251405886231,0.100693548153406,-0.176034213792052,0.218684494969298,2.15541463623243
"Background_Blue+Earring_No+Mouth_Bored","Background_Blue","Background","Blue",3,24,0.0225808034445761,0.101219110627655,-0.175808653385627,0.220970260274779,2.28376796331382
"Background_Blue+Earring_No+Mouth_Bored","Background_Blue","Background","Blue",3,25,0.0180680380418794,0.0950818324904769,-0.168292353639455,0.204428429723214,1.82322525617022
"Background_Blue+Earring_No+Mouth_Bored","Background_Blue","Background","Blue",3,31,0.0286146427902876,0.0981471224540524,-0.163753717219655,0.22098300280023,2.90279747108455
"Background_Blue+Earring_No+Mouth_Bored","Background_Blue","Background","Blue",3,35,0.0181354067241671,0.0992210344792343,-0.176337820855132,0.212608634303466,1.83008518375156
"Background_Blue+Earring_No+Mouth_Bored","Background_Blue","Background","Blue",3,36,0.0157731721947533,0.0934468378491161,-0.167382629989514,0.198928974379021,1.58982253049036
"Background_Blue+Earring_No+Mouth_Bored","Background_Blue","Background","Blue",3,42,0.0169844605241299,0.0950886803590114,-0.169389352979532,0.203358274027792,1.71295165428551
"Background_Blue+Earring_No+Mouth_Bored","Background_Blue","Background","Blue",3,45,0.0137838985635228,0.101672254175508,-0.185493719620472,0.213061516747518,1.38793344821941
"Background_Blue+Earring_No+Mouth_Bored","Background_Blue","Background","Blue",3,46,0.0197829079958117,0.106771607841626,-0.189489443373775,0.229055259365398,1.99798865119372
"Background_Blue+Earring_No+Mouth_Bored","Background_Blue","Background","Blue",3,47,0.0250439775377059,0.0983073342929048,-0.167638397676387,0.217726352751799,2.53602123503085
"Background_Blue+Earring_No+Mouth_Bored","Background_Blue","Background","Blue",3,48,0.00989520813852564,0.0826572950443736,-0.152113090148447,0.171903506425498,0.994432759263231
"Background_Blue+Earring_No+Mouth_Bored","Background_Blue","Background","Blue",3,51,0.0210015010411141,0.100494161991065,-0.175967056461374,0.217970058543602,2.12235845349653
"Background_Blue+Earring_No+Mouth_Bored","Background_Blue","Background","Blue",3,56,0.0188880477928103,0.103032744096631,-0.183056130636586,0.220832226222206,1.90675553689328
"Background_Blue+Earring_No+Mouth_Bored","Background_Blue","Background","Blue",3,59,0.0178733829982239,0.0961838641859669,-0.170646990806271,0.206393756802719,1.80340678075852
"Background_Blue+Earring_No+Mouth_Bored","Background_Blue","Background","Blue",3,64,0.0182499974524025,0.0903548526851642,-0.158845513810519,0.195345508715324,1.84175463596179
"Background_Blue+Earring_No+Mouth_Bored","Background_Blue","Background","Blue",3,67,0.016354761082819,0.0975240779697977,-0.174792431737984,0.207501953903622,1.64892322690293
"Background_Blue+Earring_No+Mouth_Bored","Background_Blue","Background","Blue",3,68,0.0182938892955068,0.0944957812956479,-0.166917842043963,0.203505620634977,1.84622475637792
"Background_Blue+Earring_No+Mouth_Bored","Background_Blue","Background","Blue",3,70,0.0243603746789884,0.101860063602679,-0.175285349982263,0.22400609934024,2.46595127053582
"Background_Blue+Earring_No+Mouth_Bored","Background_Blue","Background","Blue",3,77,0.0160178965828195,0.0909548179146779,-0.162253546529949,0.194289339695588,1.61468707999961
"Background_Blue+Earring_No+Mouth_Bored","Background_Blue","Background","Blue",3,78,0.020836890179704,0.0934150699186413,-0.162256646860833,0.203930427220241,2.10554938761762
"Background_Blue+Earring_No+Mouth_Bored","Background_Blue","Background","Blue",3,79,0.018721838274969,0.0824315792295625,-0.142844057014974,0.180287733564912,1.88981907173056
"Background_Blue+Earring_No+Mouth_Bored","Background_Blue","Background","Blue",3,80,0.0159631887628953,0.0952059738354696,-0.170640519954625,0.202566897480416,1.60912811405802
"Background_Blue+Earring_No+Mouth_Bored","Background_Blue","Background","Blue",3,82,0.0247040752105505,0.0961535057923965,-0.163756796142547,0.213164946563648,2.5011749253022
"Background_Blue+Earring_No+Mouth_Bored","Background_Blue","Background","Blue",3,84,0.0198941412928292,0.102560056598178,-0.181123569639599,0.220911852225258,2.00933485478667
"Background_Blue+Earring_No+Mouth_Bored","Background_Blue","Background","Blue",3,89,0.0182921028370695,0.0852653255289092,-0.148827935199592,0.185412140873732,1.84604281249292
"Background_Blue+Earring_No+Mouth_Bored","Background_Blue","Background","Blue",3,90,0.0149242674932509,0.0944431428559716,-0.170184292504453,0.200032827490955,1.50361904696745
"Background_Blue+Earring_No+Mouth_Bored","Background_Blue","Background","Blue",3,91,0.0214928433659051,0.0992859076770009,-0.173107535681017,0.216093222412827,2.17254781958238
"Background_Blue+Earring_No+Mouth_Bored","Background_Blue","Background","Blue",3,94,0.0198292906138269,0.103314739696029,-0.182667599190391,0.222326180418045,2.00271969465788
"Background_Blue+Earring_No+Mouth_Bored","Background_Blue","Background","Blue",3,95,0.0295814739065349,0.10344118983584,-0.173163258171712,0.232326205984782,3.00233520796545
"Background_Blue+Earring_No+Mouth_Bored","Background_Blue","Background","Blue",3,96,0.020627301890094,0.0913094360821192,-0.15833919283086,0.199593796611048,2.08415150261319
"Background_Blue+Earring_No+Mouth_Bored","Background_Blue","Background","Blue",3,97,0.0246794824738095,0.0833716488060619,-0.138728949186072,0.188087914133691,2.49865417188786
"Background_Blue+Earring_No+Mouth_Bored","Background_Blue","Background","Blue",3,98,0.0267617973632506,0.0992722471208418,-0.167811806993599,0.221335401720101,2.71231101883249
"Background_Blue+Earring_No+Mouth_Bored","Background_Blue","Background","Blue",3,99,0.0229338388321934,0.0999628576993385,-0.17299336225851,0.218861039922897,2.31988412775066
