"treatment_combo","covariate","trait","level","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Background_Gray+Earring_No+Fur_Brown","Background_Gray","Background","Gray",3,10,-0.292064863935127,0.258362282793962,-0.798454938211293,0.214325210341038,-25.3279900801599
"Background_Gray+Earring_No+Fur_Brown","Background_Gray","Background","Gray",3,22,-0.296036151805493,0.265426670300134,-0.816272425593755,0.224200121982769,-25.6239460752204
"Background_Gray+Earring_No+Fur_Brown","Background_Gray","Background","Gray",3,34,-0.270161358906251,0.260355503926065,-0.780458146601339,0.240135428788838,-23.6743673806001
"Background_Gray+Earring_No+Fur_Brown","Background_Gray","Background","Gray",3,60,-0.295378024251173,0.265066981670692,-0.81490930832573,0.224153259823385,-25.5749810338968
"Background_Gray+Earring_No+Fur_Brown","Background_Gray","Background","Gray",3,90,-0.298019340428855,0.273147128718059,-0.833387712716251,0.237349031858541,-25.7713016539647
"Background_Gray+Earring_No+Fur_Brown","Background_Gray","Background","Gray",3,109,-0.305887497523197,0.244817615007321,-0.785730022937546,0.173955027891152,-26.3530530565
"Background_Gray+Earring_No+Fur_Brown","Background_Gray","Background","Gray",3,126,-0.287748663485766,0.271650483255065,-0.820183610665694,0.244686283694161,-25.0049941612639
"Background_Gray+Earring_No+Fur_Brown","Background_Gray","Background","Gray",3,154,-0.319128582186753,0.266431558320008,-0.841334436493968,0.203077272120461,-27.3217907932692
"Background_Gray+Earring_No+Fur_Brown","Background_Gray","Background","Gray",3,184,-0.295682812485072,0.274505960600683,-0.833714495262411,0.242348870292266,-25.5976614474483
"Background_Gray+Earring_No+Fur_Brown","Background_Gray","Background","Gray",3,188,-0.294626551402846,0.258679552262216,-0.801638473836789,0.212385371031096,-25.5190316333129
"Background_Gray+Earring_No+Fur_Brown","Background_Gray","Background","Gray",3,206,-0.291100607794733,0.294054434255628,-0.867447298935763,0.285246083346298,-25.2559524102779
"Background_Gray+Earring_No+Fur_Brown","Background_Gray","Background","Gray",3,210,-0.298957312604118,0.249257999929415,-0.787502992465772,0.189588367257535,-25.840893464926
"Background_Gray+Earring_No+Fur_Brown","Background_Gray","Background","Gray",3,213,-0.310440565584554,0.255216822030441,-0.810665536764218,0.18978440559511,-26.6876104092865
"Background_Gray+Earring_No+Fur_Brown","Background_Gray","Background","Gray",3,224,-0.288630592785213,0.276021010320246,-0.829631773012896,0.252370587442469,-25.0711052972662
"Background_Gray+Earring_No+Fur_Brown","Background_Gray","Background","Gray",3,246,-0.292081657903284,0.260046091151479,-0.801771996560183,0.217608680753616,-25.3292441089865
"Background_Gray+Earring_No+Fur_Brown","Background_Gray","Background","Gray",3,252,-0.276115042248372,0.275134645653151,-0.815378947728548,0.263148863231804,-24.1274359763262
"Background_Gray+Earring_No+Fur_Brown","Background_Gray","Background","Gray",3,272,-0.322221096991763,0.249680243339752,-0.811594373937677,0.167152179954151,-27.5462020548191
"Background_Gray+Earring_No+Fur_Brown","Background_Gray","Background","Gray",3,288,-0.280955939709793,0.27152765292724,-0.813150139447184,0.251238260027597,-24.4938397019334
