"treatment","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Background_Gray+Earring_No+Mouth_Bored",3,1,-0.10939256703959,0.0675176526538448,-0.241727166241126,0.0229420321619457,-10.3621540219053
"Background_Gray+Earring_No+Mouth_Bored",3,2,-0.107023578920851,0.06337306729767,-0.231234790824284,0.0171876329825826,-10.1495513025648
"Background_Gray+Earring_No+Mouth_Bored",3,3,-0.105372425112207,0.0629390774943672,-0.228733017001167,0.0179881667767529,-10.0010718445117
"Background_Gray+Earring_No+Mouth_Bored",3,5,-0.105095064329713,0.0684308194796434,-0.239219470509814,0.0290293418503884,-9.97610620929084
"Background_Gray+Earring_No+Mouth_Bored",3,9,-0.105863710439897,0.0649014648211587,-0.233070581489368,0.0213431606095744,-10.0452761380728
"Background_Gray+Earring_No+Mouth_Bored",3,11,-0.108065666058147,0.0695293781729447,-0.244343247277118,0.0282119151608247,-10.243134530025
"Background_Gray+Earring_No+Mouth_Bored",3,14,-0.102478509781108,0.0719318452197625,-0.243464926411842,0.038507906849627,-9.74024534366485
"Background_Gray+Earring_No+Mouth_Bored",3,15,-0.10582744696748,0.060205170194969,-0.22382958054962,0.0121746866146591,-10.0420140082776
"Background_Gray+Earring_No+Mouth_Bored",3,16,-0.10778926910265,0.0623367635140505,-0.229969325590189,0.0143907873848892,-10.2183225768579
"Background_Gray+Earring_No+Mouth_Bored",3,20,-0.102065131540532,0.0698202668499766,-0.238912854566486,0.0347825914854225,-9.70292621216319
"Background_Gray+Earring_No+Mouth_Bored",3,21,-0.0976069417928008,0.0639363365990175,-0.222922161526875,0.0277082779412736,-9.29946604079836
"Background_Gray+Earring_No+Mouth_Bored",3,25,-0.101396394260613,0.0703988277770702,-0.239378096703671,0.0365853081824443,-9.64252099729532
"Background_Gray+Earring_No+Mouth_Bored",3,26,-0.104762282351896,0.06807209899574,-0.238183596383547,0.028659031679754,-9.94614289451539
"Background_Gray+Earring_No+Mouth_Bored",3,27,-0.109279064795815,0.0611988233330091,-0.229228758528512,0.0106706289368831,-10.3519793478463
"Background_Gray+Earring_No+Mouth_Bored",3,29,-0.10815004087894,0.0655382693797917,-0.236605048863332,0.0203049671054518,-10.2507074299784
"Background_Gray+Earring_No+Mouth_Bored",3,30,-0.100511543568525,0.0654209403850477,-0.228736586723219,0.027713499586168,-9.56253273584919
"Background_Gray+Earring_No+Mouth_Bored",3,31,-0.104545961053022,0.0663177559093679,-0.234528762635383,0.0254368405293395,-9.92666021999489
"Background_Gray+Earring_No+Mouth_Bored",3,32,-0.103294106005798,0.0666970460025303,-0.234020316170757,0.0274321041591616,-9.81383084669573
"Background_Gray+Earring_No+Mouth_Bored",3,34,-0.105159238710175,0.0615220544754939,-0.225742465482143,0.0154239880617932,-9.98188325153061
"Background_Gray+Earring_No+Mouth_Bored",3,37,-0.101240085585651,0.0657769260770037,-0.230162860696578,0.0276826895252766,-9.62839623559681
"Background_Gray+Earring_No+Mouth_Bored",3,38,-0.103678585999503,0.0668683890531252,-0.234740628543629,0.0273834565446221,-9.84849895941917
"Background_Gray+Earring_No+Mouth_Bored",3,43,-0.101320879879851,0.0644863186737884,-0.227714064480477,0.0250723047207741,-9.6356974505865
"Background_Gray+Earring_No+Mouth_Bored",3,44,-0.106070511652264,0.0654820104307015,-0.234415252096439,0.0222742287919109,-10.063876960623
"Background_Gray+Earring_No+Mouth_Bored",3,45,-0.100161941402867,0.0658427910883894,-0.22921381193611,0.0288899291303765,-9.53091007408351
"Background_Gray+Earring_No+Mouth_Bored",3,47,-0.106712537381786,0.0649031876470387,-0.233922785169982,0.0204977104064098,-10.1215997338921
"Background_Gray+Earring_No+Mouth_Bored",3,48,-0.110546495290851,0.0626493609066228,-0.233339242667832,0.0122462520861292,-10.4655300090547
"Background_Gray+Earring_No+Mouth_Bored",3,50,-0.109735198846125,0.0676611033748546,-0.24235096146084,0.02288056376859,-10.3928615380204
"Background_Gray+Earring_No+Mouth_Bored",3,53,-0.108610939362628,0.0712186464117241,-0.248199486329607,0.0309776076043516,-10.2920632116954
"Background_Gray+Earring_No+Mouth_Bored",3,54,-0.103528779352319,0.0618642837088918,-0.224782775421747,0.0177252167171086,-9.83499265366774
"Background_Gray+Earring_No+Mouth_Bored",3,55,-0.101089495503756,0.0649533226904688,-0.228398007977075,0.026219016969563,-9.61478614363824
"Background_Gray+Earring_No+Mouth_Bored",3,57,-0.105696113139148,0.0676537758855668,-0.238297513874859,0.0269052875965635,-10.0301987057307
"Background_Gray+Earring_No+Mouth_Bored",3,58,-0.109353672858105,0.0689626013295151,-0.244520371463955,0.0258130257477444,-10.3586675634548
"Background_Gray+Earring_No+Mouth_Bored",3,59,-0.104006818163173,0.0650922723134477,-0.231587671897531,0.023574035571184,-9.87808472589813
"Background_Gray+Earring_No+Mouth_Bored",3,61,-0.10424656163927,0.0618447769293696,-0.225462324420834,0.0169692011422947,-9.89968827737967
"Background_Gray+Earring_No+Mouth_Bored",3,64,-0.10243447340815,0.0656225902462822,-0.231054750290863,0.0261858034745629,-9.73627054392854
"Background_Gray+Earring_No+Mouth_Bored",3,65,-0.107460980550044,0.0612297950206966,-0.227471378790609,0.0125494176905213,-10.1888434413596
"Background_Gray+Earring_No+Mouth_Bored",3,66,-0.105522954629225,0.0576407843999968,-0.218498892053219,0.00745298279476886,-10.0146183201013
"Background_Gray+Earring_No+Mouth_Bored",3,67,-0.105641679548762,0.0659242937000777,-0.234853295200914,0.0235699361033906,-10.0253011931266
"Background_Gray+Earring_No+Mouth_Bored",3,75,-0.0974086247401089,0.0667658093218163,-0.228269611010869,0.0334523615306511,-9.2814767944978
"Background_Gray+Earring_No+Mouth_Bored",3,77,-0.108216530734439,0.0656489462706389,-0.236888465424891,0.0204554039560136,-10.2566746490905
"Background_Gray+Earring_No+Mouth_Bored",3,79,-0.106707069570169,0.0653312523124203,-0.234756324102513,0.0213421849621749,-10.1211082943875
"Background_Gray+Earring_No+Mouth_Bored",3,81,-0.10129320474964,0.0598904611167673,-0.218678508538503,0.0160920990392243,-9.63319657214106
"Background_Gray+Earring_No+Mouth_Bored",3,83,-0.103690470899658,0.0651052105648117,-0.231296683606689,0.0239157418073734,-9.84957039464084
"Background_Gray+Earring_No+Mouth_Bored",3,86,-0.10235390168493,0.0642453829278892,-0.228274852223593,0.023567048853733,-9.72899754670694
"Background_Gray+Earring_No+Mouth_Bored",3,90,-0.107987322839274,0.063365791067624,-0.232184273331817,0.0162096276532694,-10.2361024128124
"Background_Gray+Earring_No+Mouth_Bored",3,91,-0.104174811387085,0.0510475651532997,-0.204228039087553,-0.00412158368661812,-9.89322332536349
