"treatment","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Background_Gray+Earring_No+Mouth_Bored.Unshaven",3,2,-0.37509059333836,0.18816924030217,-0.743902304330614,-0.00627888234610596,-31.2772982218954
"Background_Gray+Earring_No+Mouth_Bored.Unshaven",3,22,-0.384613820111149,0.172643042526312,-0.722994183462722,-0.0462334567595768,-31.9286536698351
"Background_Gray+Earring_No+Mouth_Bored.Unshaven",3,64,-0.385174197682321,0.169901357458894,-0.718180858301753,-0.0521675370628887,-31.9667886395692
"Background_Gray+Earring_No+Mouth_Bored.Unshaven",3,68,-0.376745116402713,0.165164199038857,-0.700466946518873,-0.0530232862865537,-31.3909075065244
"Background_Gray+Earring_No+Mouth_Bored.Unshaven",3,108,-0.37434087328607,0.190511935189597,-0.747744266257679,-0.000937480314459671,-31.2257561156637
"Background_Gray+Earring_No+Mouth_Bored.Unshaven",3,118,-0.378291037597564,0.185540720294027,-0.741950849373856,-0.014631225821271,-31.4968898155137
"Background_Gray+Earring_No+Mouth_Bored.Unshaven",3,141,-0.376380482590516,0.178233243911034,-0.725717640656143,-0.0270433245248887,-31.3658857499651
"Background_Gray+Earring_No+Mouth_Bored.Unshaven",3,184,-0.383663457028585,0.179466577248721,-0.735417948436078,-0.0319089656210916,-31.8639304248826
"Background_Gray+Earring_No+Mouth_Bored.Unshaven",3,189,-0.365970317100484,0.19329112446518,-0.744820921052237,0.0128802868512694,-30.6476613310765
"Background_Gray+Earring_No+Mouth_Bored.Unshaven",3,200,-0.373309676536984,0.188984623994381,-0.74371953956597,-0.00289981350799756,-31.1547997602555
"Background_Gray+Earring_No+Mouth_Bored.Unshaven",3,208,-0.375647363729288,0.184940810311006,-0.73813135193886,-0.0131633755197151,-31.3155503376191
"Background_Gray+Earring_No+Mouth_Bored.Unshaven",3,219,-0.36834441993116,0.177513022721523,-0.716269944465345,-0.0204188953969754,-30.8121156216823
"Background_Gray+Earring_No+Mouth_Bored.Unshaven",3,246,-0.385954401299064,0.185647074745748,-0.74982266780073,-0.0220861347973992,-32.0198476960059
"Background_Gray+Earring_No+Mouth_Bored.Unshaven",3,303,-0.380981792617512,0.166221454718698,-0.706775843866159,-0.0551877413688649,-31.6809671385716
"Background_Gray+Earring_No+Mouth_Bored.Unshaven",3,326,-0.397115961544983,0.187552079494694,-0.764718037354583,-0.0295138857353826,-32.774393473941
"Background_Gray+Earring_No+Mouth_Bored.Unshaven",3,342,-0.377168706292858,0.19191082053174,-0.753313914535069,-0.00102349805064728,-31.419963470136
"Background_Gray+Earring_No+Mouth_Bored.Unshaven",3,374,-0.362520472402646,0.177323229492252,-0.710074002207459,-0.0149669425978328,-30.4079933623004
"Background_Gray+Earring_No+Mouth_Bored.Unshaven",3,392,-0.366890142744542,0.199818435697116,-0.758534276710889,0.0247539912218045,-30.7114240608669
"Background_Gray+Earring_No+Mouth_Bored.Unshaven",3,418,-0.387521999048199,0.175290183472609,-0.731090758654512,-0.0439532394418866,-32.1263297474261
"Background_Gray+Earring_No+Mouth_Bored.Unshaven",3,433,-0.357774776337134,0.177476489175403,-0.705628695120924,-0.00992085755334343,-30.0769459463094
"Background_Gray+Earring_No+Mouth_Bored.Unshaven",3,464,-0.368039212949064,0.186403399439475,-0.733389875850434,-0.00268855004769353,-30.7909957734949
"Background_Gray+Earring_No+Mouth_Bored.Unshaven",3,468,-0.367420026372471,0.169183464185646,-0.699019616176337,-0.035820436568604,-30.74812921727
"Background_Gray+Earring_No+Mouth_Bored.Unshaven",3,472,-0.393568863515885,0.19471519664695,-0.775210648943907,-0.0119270780878634,-32.5355142439675
"Background_Gray+Earring_No+Mouth_Bored.Unshaven",3,502,-0.365250773626307,0.188401352926671,-0.734517425362583,0.00401587810996767,-30.5977413507241
"Background_Gray+Earring_No+Mouth_Bored.Unshaven",3,560,-0.368412622227091,0.180049235827729,-0.72130912444944,-0.0155161200047411,-30.8168342333356
