"treatment_combo","covariate","trait","level","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Background_New.Punk.Blue+Earring_No+Fur_Brown","Background_New.Punk.Blue","Background","New.Punk.Blue",3,2,-0.302082954161897,0.0804416615834783,-0.459748610865515,-0.14441729745828,-26.0723263736232
"Background_New.Punk.Blue+Earring_No+Fur_Brown","Background_New.Punk.Blue","Background","New.Punk.Blue",3,22,-0.293327075297923,0.0870055964351041,-0.463858044310727,-0.122796106285119,-25.4221824816983
"Background_New.Punk.Blue+Earring_No+Fur_Brown","Background_New.Punk.Blue","Background","New.Punk.Blue",3,56,-0.304076783425307,0.0841453164744934,-0.469001603715314,-0.139151963135299,-26.2195786859089
"Background_New.Punk.Blue+Earring_No+Fur_Brown","Background_New.Punk.Blue","Background","New.Punk.Blue",3,57,-0.298247382248541,0.0874411759129538,-0.469632087037931,-0.126862677459152,-25.788226971495
"Background_New.Punk.Blue+Earring_No+Fur_Brown","Background_New.Punk.Blue","Background","New.Punk.Blue",3,60,-0.301018843341342,0.084007856242616,-0.465674241576869,-0.136363445105814,-25.9936172659994
"Background_New.Punk.Blue+Earring_No+Fur_Brown","Background_New.Punk.Blue","Background","New.Punk.Blue",3,79,-0.285354125198734,0.0830275201956831,-0.448088064782272,-0.122620185615195,-24.82520057304
"Background_New.Punk.Blue+Earring_No+Fur_Brown","Background_New.Punk.Blue","Background","New.Punk.Blue",3,85,-0.29732888265886,0.0904991441660772,-0.474707205224372,-0.119950560093349,-25.7200321747668
"Background_New.Punk.Blue+Earring_No+Fur_Brown","Background_New.Punk.Blue","Background","New.Punk.Blue",3,105,-0.296519911077907,0.0771085241722499,-0.447652618455517,-0.145387203700298,-25.6599174795005
"Background_New.Punk.Blue+Earring_No+Fur_Brown","Background_New.Punk.Blue","Background","New.Punk.Blue",3,181,-0.292763580521959,0.0831746693206192,-0.455785932390373,-0.129741228653545,-25.3801464286881
"Background_New.Punk.Blue+Earring_No+Fur_Brown","Background_New.Punk.Blue","Background","New.Punk.Blue",3,254,-0.304093556492263,0.0849194300729056,-0.470535639435159,-0.137651473549368,-26.2208161994772
"Background_New.Punk.Blue+Earring_No+Fur_Brown","Background_New.Punk.Blue","Background","New.Punk.Blue",3,277,-0.297525187723526,0.0830673204474236,-0.460337135800476,-0.134713239646575,-25.7346122775332
"Background_New.Punk.Blue+Earring_No+Fur_Brown","Background_New.Punk.Blue","Background","New.Punk.Blue",3,301,-0.269947538768357,0.104952305868817,-0.475654058271238,-0.0642410192654759,-23.6580456784165
"Background_New.Punk.Blue+Earring_No+Fur_Brown","Background_New.Punk.Blue","Background","New.Punk.Blue",3,358,-0.300484953782229,0.0848533248006143,-0.466797470391433,-0.134172437173025,-25.9540954817548
"Background_New.Punk.Blue+Earring_No+Fur_Brown","Background_New.Punk.Blue","Background","New.Punk.Blue",3,455,-0.289249875130357,0.0837131642664373,-0.453327677092574,-0.12517207316814,-25.1174930738487
"Background_New.Punk.Blue+Earring_No+Fur_Brown","Background_New.Punk.Blue","Background","New.Punk.Blue",3,495,-0.304984742424468,0.0865812091164866,-0.474683912292782,-0.135285572556155,-26.2865378807012
"Background_New.Punk.Blue+Earring_No+Fur_Brown","Background_New.Punk.Blue","Background","New.Punk.Blue",3,518,-0.298690862875188,0.0859136165433994,-0.467081551300251,-0.130300174450125,-25.8211311583783
"Background_New.Punk.Blue+Earring_No+Fur_Brown","Background_New.Punk.Blue","Background","New.Punk.Blue",3,564,-0.301791835991816,0.0812724114738296,-0.461085762480522,-0.14249790950311,-26.0508015515773
