"treatment_combo","covariate","trait","level","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Background_Orange+Earring_No+Hat_No","Background_Orange","Background","Orange",3,2,-0.067314386464949,0.0732143795729379,-0.210814570427907,0.0761857974980092,-6.50987651646431
"Background_Orange+Earring_No+Hat_No","Background_Orange","Background","Orange",3,7,-0.0717178786989109,0.0640913355618957,-0.197336896400227,0.0539011390024047,-6.92065445666749
"Background_Orange+Earring_No+Hat_No","Background_Orange","Background","Orange",3,9,-0.0654964111640241,0.067332859974049,-0.19746881671316,0.0664759943851119,-6.33975919339866
"Background_Orange+Earring_No+Hat_No","Background_Orange","Background","Orange",3,10,-0.0666386551993153,0.0703540342721471,-0.204532562372724,0.0712552519740929,-6.44668096779915
"Background_Orange+Earring_No+Hat_No","Background_Orange","Background","Orange",3,12,-0.0708081999196838,0.0667817589052237,-0.201700447373922,0.0600840475345546,-6.83594362726205
"Background_Orange+Earring_No+Hat_No","Background_Orange","Background","Orange",3,14,-0.0726414879951942,0.0662348439004763,-0.202461782040128,0.0571788060497394,-7.00658371686297
"Background_Orange+Earring_No+Hat_No","Background_Orange","Background","Orange",3,17,-0.0716506134637883,0.0635814579122833,-0.196270270971864,0.052969044044287,-6.91439324202576
"Background_Orange+Earring_No+Hat_No","Background_Orange","Background","Orange",3,19,-0.0695958296261827,0.0748273818221844,-0.216257497997664,0.0770658387452987,-6.72292579700685
"Background_Orange+Earring_No+Hat_No","Background_Orange","Background","Orange",3,21,-0.0713972660440831,0.0707560183483625,-0.210079062006874,0.0672845299187075,-6.89080725614376
"Background_Orange+Earring_No+Hat_No","Background_Orange","Background","Orange",3,23,-0.0701095265895016,0.0607267051684242,-0.189133868719613,0.0489148155406099,-6.770829641689
"Background_Orange+Earring_No+Hat_No","Background_Orange","Background","Orange",3,25,-0.0710283418021849,0.0612113671461274,-0.191002621408595,0.0489459378042248,-6.85645068069989
