"treatment_combo","covariate","trait","level","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Background_Purple+Earring_No+Fur_Dark.Brown","Background_Purple","Background","Purple",3,10,-0.62729656115204,0.0729046511853213,-0.77018967747527,-0.48440344482881,-46.5966421627798
"Background_Purple+Earring_No+Fur_Dark.Brown","Background_Purple","Background","Purple",3,17,-0.622000589954966,0.0734522356898159,-0.765966971907005,-0.478034208002926,-46.3130692837347
"Background_Purple+Earring_No+Fur_Dark.Brown","Background_Purple","Background","Purple",3,37,-0.635812492798211,0.0702454374161097,-0.773493550133786,-0.498131435462636,-47.0494905580558
"Background_Purple+Earring_No+Fur_Dark.Brown","Background_Purple","Background","Purple",3,110,-0.641471186384746,0.0649327100318494,-0.768739298047171,-0.514203074722322,-47.3482751038655
"Background_Purple+Earring_No+Fur_Dark.Brown","Background_Purple","Background","Purple",3,131,-0.635721408750017,0.0646508204076489,-0.762437016749009,-0.509005800751025,-47.0446673916484
"Background_Purple+Earring_No+Fur_Dark.Brown","Background_Purple","Background","Purple",3,142,-0.638822871667853,0.0697650999951492,-0.775562467658345,-0.50208327567736,-47.2086519645507
"Background_Purple+Earring_No+Fur_Dark.Brown","Background_Purple","Background","Purple",3,159,-0.642877754987471,0.0672001187257086,-0.77458998768986,-0.511165522285083,-47.4222813073813
"Background_Purple+Earring_No+Fur_Dark.Brown","Background_Purple","Background","Purple",3,171,-0.63982878695923,0.0695776157612185,-0.776200913851218,-0.503456660067241,-47.2617288888715
"Background_Purple+Earring_No+Fur_Dark.Brown","Background_Purple","Background","Purple",3,177,-0.639891042964302,0.0671836174128276,-0.771570933093444,-0.50821115283516,-47.2650120607456
"Background_Purple+Earring_No+Fur_Dark.Brown","Background_Purple","Background","Purple",3,194,-0.639172741153526,0.0720655751743153,-0.780421268495184,-0.497924213811868,-47.2271188156536
"Background_Purple+Earring_No+Fur_Dark.Brown","Background_Purple","Background","Purple",3,205,-0.640486930548321,0.0748892061951748,-0.787269774690864,-0.493704086405779,-47.2964268245386
"Background_Purple+Earring_No+Fur_Dark.Brown","Background_Purple","Background","Purple",3,234,-0.637971925247565,0.0779229986664441,-0.790701002633795,-0.485242847861335,-47.1637102371286
"Background_Purple+Earring_No+Fur_Dark.Brown","Background_Purple","Background","Purple",3,240,-0.642779556313624,0.0667433281461144,-0.773596479480008,-0.51196263314724,-47.4171179916205
"Background_Purple+Earring_No+Fur_Dark.Brown","Background_Purple","Background","Purple",3,241,-0.636231910576843,0.0765271210543955,-0.786225067843458,-0.486238753310228,-47.0716942864586
"Background_Purple+Earring_No+Fur_Dark.Brown","Background_Purple","Background","Purple",3,244,-0.645919193004958,0.0738297728227763,-0.7906255477376,-0.501212838272317,-47.5819502452141
"Background_Purple+Earring_No+Fur_Dark.Brown","Background_Purple","Background","Purple",3,334,-0.644620617243462,0.0710465414495315,-0.783871838484544,-0.50536939600238,-47.5138372209481
"Background_Purple+Earring_No+Fur_Dark.Brown","Background_Purple","Background","Purple",3,475,-0.64990530860256,0.0713357076625084,-0.789723295621077,-0.510087321584044,-47.790478765433
