"treatment_combo","covariate","trait","level","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,15,-0.22840527555458,0.155398580592808,-0.532986493516485,0.076175942407324,-20.4198324493279
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,70,-0.226021002793478,0.145571713559692,-0.511341561370474,0.0592995557835172,-20.2298652466927
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,74,-0.185207102724792,0.181244503765578,-0.540446330105325,0.17003212465574,-16.9067822287206
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,77,-0.208845521221326,0.164568726306909,-0.531400224782867,0.113709182340215,-18.8479411329623
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,79,-0.219704730934109,0.170937988021313,-0.554743187455881,0.115333725587664,-19.7244208074916
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,81,-0.217241391343811,0.139353055897583,-0.490373380903074,0.0558905982154521,-19.5264310372303
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,91,-0.238181171633946,0.16827776672865,-0.5680055944221,0.0916432511542083,-21.1940095940785
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,108,-0.216102716146838,0.16417736530255,-0.537890352139835,0.105684919846159,-19.4347455901748
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,112,-0.215046388272588,0.148413325323529,-0.505936505906705,0.0758437293615279,-19.3495973019081
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,156,-0.239470689012856,0.183620981493203,-0.599367812739534,0.120426434713822,-21.2955657949534
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,162,-0.226657176817911,0.129538667582941,-0.480552965280475,0.0272386116446538,-20.2805967955904
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,165,-0.210396863420647,0.163270334050116,-0.530406718158875,0.109612991317581,-18.9737381441093
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,166,-0.221555305533073,0.152289645702248,-0.52004301110948,0.0769324000433339,-19.8728393830829
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,179,-0.21842493316094,0.163748454228183,-0.539371903448178,0.102522037126298,-19.6216185309704
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,213,-0.217803480878195,0.160091070476975,-0.531581979013065,0.0959750172566754,-19.5716516779238
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,215,-0.207162105436749,0.160923245756426,-0.522571667119344,0.108247456245845,-18.7112134236118
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,250,-0.205936965188872,0.160339539817735,-0.520202463231632,0.108328532853888,-18.6115622285955
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,271,-0.223964423460461,0.121082028240729,-0.46128519881229,0.0133563518913672,-20.0656428258305
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,281,-0.211552892249878,0.168054192125434,-0.540939108815729,0.117833324315972,-19.067352717741
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,289,-0.246341640046909,0.155609188103819,-0.551335648730395,0.0586523686365764,-21.8344865393153
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,297,-0.219411451544564,0.15719105993051,-0.527505929008364,0.0886830259192354,-19.7008741819295
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,303,-0.209430566745648,0.167053700547019,-0.536855819817806,0.11799468632651,-18.895404896207
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,304,-0.220557703402017,0.158337213412647,-0.530898641690805,0.0897832348867702,-19.7928644719578
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,305,-0.230258036167071,0.138925763895773,-0.502552533402786,0.0420364610686431,-20.5671389453258
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,306,-0.244617183890666,0.155707636392323,-0.549804151219619,0.0605697834382862,-21.6995772492765
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,310,-0.238174337358967,0.158960104959834,-0.549736143080241,0.0733874683623066,-21.1934710104297
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,323,-0.250413297085209,0.184354573105832,-0.61174826037264,0.110921666202223,-22.1521026516134
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,331,-0.219454778390894,0.141533665074444,-0.496860761936805,0.0579512051550172,-19.7043532144459
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,333,-0.222040814810267,0.171038079389438,-0.557275450413565,0.113193820793031,-19.9117324206883
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,340,-0.213350643719302,0.170661728815548,-0.547847632197777,0.121146344759173,-19.2127187981238
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,365,-0.225523742656913,0.162201555379954,-0.543438791201624,0.0923913058877974,-20.1901888746699
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,371,-0.226266931219878,0.15109381162003,-0.522410801995137,0.0698769395553804,-20.2494805783236
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,378,-0.230377198343298,0.149839636614335,-0.524062886107396,0.0633084894207992,-20.5766037739771
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,380,-0.223685179852265,0.152603209388961,-0.522787470254629,0.0754171105500983,-20.0433185507038
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,386,-0.230814659141504,0.153030716732853,-0.530754863937897,0.0691255456548879,-20.6113407976893
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,387,-0.231202313147961,0.14815944120691,-0.521594817913506,0.0591901916175833,-20.6421101651767
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,397,-0.22185463761597,0.163556500008414,-0.542425377632461,0.0987161024005211,-19.8968204236405
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,399,-0.248407008779425,0.15129634899443,-0.544947852808509,0.0481338352496578,-21.9957605443049
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,400,-0.2436531597658,0.155296240834259,-0.548033791800948,0.060727472269348,-21.6240573571072
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,402,-0.20642946381005,0.14554669216514,-0.491700980453725,0.078842052833624,-18.6516360530161
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,416,-0.236876537592079,0.145132338908995,-0.521335921853709,0.047582846669551,-21.0911295204612
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,420,-0.224664726517018,0.148156243866143,-0.515050964494658,0.065721511460621,-20.1216015041797
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,421,-0.213705040109696,0.156351802013346,-0.520154572055855,0.0927444918364616,-19.2413444462588
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,445,-0.237177645006616,0.150857620308497,-0.532858580811271,0.0585032907980383,-21.1148859896313
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,456,-0.216784605301008,0.158421406217132,-0.527290561486587,0.0937213508845718,-19.4896634372896
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,459,-0.232384353021712,0.155499761667824,-0.537163885890648,0.0723951798472238,-20.7358589369494
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,468,-0.208779516489794,0.164384671530541,-0.530973472689654,0.113414439710065,-18.8425845363251
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,473,-0.220564182529559,0.162373885967822,-0.53881699902649,0.0976886339673712,-19.7933841425351
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,513,-0.233417415075833,0.165788787700153,-0.558363438968133,0.0915286088164665,-20.8177014318675
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,533,-0.201181517728478,0.169195432854452,-0.532804566123204,0.130441530666247,-18.2236020579056
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,539,-0.210506960272155,0.166820981342257,-0.537476083702979,0.116462163158669,-18.9826583893746
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,551,-0.223551997260126,0.162816787370461,-0.542672900506229,0.0955689059859775,-20.0326690034581
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,552,-0.235065752826942,0.147208521903861,-0.523594455758509,0.0534629501046252,-20.9481130930572
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,553,-0.213301292847176,0.159554701948371,-0.526028508665983,0.0994259229716313,-19.2087317769592
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,562,-0.245816548793737,0.173822593779075,-0.586508832600725,0.0948757350132502,-21.7934317340812
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,571,-0.233427041461502,0.165248336637218,-0.557313781270449,0.0904596983474451,-20.8184636675429
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,575,-0.216611861867152,0.164870941701808,-0.539758907602696,0.106535183868391,-19.4757546039957
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,593,-0.228661132179061,0.156474247253903,-0.535350656796712,0.078028392438589,-20.4401909578324
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,611,-0.232413747843791,0.151572067892696,-0.529495000913474,0.0646675052258922,-20.7381888580292
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,627,-0.238203442513354,0.154490337232457,-0.54100450348897,0.0645976184622615,-21.1957646532441
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,631,-0.208074598265353,0.162078773749204,-0.525748994813793,0.109599798283088,-18.7853550264237
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,646,-0.211395241351178,0.150925767258254,-0.507209745177356,0.0844192624749998,-19.0545926073677
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,647,-0.23725909069472,0.157399947898424,-0.545762988575632,0.0712448071861911,-21.1213105803919
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,651,-0.234842568928936,0.158316500560041,-0.545142910026617,0.0754577721687451,-20.9304680158173
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,658,-0.224933112995449,0.169030420103612,-0.556232736398528,0.10636651040763,-20.1430369096395
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,670,-0.189398324261292,0.157306716937254,-0.49771948945831,0.118922840935726,-17.254315509355
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,689,-0.206606158457096,0.171434552157868,-0.542617880686518,0.129405563772326,-18.6660086036577
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,690,-0.214992228374966,0.156680407635345,-0.522085827340242,0.09210137059031,-19.3452291660669
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,696,-0.213122443694177,0.153052378738586,-0.513105106021806,0.0868602186334527,-19.1942810348548
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,699,-0.222660545892963,0.16355532437419,-0.543228981666374,0.0979078898804488,-19.9613502330282
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,710,-0.214596881606223,0.144796684297604,-0.498398382829527,0.0692046196170806,-19.3133362590705
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,715,-0.203542156122338,0.149005435978439,-0.495592810640078,0.0885084983954022,-18.4164188876525
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,717,-0.214384621266065,0.152274827554911,-0.512843283273691,0.0840740407415602,-19.2962078626034
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,729,-0.216059440356129,0.164793429265319,-0.539054561716155,0.106935681003896,-19.4312589896444
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,732,-0.231046415197448,0.151440646356786,-0.527870082056747,0.065777251661852,-20.6297374683804
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,739,-0.199399418791628,0.179077748608619,-0.550391806064521,0.151592968481265,-18.0777384930253
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,766,-0.225492180563267,0.154024175526236,-0.527379564594689,0.0763952034681555,-20.1876698701849
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,767,-0.210619044857989,0.154545977196415,-0.513529160162962,0.0922910704469846,-18.9917386756648
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,778,-0.241494738395621,0.176713666025806,-0.5878535238062,0.104864047014958,-21.4547063479277
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,794,-0.221151346997239,0.163074778939603,-0.54077791371886,0.0984752197243831,-19.8404647940439
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,801,-0.223040569403919,0.167437136394549,-0.551217356737236,0.105136217929397,-19.9917610229513
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,805,-0.213467147445841,0.14887661580323,-0.505265314420171,0.0783310195284893,-19.2221302691944
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,806,-0.216291168144537,0.159432458321068,-0.52877878645383,0.0961964501647559,-19.4499268427998
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,808,-0.226624125928522,0.156204903903041,-0.532785737578484,0.0795374857214388,-20.2779619548713
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,814,-0.228163384200402,0.162106344666322,-0.545891819746394,0.0895650513455894,-20.4005803664711
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,819,-0.217652565345862,0.140230173285863,-0.492503704986155,0.05719857429443,-19.5595128749782
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,820,-0.223019341169841,0.169440554302748,-0.555122827603227,0.109084145263545,-19.9900625712985
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,826,-0.226485310269247,0.170358100473605,-0.560387187197513,0.107416566659018,-20.2668945194524
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,854,-0.222692272947607,0.15157136210382,-0.519772142671094,0.0743875967758807,-19.9638895833597
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,895,-0.205083520807281,0.165685613703817,-0.529827323666763,0.1196602820522,-18.5420720748803
"Clothes_No+Earring_No+Fur_Black","Clothes_No","Clothes","No",3,915,-0.232528841522658,0.160219371585441,-0.546558809830122,0.0815011267848067,-20.7473108665144
