"treatment_combo","covariate","trait","level","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Clothes_No+Earring_No+Mouth_Bored","Clothes_No","Clothes","No",3,36,-0.486742626418088,0.118211248725851,-0.718436673920755,-0.255048578915421,-38.5374799120882
"Clothes_No+Earring_No+Mouth_Bored","Clothes_No","Clothes","No",3,78,-0.476950024495891,0.113759961175726,-0.699919548400314,-0.253980500591469,-37.9326453008234
"Clothes_No+Earring_No+Mouth_Bored","Clothes_No","Clothes","No",3,106,-0.472171074083365,0.110850704946706,-0.689438455778909,-0.254903692387821,-37.6353186015745
"Clothes_No+Earring_No+Mouth_Bored","Clothes_No","Clothes","No",3,614,-0.473282117026124,0.114524705625784,-0.697750540052661,-0.248813693999587,-37.7045699629777
"Clothes_No+Earring_No+Mouth_Bored","Clothes_No","Clothes","No",3,690,-0.479338927852052,0.110344693471064,-0.695614527055337,-0.263063328648767,-38.0807412488884
"Clothes_No+Earring_No+Mouth_Bored","Clothes_No","Clothes","No",3,770,-0.476082293614846,0.109743361992413,-0.691179283119975,-0.260985304109717,-37.878764166665
"Clothes_No+Earring_No+Mouth_Bored","Clothes_No","Clothes","No",3,898,-0.42669796560448,0.104256465616062,-0.63104063821196,-0.222355292996999,-34.7339351574086
"Clothes_No+Earring_No+Mouth_Bored","Clothes_No","Clothes","No",3,900,-0.442076081481698,0.101906697263416,-0.641813208117993,-0.242338954845402,-35.7299264028899
"Clothes_No+Earring_No+Mouth_Bored","Clothes_No","Clothes","No",3,957,-0.47984650831304,0.105436357796812,-0.686501769594791,-0.273191247031288,-38.112162279764
"Clothes_No+Earring_No+Mouth_Bored","Clothes_No","Clothes","No",3,960,-0.471757667456319,0.118210156341673,-0.703449573885997,-0.24006576102664,-37.6095312990371
"Clothes_No+Earring_No+Mouth_Bored","Clothes_No","Clothes","No",3,1029,-0.476769084148843,0.101868807755649,-0.676431947349915,-0.27710622094777,-37.9214137960382
"Clothes_No+Earring_No+Mouth_Bored","Clothes_No","Clothes","No",3,1076,-0.480110774408985,0.121022810938908,-0.717315483849245,-0.242906064968724,-38.128514976198
"Clothes_No+Earring_No+Mouth_Bored","Clothes_No","Clothes","No",3,1140,-0.470964345050013,0.113211154749826,-0.692858208359671,-0.249070481740354,-37.5600159040375
"Clothes_No+Earring_No+Mouth_Bored","Clothes_No","Clothes","No",3,1210,-0.474449326938103,0.110273616085831,-0.690585614466331,-0.258313039409874,-37.777239387901
"Clothes_No+Earring_No+Mouth_Bored","Clothes_No","Clothes","No",3,1269,-0.459327265483342,0.1156505911068,-0.686002424052669,-0.232652106914014,-36.8291525312335
"Clothes_No+Earring_No+Mouth_Bored","Clothes_No","Clothes","No",3,1345,-0.473873193184583,0.116280629336389,-0.701783226683907,-0.24596315968526,-37.7413804264881
"Clothes_No+Earring_No+Mouth_Bored","Clothes_No","Clothes","No",3,1348,-0.478900805456539,0.120340364055818,-0.714767919005941,-0.243033691907136,-38.0536070913089
"Clothes_No+Earring_No+Mouth_Bored","Clothes_No","Clothes","No",3,1469,-0.487865393213047,0.111715860122597,-0.706828479053336,-0.268902307372758,-38.6064492632835
"Clothes_No+Earring_No+Mouth_Bored","Clothes_No","Clothes","No",3,1472,-0.476555712717948,0.102614176087015,-0.677679497848498,-0.275431927587398,-37.9081665860341
"Clothes_No+Earring_No+Mouth_Bored","Clothes_No","Clothes","No",3,1584,-0.475585469837639,0.116287911879154,-0.70350977712078,-0.247661162554497,-37.8478931915512
