"treatment_combo","covariate","trait","level","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Earring_No+Eyes_Bloodshot+Mouth_Bored","Earring_No","Earring","No",3,10,-0.274886705817545,0.0409328729499016,-0.355115136799353,-0.194658274835738,-24.034181679736
"Earring_No+Eyes_Bloodshot+Mouth_Bored","Earring_No","Earring","No",3,14,-0.278670270958587,0.0387603232166173,-0.354640504463157,-0.202700037454017,-24.3210602477376
"Earring_No+Eyes_Bloodshot+Mouth_Bored","Earring_No","Earring","No",3,16,-0.275676454886637,0.0402228871394907,-0.354513313680039,-0.196839596093235,-24.0941519301955
"Earring_No+Eyes_Bloodshot+Mouth_Bored","Earring_No","Earring","No",3,21,-0.279880410571369,0.0419040679781455,-0.362012383808534,-0.197748437334203,-24.4125869393779
"Earring_No+Eyes_Bloodshot+Mouth_Bored","Earring_No","Earring","No",3,37,-0.278873681910905,0.039708820953801,-0.356702970980355,-0.201044392841455,-24.3364526074026
"Earring_No+Eyes_Bloodshot+Mouth_Bored","Earring_No","Earring","No",3,38,-0.278231048488349,0.0426681413327522,-0.361860605500544,-0.194601491476155,-24.2878130559523
"Earring_No+Eyes_Bloodshot+Mouth_Bored","Earring_No","Earring","No",3,39,-0.279606750375485,0.0406193249040341,-0.359220627187391,-0.199992873563578,-24.3918988424882
"Earring_No+Eyes_Bloodshot+Mouth_Bored","Earring_No","Earring","No",3,47,-0.281563303768906,0.0397288017784488,-0.359431755254666,-0.203694852283147,-24.5396855059839
"Earring_No+Eyes_Bloodshot+Mouth_Bored","Earring_No","Earring","No",3,51,-0.279686143706614,0.0385819634600875,-0.355306792088386,-0.204065495324843,-24.3979013832154
"Earring_No+Eyes_Bloodshot+Mouth_Bored","Earring_No","Earring","No",3,60,-0.280923040777348,0.0410507747374555,-0.361382559262761,-0.200463522291935,-24.4913555890044
"Earring_No+Eyes_Bloodshot+Mouth_Bored","Earring_No","Earring","No",3,61,-0.278243476054394,0.0393408228590735,-0.355351488858178,-0.20113546325061,-24.2887539683093
"Earring_No+Eyes_Bloodshot+Mouth_Bored","Earring_No","Earring","No",3,67,-0.277247798422643,0.0366865975970466,-0.349153529712854,-0.205342067132431,-24.2133324326264
"Earring_No+Eyes_Bloodshot+Mouth_Bored","Earring_No","Earring","No",3,68,-0.280142792673427,0.0395593468394488,-0.357679112478746,-0.202606472868107,-24.4324171220496
"Earring_No+Eyes_Bloodshot+Mouth_Bored","Earring_No","Earring","No",3,69,-0.275513312780379,0.0378389376799328,-0.349677630633047,-0.20134899492771,-24.0817674800789
"Earring_No+Eyes_Bloodshot+Mouth_Bored","Earring_No","Earring","No",3,70,-0.276114129699111,0.0420485888805709,-0.35852936390503,-0.193698895493192,-24.1273667388423
"Earring_No+Eyes_Bloodshot+Mouth_Bored","Earring_No","Earring","No",3,77,-0.276520902725861,0.039362390794799,-0.353671188683667,-0.199370616768055,-24.1582234032666
"Earring_No+Eyes_Bloodshot+Mouth_Bored","Earring_No","Earring","No",3,94,-0.275852296930615,0.0416901018765301,-0.357564896608614,-0.194139697252616,-24.1074981962182
"Earring_No+Eyes_Bloodshot+Mouth_Bored","Earring_No","Earring","No",3,111,-0.27703864218041,0.0379686499473833,-0.351457196077281,-0.202620088283539,-24.1974795202166
"Earring_No+Eyes_Bloodshot+Mouth_Bored","Earring_No","Earring","No",3,112,-0.275109672564157,0.0391715629872393,-0.351885936019146,-0.198333409109168,-24.0511176429521
"Earring_No+Eyes_Bloodshot+Mouth_Bored","Earring_No","Earring","No",3,114,-0.276722958031826,0.034021911715919,-0.343405904995028,-0.210040011068625,-24.1735460885748
"Earring_No+Eyes_Bloodshot+Mouth_Bored","Earring_No","Earring","No",3,115,-0.278632995501527,0.0379206823955679,-0.35295753299684,-0.204308458006214,-24.3182392280914
"Earring_No+Eyes_Bloodshot+Mouth_Bored","Earring_No","Earring","No",3,118,-0.277451163747623,0.0426649855386991,-0.361074535403473,-0.193827792091773,-24.2287432458398
"Earring_No+Eyes_Bloodshot+Mouth_Bored","Earring_No","Earring","No",3,151,-0.273338295551411,0.0356638295905329,-0.343239401548855,-0.203437189553966,-23.9164643129036
"Earring_No+Eyes_Bloodshot+Mouth_Bored","Earring_No","Earring","No",3,163,-0.277500701367848,0.0414313599601042,-0.358706166889653,-0.196295235846044,-24.232496680612
"Earring_No+Eyes_Bloodshot+Mouth_Bored","Earring_No","Earring","No",3,173,-0.280859776321285,0.0387667499759754,-0.356842606274197,-0.204876946368373,-24.486578424577
"Earring_No+Eyes_Bloodshot+Mouth_Bored","Earring_No","Earring","No",3,176,-0.281031741984017,0.0384045922237245,-0.356304742742517,-0.205758741225517,-24.4995630236787
"Earring_No+Eyes_Bloodshot+Mouth_Bored","Earring_No","Earring","No",3,178,-0.277151901359033,0.0369271421252677,-0.349529099924558,-0.204774702793508,-24.2060643652583
"Earring_No+Eyes_Bloodshot+Mouth_Bored","Earring_No","Earring","No",3,182,-0.276539646790194,0.0431349140526329,-0.361084078333354,-0.191995215247033,-24.1596449730832
"Earring_No+Eyes_Bloodshot+Mouth_Bored","Earring_No","Earring","No",3,201,-0.28109274615986,0.0406508273258645,-0.360768367718554,-0.201417124601165,-24.5041687251273
"Earring_No+Eyes_Bloodshot+Mouth_Bored","Earring_No","Earring","No",3,204,-0.279093425152832,0.034423115619066,-0.346562731766202,-0.211624118539463,-24.3530773339499
"Earring_No+Eyes_Bloodshot+Mouth_Bored","Earring_No","Earring","No",3,213,-0.278666415564049,0.037008542249568,-0.351203158373203,-0.206129672754896,-24.3207684750042
"Earring_No+Eyes_Bloodshot+Mouth_Bored","Earring_No","Earring","No",3,218,-0.279996773219902,0.0400546134134321,-0.358503815510229,-0.201489730929575,-24.4213819792404
"Earring_No+Eyes_Bloodshot+Mouth_Bored","Earring_No","Earring","No",3,238,-0.27559862838238,0.0388843653111757,-0.351811984392285,-0.199385272372476,-24.0882442135021
"Earring_No+Eyes_Bloodshot+Mouth_Bored","Earring_No","Earring","No",3,240,-0.279689362236878,0.0407395399823191,-0.359538860602224,-0.199839863871533,-24.3981447104663
