"treatment_combo","covariate","trait","level","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Earring_No+Eyes_Bored+Fur_Black","Earring_No","Earring","No",3,4,0.133532896928463,0.125578641820344,-0.112601241039412,0.379667034896338,14.2858862062939
"Earring_No+Eyes_Bored+Fur_Black","Earring_No","Earring","No",3,22,0.113144494568211,0.12076261638902,-0.123550233554268,0.34983922269069,11.9793725370074
"Earring_No+Eyes_Bored+Fur_Black","Earring_No","Earring","No",3,51,0.123163022041279,0.129455691643693,-0.130570133580359,0.376896177662917,13.1068795062357
"Earring_No+Eyes_Bored+Fur_Black","Earring_No","Earring","No",3,57,0.124812688676535,0.122304395865414,-0.114903927219675,0.364529304572746,13.2936221407717
"Earring_No+Eyes_Bored+Fur_Black","Earring_No","Earring","No",3,59,0.134579594517033,0.127130136993572,-0.114595473990368,0.383754663024433,14.4055715940699
"Earring_No+Eyes_Bored+Fur_Black","Earring_No","Earring","No",3,70,0.127692431604064,0.122522170833992,-0.112451023230561,0.367835886438689,13.6203488665614
"Earring_No+Eyes_Bored+Fur_Black","Earring_No","Earring","No",3,76,0.126666111538798,0.127304651080243,-0.122851004578479,0.376183227656074,13.5037978422552
"Earring_No+Eyes_Bored+Fur_Black","Earring_No","Earring","No",3,80,0.128648765028464,0.127325490152113,-0.120909195669677,0.378206725726606,13.7290597775281
"Earring_No+Eyes_Bored+Fur_Black","Earring_No","Earring","No",3,94,0.140867449317536,0.121292704356729,-0.0968662512216534,0.378601149856726,15.1272035976485
"Earring_No+Eyes_Bored+Fur_Black","Earring_No","Earring","No",3,98,0.128319932351097,0.123906939284683,-0.114537668646882,0.371177533349076,13.6916680944476
"Earring_No+Eyes_Bored+Fur_Black","Earring_No","Earring","No",3,101,0.127152170057548,0.135398906601694,-0.138229686881772,0.392534026996868,13.5589807400793
"Earring_No+Eyes_Bored+Fur_Black","Earring_No","Earring","No",3,151,0.12428119422946,0.115201256047578,-0.101513267623793,0.350075656082713,13.2334232088311
"Earring_No+Eyes_Bored+Fur_Black","Earring_No","Earring","No",3,166,0.127272416820972,0.121518080854575,-0.110903021653996,0.36544785529594,13.5726366609947
