"treatment_combo","covariate","trait","level","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,4,0.0865031088619165,0.153816577017939,-0.214977382093244,0.387983599817077,9.03547574748913
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,11,0.0738612412181064,0.139090702954426,-0.198756536572568,0.346479019008781,7.66573994614939
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,16,0.071388540377448,0.142273378573437,-0.207467281626489,0.350244362381385,7.39984365694304
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,22,0.0576752881818178,0.145176437718187,-0.226870529745828,0.342221106109464,5.93709495882193
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,23,0.0717003450179651,0.15005257110049,-0.222402694338995,0.365803384374925,7.43333664794974
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,27,0.0717955160559266,0.145935562850297,-0.214238187130655,0.357829219242508,7.44356167666578
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,34,0.0657430013403516,0.150976502159833,-0.230170942892921,0.361656945573625,6.79522196057445
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,38,0.0712055028502457,0.169222970791462,-0.26047151990102,0.402882525601511,7.38018725412273
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,39,0.0656215132940077,0.128686167758738,-0.186603375513118,0.317846402101134,6.78224840578145
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,47,0.0622613503255522,0.142410812532675,-0.216863842238491,0.341386542889596,6.42404479728074
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,48,0.0624413618964358,0.142472813351337,-0.216805352272184,0.341688076065056,6.44320408115915
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,49,0.0747965479117845,0.150173233697373,-0.219542990135067,0.369136085958636,7.76648754100626
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,50,0.0765315996725062,0.143318317018881,-0.2043723016845,0.357435501029512,7.95363027918183
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,59,0.070906645703245,0.136160917860563,-0.195968753303458,0.337782044709948,7.3481007126005
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,61,0.076485568016438,0.127459091237207,-0.173334250808488,0.326305386841364,7.94866110917194
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,64,0.0938493754618012,0.154700068147635,-0.209362758107563,0.397061509031165,9.83942883240607
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,65,0.0746125270798037,0.165134225746195,-0.249050555382738,0.398275609542345,7.7466580868816
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,85,0.0656898135271963,0.14318076426039,-0.214944484423168,0.346324111477561,6.78954190731906
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,91,0.0732820811237715,0.149303378481049,-0.219352540699084,0.365916702946627,7.60340229952667
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,94,0.0672914678591294,0.138748647839004,-0.204655881905318,0.339238817623577,6.96071888630172
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,95,0.0791924815929525,0.149662200670704,-0.214145431721628,0.372530394907533,8.24126465307957
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,97,0.0661916115399626,0.149732351403303,-0.227283797210511,0.359667020290436,6.84314213435138
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,101,0.0798484532787927,0.153641265938145,-0.221288427959972,0.380985334517558,8.31229115107046
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,117,0.0780450499243043,0.140156037068647,-0.196660782730244,0.352750882578852,8.11713642611034
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,118,0.0635667294472878,0.133461393363469,-0.198017601545111,0.325151060439687,6.56305923694314
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,121,0.0606814958577323,0.142467072227082,-0.218553965707349,0.339916957422814,6.25604303873224
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,127,0.059902903006431,0.16157459217511,-0.256783297656785,0.376589103669647,6.17334504142715
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,128,0.0783557710178861,0.16077011699723,-0.236753658296684,0.393465200332456,8.15073592074111
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,129,0.068285290855124,0.154183432738604,-0.23391423731254,0.370484819022788,7.0670717476051
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,130,0.078903548206072,0.139720369359675,-0.19494837573889,0.352755472151034,8.20999465557382
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,131,0.0742667941828239,0.154630880752035,-0.228809732091165,0.377343320456813,7.70941296144487
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,133,0.0726011866612909,0.149843963804473,-0.221092982395477,0.366295355718058,7.53016067649428
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,142,0.0629294194683937,0.15300256260497,-0.236955603237348,0.362814442174136,6.49516717235301
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,147,0.0797799489615518,0.151251641199676,-0.216673267789812,0.376233165712916,8.30487154565676
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,150,0.0700910969784101,0.130433139713835,-0.185557856860707,0.325740050817527,7.2605887959174
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,151,0.0655424738272938,0.158679771159622,-0.245469877645566,0.376554825300154,6.77380872735118
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,153,0.0773008016519537,0.147574102823013,-0.211944439881152,0.36654604318506,8.03670037002442
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,165,0.0723193105914478,0.138221542565174,-0.198594912836293,0.343233534019189,7.49985476886894
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,168,0.0731991468947822,0.165025488035051,-0.250250809653918,0.396649103443482,7.59447866436285
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,174,0.0890325774939194,0.147175607146243,-0.199431612512717,0.377496767500556,9.31162667348109
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,176,0.0707465005989528,0.151146057425744,-0.225499771955506,0.366992773153412,7.33091081629191
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,185,0.0826765527087353,0.155558569135054,-0.22221824279597,0.38757134821344,8.61904263732871
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,186,0.0727100640857696,0.135571791116119,-0.193010646501823,0.338430774673362,7.5418689208127
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,191,0.0729306019032117,0.135755719082908,-0.193150607499289,0.339011811305712,7.56558858531353
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,194,0.0638867916559102,0.148260492592714,-0.22670377382581,0.35447735713763,6.59717150377259
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,195,0.0679993067537794,0.153304219354627,-0.232476963181289,0.368475576688848,7.03645664523267
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,201,0.072013831168313,0.146141291906273,-0.214423100967983,0.358450763304609,7.46702079055477
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,206,0.0728370459102688,0.139178225050073,-0.199952275187875,0.345626367008412,7.5555256505982
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,210,0.065463122526834,0.14687713308842,-0.22241605832647,0.353342303380138,6.76533642292225
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,212,0.0681053608556969,0.150947304104567,-0.227751355189255,0.363962076900649,7.04780890248071
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,233,0.0803497221854265,0.151547661070035,-0.216683693511842,0.377383137882695,8.36659834494744
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,234,0.0658461637606758,0.134435460930755,-0.197647339663605,0.329339667184956,6.80623978245378
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,238,0.0867700133135306,0.156674599232991,-0.220312201183132,0.393852227810193,9.06458168542941
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,246,0.0665623617990011,0.138216530734998,-0.204342038441594,0.337466762039596,6.88276160098411
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,248,0.0891398929846483,0.158092235660723,-0.220720888910369,0.399000674879666,9.32335813381238
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,260,0.0692094365117996,0.147714994545389,-0.220311952797163,0.358730825820762,7.16606305107994
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,263,0.06403695470188,0.14892026025652,-0.227846755400899,0.355920664804659,6.61317966162416
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,267,0.0681607584542601,0.150629806790584,-0.227073662855284,0.363395179763804,7.05373925828756
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,269,0.061017832766875,0.163404543843751,-0.259255073166877,0.381290738700627,6.29178687847496
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,273,0.0778302043364293,0.147201054135159,-0.210683861768482,0.366344270441341,8.09391043146608
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,275,0.0634343355671927,0.146262841124572,-0.223240833036968,0.350109504171354,6.5489518739408
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,279,0.0718681043920982,0.157210445444946,-0.236264368679996,0.380000577464193,7.45136110911071
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,284,0.0796748068039746,0.1472417829867,-0.208919087849958,0.368268701457907,8.29348473641365
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,286,0.0640015978820247,0.146457323945453,-0.223054757051063,0.351057952815112,6.6094102252747
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,292,0.0687171566739457,0.133711180463203,-0.193356757033933,0.330791070381824,7.11332034208896
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,300,0.073816565141879,0.142822267588548,-0.206115079331675,0.353748209615433,7.66092997079069
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,302,0.0627499150463221,0.150049814844115,-0.231347722048143,0.356847552140787,6.47605253454866
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,307,0.0712294301922233,0.144389140004867,-0.211773284217315,0.354232144601762,7.38275660732355
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,309,0.06355344377818,0.155358546489854,-0.240949307341933,0.368056194898293,6.56164348480361
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,314,0.0672756193343497,0.143387077075085,-0.213763051732816,0.348314290401516,6.95902373013091
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,316,0.0676239538825115,0.149469933494861,-0.225337115767416,0.360585023532439,6.99628774312853
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,317,0.0751714215328782,0.151386539464742,-0.221546195818017,0.371889038883773,7.80689392759435
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,321,0.0811750421879707,0.144277421996411,-0.201608704924996,0.363958789300937,8.45607238344726
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,328,0.0716092810722532,0.157613665228635,-0.237313502775871,0.380532064920377,7.42355378985318
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,330,0.0742669307732079,0.143468291892796,-0.206930921336673,0.355464782883089,7.70942767351597
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,331,0.0859561040746826,0.15290356081703,-0.213734875126695,0.38564708327606,8.97584912978635
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,332,0.0682835028734161,0.129210719156642,-0.184969506673602,0.321536512420434,7.06688031381042
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,333,0.0763696334555654,0.154640125302424,-0.226725012137185,0.379464279048316,7.93614685398083
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,335,0.0770060921229717,0.143431674560386,-0.204119990015384,0.358132174261328,8.00486561617868
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,337,0.0752318676459701,0.14277852110063,-0.204614033711265,0.355077769003205,7.81341063224952
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,338,0.0708731357063269,0.153549299089112,-0.230083490508333,0.371829761920987,7.34450353834744
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,341,0.0730743476942183,0.144656679064279,-0.210452743271769,0.356601438660206,7.58105179728901
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,343,0.0633458103120858,0.154968484623535,-0.240392419550042,0.367084040174214,6.53952001827967
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,349,0.0724814183089298,0.153918005518268,-0.229197872506875,0.374160709124735,7.5172827375211
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,352,0.0698158141082618,0.150770056470847,-0.225693496574598,0.365325124791121,7.231065856946
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,358,0.0754201060400091,0.139123021891195,-0.197261016866734,0.348101228946752,7.83370716575631
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,360,0.0596797442033047,0.148510681482778,-0.231401191502939,0.350760679909549,6.14965416833555
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,362,0.087774765918381,0.131580594286701,-0.170123198883553,0.345672730720315,9.17421967828067
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,372,0.059231810687953,0.14410715242123,-0.223218208057659,0.341681829433565,6.10211682816935
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,373,0.0859514632815794,0.145733367488774,-0.199685936996418,0.371588863559576,8.97534339659078
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,376,0.0780021717860438,0.138355511798204,-0.193174631338437,0.349178974910524,8.11250066397347
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,382,0.0765963041772893,0.145748079907083,-0.209069932440593,0.362262540795171,7.96061559135672
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,383,0.0660422567279617,0.153944095102019,-0.235688169671996,0.36777268312792,6.82718578855248
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,389,0.0697537180306688,0.157347064071614,-0.238646527549694,0.378153963611032,7.22440743509325
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,391,0.0672445858733166,0.141112242923067,-0.209335410255896,0.343824582002529,6.95570447294012
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,393,0.0789697279441314,0.134267578684749,-0.184194726277976,0.342134182166239,8.21715620164754
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,403,0.0763770339335086,0.145842748793809,-0.209474753702356,0.362228821569374,7.93694563601057
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,404,0.0647775700845112,0.14382851697723,-0.217126323190859,0.346681463359882,6.69216826895109
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,405,0.071214546358914,0.148183370826776,-0.219224860461566,0.361653953179394,7.38115835216802
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,417,0.0827153643060434,0.152896352973889,-0.216961487522778,0.382392216134865,8.62325839768121
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,423,0.067513270591648,0.147604471039127,-0.22179149264504,0.356818033828336,6.98444569726133
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,446,0.0879494112175924,0.147416064085633,-0.200986074390247,0.376884896825432,9.19328810759985
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,451,0.0868623263327249,0.160183828187397,-0.227097976914573,0.400822629580023,9.07465023097371
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,454,0.0758970053335191,0.137230203975362,-0.19307419445819,0.344868205125228,7.88514524893811
"Earring_No+Eyes_Bored+Fur_Dark.Brown","Earring_No","Earring","No",3,458,0.0707233639398497,0.160475337752748,-0.243808298055537,0.385255025935237,7.3284275663243
