"treatment","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Earring_No+Eyes_Sleepy+Hat_No",3,17,-0.345287378043539,0.0590271606056417,-0.460980612830597,-0.229594143256481,-29.1983144269983
"Earring_No+Eyes_Sleepy+Hat_No",3,38,-0.355790411737042,0.0552183868980254,-0.464018450057172,-0.247562373416912,-29.9380553539033
"Earring_No+Eyes_Sleepy+Hat_No",3,67,-0.358278040867366,0.0504711425928183,-0.45720148034929,-0.259354601385442,-30.1121268858581
"Earring_No+Eyes_Sleepy+Hat_No",3,109,-0.358685094135172,0.0524093097600512,-0.461407341264873,-0.255962847005472,-30.1405691838314
"Earring_No+Eyes_Sleepy+Hat_No",3,121,-0.352222800802971,0.0542345430832355,-0.458522505246113,-0.24592309635983,-29.6876551945363
"Earring_No+Eyes_Sleepy+Hat_No",3,137,-0.358924170081367,0.0560652118611171,-0.468811985329156,-0.249036354833577,-30.1572688970249
"Earring_No+Eyes_Sleepy+Hat_No",3,141,-0.360162769542723,0.0548885086443266,-0.467744246485604,-0.252581292599843,-30.2437225143942
"Earring_No+Eyes_Sleepy+Hat_No",3,178,-0.34856529974974,0.0472931059501546,-0.441259787412043,-0.255870812087437,-29.4300168503065
"Earring_No+Eyes_Sleepy+Hat_No",3,196,-0.358309530462781,0.0497401259008581,-0.455800177228463,-0.2608188836971,-30.114327592057
"Earring_No+Eyes_Sleepy+Hat_No",3,218,-0.362605276439396,0.0539032167882053,-0.468255581344278,-0.256954971534514,-30.4138947951526
"Earring_No+Eyes_Sleepy+Hat_No",3,219,-0.355419734531577,0.0538623070983683,-0.460989856444379,-0.249849612618775,-29.9120801741464
"Earring_No+Eyes_Sleepy+Hat_No",3,220,-0.353013580024195,0.0499058613920442,-0.450829068352601,-0.255198091695788,-29.743234757326
"Earring_No+Eyes_Sleepy+Hat_No",3,247,-0.36361150707618,0.0540117546343074,-0.469474546159422,-0.257748467992937,-30.483879249948
"Earring_No+Eyes_Sleepy+Hat_No",3,298,-0.358187758964799,0.0554920585199133,-0.46695219366383,-0.249423324265769,-30.1058169908766
"Earring_No+Eyes_Sleepy+Hat_No",3,337,-0.360073505289657,0.0536491892013684,-0.46522591612434,-0.254921094454975,-30.2374954944668
"Earring_No+Eyes_Sleepy+Hat_No",3,389,-0.359364391104449,0.0506353431069826,-0.458609663594135,-0.260119118614763,-30.1880083689886
"Earring_No+Eyes_Sleepy+Hat_No",3,423,-0.359266374854728,0.0562013424904558,-0.469421006136021,-0.249111743573434,-30.181165324024
"Earring_No+Eyes_Sleepy+Hat_No",3,427,-0.358277296403906,0.0535575993999833,-0.463250191227873,-0.253304401579938,-30.1120748568709
