"treatment_combo","covariate","trait","level","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Earring_No+Fur_Black+Mouth_Bored","Earring_No","Earring","No",3,11,-0.0977911149250277,0.057347887139464,-0.210192973718377,0.0146107438683217,-9.31616910405733
"Earring_No+Fur_Black+Mouth_Bored","Earring_No","Earring","No",3,15,-0.0959364396738152,0.0544537054100305,-0.202665702277475,0.0107928229298446,-9.14782398270077
"Earring_No+Fur_Black+Mouth_Bored","Earring_No","Earring","No",3,22,-0.103739984994983,0.0567839221312271,-0.215036472372188,0.00755650238222197,-9.85403400109932
"Earring_No+Fur_Black+Mouth_Bored","Earring_No","Earring","No",3,28,-0.100669241846046,0.0520013583428242,-0.202591904197981,0.00125342050588928,-9.57679344418595
"Earring_No+Fur_Black+Mouth_Bored","Earring_No","Earring","No",3,29,-0.0963418846885025,0.0546119595260902,-0.203381325359639,0.0106975559826342,-9.18465207815213
"Earring_No+Fur_Black+Mouth_Bored","Earring_No","Earring","No",3,30,-0.0943762352331662,0.0552308715917544,-0.202628743553005,0.0138762730866724,-9.00596537880055
"Earring_No+Fur_Black+Mouth_Bored","Earring_No","Earring","No",3,31,-0.0998794069321629,0.0529731328814023,-0.203706747379711,0.00394793351538555,-9.5053458264257
"Earring_No+Fur_Black+Mouth_Bored","Earring_No","Earring","No",3,32,-0.100632831584683,0.0555051906545913,-0.209423005267682,0.00815734209831578,-9.5735010516639
"Earring_No+Fur_Black+Mouth_Bored","Earring_No","Earring","No",3,33,-0.0952374391010048,0.054222572276419,-0.201513680762786,0.0110388025607764,-9.08429605918281
"Earring_No+Fur_Black+Mouth_Bored","Earring_No","Earring","No",3,38,-0.096198794482809,0.0579022114730082,-0.209687128969905,0.0172895400042871,-9.17165636158016
"Earring_No+Fur_Black+Mouth_Bored","Earring_No","Earring","No",3,44,-0.0949668153753078,0.0594987575142373,-0.211584380103213,0.0216507493525974,-9.05968878315179
"Earring_No+Fur_Black+Mouth_Bored","Earring_No","Earring","No",3,46,-0.100452934338741,0.0539874096610045,-0.20626825727431,0.0053623885968278,-9.55723211021789
"Earring_No+Fur_Black+Mouth_Bored","Earring_No","Earring","No",3,48,-0.101431445760447,0.055365086280235,-0.209947014869707,0.00708412334881403,-9.64568810694924
"Earring_No+Fur_Black+Mouth_Bored","Earring_No","Earring","No",3,54,-0.100660923977677,0.0569602251367831,-0.212302965245772,0.0109811172904175,-9.57604131272828
