"treatment","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Earring_No+Fur_Brown+Mouth_Bored",3,3,-0.225449861473751,0.0496172141210695,-0.322699601151047,-0.128200121796455,-20.1842922135725
"Earring_No+Fur_Brown+Mouth_Bored",3,8,-0.225879684806811,0.053727055962544,-0.331184714493397,-0.120574655120225,-20.21859149528
"Earring_No+Fur_Brown+Mouth_Bored",3,10,-0.223248419356969,0.0489595323474845,-0.319209102758039,-0.1272877359559,-20.0083890035439
"Earring_No+Fur_Brown+Mouth_Bored",3,11,-0.22310006058927,0.051324615574624,-0.323696307115533,-0.122503814063008,-19.996520666346
"Earring_No+Fur_Brown+Mouth_Bored",3,12,-0.228493024539448,0.0532910656650018,-0.332943513242852,-0.124042535836045,-20.426815221876
"Earring_No+Fur_Brown+Mouth_Bored",3,14,-0.227583367731303,0.0565059394477335,-0.338335009048861,-0.116831726413745,-20.3543980001811
"Earring_No+Fur_Brown+Mouth_Bored",3,15,-0.229812892100033,0.0552238612172469,-0.338051660085837,-0.121574124114229,-20.5317720073922
"Earring_No+Fur_Brown+Mouth_Bored",3,18,-0.228343151732374,0.0600517824475503,-0.346044645329573,-0.110641658135176,-20.4148884715801
"Earring_No+Fur_Brown+Mouth_Bored",3,21,-0.228044564185762,0.0550452201453602,-0.335933195670668,-0.120155932700856,-20.3911218003425
"Earring_No+Fur_Brown+Mouth_Bored",3,32,-0.224305470260317,0.0526139359309392,-0.327428784684957,-0.121182155835676,-20.0928995343724
"Earring_No+Fur_Brown+Mouth_Bored",3,33,-0.226724015348545,0.0549617490402003,-0.334449043467337,-0.118998987229752,-20.2859249452987
"Earring_No+Fur_Brown+Mouth_Bored",3,37,-0.226489993129563,0.0536604609350194,-0.331664496562201,-0.121315489696926,-20.2672678975737
"Earring_No+Fur_Brown+Mouth_Bored",3,42,-0.225421969209983,0.0503911955943611,-0.32418871257493,-0.126655225845035,-20.1820659417503
"Earring_No+Fur_Brown+Mouth_Bored",3,46,-0.224348747250117,0.0588214705432755,-0.339638829514937,-0.109058664985297,-20.0963575983164
"Earring_No+Fur_Brown+Mouth_Bored",3,47,-0.220373409575085,0.0480436324700365,-0.314538929216356,-0.126207889933813,-19.7780814298341
"Earring_No+Fur_Brown+Mouth_Bored",3,48,-0.223969201481568,0.0520486434115082,-0.325984542568124,-0.121953860395012,-20.0660247529638
"Earring_No+Fur_Brown+Mouth_Bored",3,50,-0.229873868202009,0.0562993473881389,-0.340220589082761,-0.119527147321256,-20.5366175224343
"Earring_No+Fur_Brown+Mouth_Bored",3,53,-0.2269862230679,0.0519419164366123,-0.32879237928366,-0.12518006685214,-20.3068238510724
"Earring_No+Fur_Brown+Mouth_Bored",3,54,-0.226614912439292,0.059669592851041,-0.343567314427333,-0.109662510451252,-20.2772274333486
"Earring_No+Fur_Brown+Mouth_Bored",3,55,-0.221828430530025,0.0504553857307697,-0.320720986562334,-0.122935874497716,-19.8947211252207
"Earring_No+Fur_Brown+Mouth_Bored",3,56,-0.225533750203411,0.0524293982346585,-0.328295370743342,-0.12277212966348,-20.1909875710692
"Earring_No+Fur_Brown+Mouth_Bored",3,61,-0.226626592663942,0.0603198269903895,-0.344853453565105,-0.108399731762778,-20.2781586078037
"Earring_No+Fur_Brown+Mouth_Bored",3,65,-0.219816414295884,0.0599636029517771,-0.337345076081367,-0.102287752510401,-19.7333857534173
"Earring_No+Fur_Brown+Mouth_Bored",3,67,-0.224077424421448,0.0549471052245695,-0.331773750661604,-0.116381098181292,-20.0746749746766
"Earring_No+Fur_Brown+Mouth_Bored",3,69,-0.225868386581792,0.0506152393868151,-0.32507425577995,-0.126662517383635,-20.2176901018823
"Earring_No+Fur_Brown+Mouth_Bored",3,70,-0.221014988525928,0.0557245816067663,-0.33023516847519,-0.111794808576666,-19.8295336170999
"Earring_No+Fur_Brown+Mouth_Bored",3,71,-0.224331627638213,0.0531939474569367,-0.328591764653809,-0.120071490622617,-20.0949896672596
"Earring_No+Fur_Brown+Mouth_Bored",3,72,-0.221859017170414,0.0559345312748942,-0.331490698469206,-0.112227335871621,-19.8971712391083
"Earring_No+Fur_Brown+Mouth_Bored",3,79,-0.221110193603588,0.047981172978596,-0.315153292641636,-0.12706709456554,-19.8371658892566
"Earring_No+Fur_Brown+Mouth_Bored",3,82,-0.224991328538579,0.050469006054752,-0.323910580405893,-0.126072076671266,-20.1476856908016
"Earring_No+Fur_Brown+Mouth_Bored",3,88,-0.230357300998045,0.0553958055969824,-0.338933079968131,-0.12178152202796,-20.5750234435191
"Earring_No+Fur_Brown+Mouth_Bored",3,89,-0.225844663125788,0.0505317242951857,-0.324886842744352,-0.126802483507224,-20.2157973673125
"Earring_No+Fur_Brown+Mouth_Bored",3,90,-0.221240453989411,0.0557072692066874,-0.330426701634519,-0.112054206344304,-19.847607250894
"Earring_No+Fur_Brown+Mouth_Bored",3,92,-0.226686826289625,0.0558534373398243,-0.336159563475681,-0.117214089103569,-20.2829603987408
"Earring_No+Fur_Brown+Mouth_Bored",3,94,-0.227737186586596,0.0492638589293387,-0.3242943500881,-0.131180023085092,-20.3666480533411
