"treatment_combo","covariate","trait","level","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Earring_No+Fur_Cream+Hat_No","Earring_No","Earring","No",3,1,-0.13984878074814,0.047799616915189,-0.23353602990191,-0.0461615315943694,-13.0510290958816
"Earring_No+Fur_Cream+Hat_No","Earring_No","Earring","No",3,2,-0.139612041573046,0.0476695874336965,-0.233044432943091,-0.0461796502030006,-13.0304424314957
"Earring_No+Fur_Cream+Hat_No","Earring_No","Earring","No",3,3,-0.138803724271532,0.0505938836277197,-0.237967736181863,-0.0396397123612015,-12.960115013803
"Earring_No+Fur_Cream+Hat_No","Earring_No","Earring","No",3,4,-0.139199954238439,0.0478793095921553,-0.233043401039063,-0.0453565074378143,-12.9945959929009
"Earring_No+Fur_Cream+Hat_No","Earring_No","Earring","No",3,5,-0.136368678089501,0.0502286995852516,-0.234816929276594,-0.0379204269024081,-12.7479106152824
"Earring_No+Fur_Cream+Hat_No","Earring_No","Earring","No",3,6,-0.137334870163414,0.0479663716659783,-0.231348958628732,-0.043320781698097,-12.8321721794955
"Earring_No+Fur_Cream+Hat_No","Earring_No","Earring","No",3,7,-0.136825350742562,0.0447738723407903,-0.224582140530511,-0.0490685609546127,-12.7877471616038
"Earring_No+Fur_Cream+Hat_No","Earring_No","Earring","No",3,8,-0.134061032694679,0.0457659615469532,-0.223762317326707,-0.0443597480626504,-12.5463312356161
"Earring_No+Fur_Cream+Hat_No","Earring_No","Earring","No",3,9,-0.139546325715731,0.0504647571506237,-0.238457249730953,-0.0406354017005086,-13.0247269646634
"Earring_No+Fur_Cream+Hat_No","Earring_No","Earring","No",3,10,-0.134045641676819,0.0441266647228971,-0.220533904533698,-0.047557378819941,-12.5449852242801
"Earring_No+Fur_Cream+Hat_No","Earring_No","Earring","No",3,11,-0.138813601699104,0.0503616856934559,-0.237522505658277,-0.04010469773993,-12.9609747397169
"Earring_No+Fur_Cream+Hat_No","Earring_No","Earring","No",3,12,-0.135064419937832,0.0440650837877503,-0.221431984161823,-0.0486968557138417,-12.6340371223789
"Earring_No+Fur_Cream+Hat_No","Earring_No","Earring","No",3,13,-0.142849665503843,0.0467768875671651,-0.234532365135486,-0.0511669658721994,-13.311561827326
"Earring_No+Fur_Cream+Hat_No","Earring_No","Earring","No",3,14,-0.137185415632733,0.0491884631526564,-0.23359480341194,-0.0407760278535268,-12.8191435791306
"Earring_No+Fur_Cream+Hat_No","Earring_No","Earring","No",3,15,-0.143138952162071,0.0457919386993576,-0.232891152012812,-0.0533867523113296,-13.336636008924
"Earring_No+Fur_Cream+Hat_No","Earring_No","Earring","No",3,16,-0.140498968285006,0.0507782148644164,-0.240024269419262,-0.0409736671507498,-13.1075438585187
"Earring_No+Fur_Cream+Hat_No","Earring_No","Earring","No",3,17,-0.138546291131594,0.0488993856620909,-0.234389087029292,-0.0427034952338956,-12.9377051785178
"Earring_No+Fur_Cream+Hat_No","Earring_No","Earring","No",3,18,-0.137444951274389,0.0474393243528838,-0.230426027006041,-0.0444638755427366,-12.8417671826992
"Earring_No+Fur_Cream+Hat_No","Earring_No","Earring","No",3,19,-0.135862015538477,0.0535612578770442,-0.240842080977484,-0.0308819500994709,-12.7036920480925
"Earring_No+Fur_Cream+Hat_No","Earring_No","Earring","No",3,20,-0.137944535508379,0.042113701546237,-0.220487390539003,-0.0554016804777539,-12.8852991868202
"Earring_No+Fur_Cream+Hat_No","Earring_No","Earring","No",3,21,-0.137242349331417,0.0525216545779532,-0.240184792304205,-0.034299906358629,-12.8241069664478
"Earring_No+Fur_Cream+Hat_No","Earring_No","Earring","No",3,22,-0.141570542564131,0.0499751781973164,-0.239521891830871,-0.0436191932973908,-13.2006057093221
"Earring_No+Fur_Cream+Hat_No","Earring_No","Earring","No",3,23,-0.135488651928147,0.0481604828605406,-0.229883198334807,-0.0410941055214873,-12.6710926980602
"Earring_No+Fur_Cream+Hat_No","Earring_No","Earring","No",3,24,-0.138468606290282,0.0469412827409685,-0.23047352046258,-0.0464636921179837,-12.9309414952459
"Earring_No+Fur_Cream+Hat_No","Earring_No","Earring","No",3,25,-0.138645265987587,0.0513614166264169,-0.239313642575364,-0.0379768893998098,-12.9463217301922
"Earring_No+Fur_Cream+Hat_No","Earring_No","Earring","No",3,26,-0.14442083748881,0.0456316238703117,-0.233858820274621,-0.0549828547029995,-13.447657330086
"Earring_No+Fur_Cream+Hat_No","Earring_No","Earring","No",3,27,-0.138657637405453,0.0532769421961483,-0.243080444109904,-0.0342348307010024,-12.947398700961
"Earring_No+Fur_Cream+Hat_No","Earring_No","Earring","No",3,28,-0.143386094308013,0.0442538239100909,-0.230123589171792,-0.0566485994442353,-13.3580515322272
"Earring_No+Fur_Cream+Hat_No","Earring_No","Earring","No",3,29,-0.13596354546889,0.0460710585835147,-0.226262820292579,-0.045664270645201,-12.7125547862399
"Earring_No+Fur_Cream+Hat_No","Earring_No","Earring","No",3,30,-0.137955697961217,0.0516788513872061,-0.239246246680141,-0.0366651492422926,-12.8862715951323
"Earring_No+Fur_Cream+Hat_No","Earring_No","Earring","No",3,31,-0.134915245868787,0.0457675912076865,-0.224619724635853,-0.0452107671017215,-12.6210034140789
"Earring_No+Fur_Cream+Hat_No","Earring_No","Earring","No",3,32,-0.136344250488953,0.0487508616982303,-0.231895939417484,-0.0407925615604216,-12.7457792300637
