"treatment_combo","covariate","trait","level","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Earring_No+Fur_Dark.Brown+Hat_No","Earring_No","Earring","No",3,1,-0.0427203164121777,0.052286457030713,-0.145201772192375,0.0597611393680197,-4.18206603697786
"Earring_No+Fur_Dark.Brown+Hat_No","Earring_No","Earring","No",3,2,-0.0419784505588284,0.0514047888776617,-0.142731836759045,0.0587749356413885,-4.1109556096947
"Earring_No+Fur_Dark.Brown+Hat_No","Earring_No","Earring","No",3,3,-0.0410569187380751,0.0513169988174693,-0.141638236420315,0.0595243989441647,-4.02255007602752
"Earring_No+Fur_Dark.Brown+Hat_No","Earring_No","Earring","No",3,5,-0.0456505280941208,0.049573443750365,-0.142814477844836,0.0515134216565945,-4.46242191478395
"Earring_No+Fur_Dark.Brown+Hat_No","Earring_No","Earring","No",3,7,-0.0439347544211547,0.052229870168946,-0.146305299952289,0.0584357911099795,-4.29836034751558
"Earring_No+Fur_Dark.Brown+Hat_No","Earring_No","Earring","No",3,8,-0.0473675095392397,0.049871140995632,-0.145114945890678,0.0503799268121991,-4.62631742063262
"Earring_No+Fur_Dark.Brown+Hat_No","Earring_No","Earring","No",3,9,-0.0461508972040539,0.0534290602228561,-0.150871855240852,0.0585700608327442,-4.51021400985443
"Earring_No+Fur_Dark.Brown+Hat_No","Earring_No","Earring","No",3,10,-0.0416165462343091,0.0459127141867859,-0.131605466040409,0.0483723735717911,-4.0762466695769
"Earring_No+Fur_Dark.Brown+Hat_No","Earring_No","Earring","No",3,11,-0.046197634105371,0.0515037229692467,-0.147144931125094,0.0547496629143524,-4.5146768022697
"Earring_No+Fur_Dark.Brown+Hat_No","Earring_No","Earring","No",3,14,-0.0451253355632513,0.0506967053600433,-0.144490878068936,0.0542402069424336,-4.41223311411822
"Earring_No+Fur_Dark.Brown+Hat_No","Earring_No","Earring","No",3,15,-0.0426406233072336,0.0528968760105217,-0.146318500287856,0.0610372536733889,-4.17442970403352
"Earring_No+Fur_Dark.Brown+Hat_No","Earring_No","Earring","No",3,16,-0.0477259525916925,0.0521000762761354,-0.149842102092918,0.0543901969095329,-4.66049732839884
"Earring_No+Fur_Dark.Brown+Hat_No","Earring_No","Earring","No",3,17,-0.0411597642782685,0.0461474259320444,-0.131608719105075,0.0492891905485385,-4.03242042114215
"Earring_No+Fur_Dark.Brown+Hat_No","Earring_No","Earring","No",3,18,-0.0452893210749926,0.0493117567897378,-0.141940364382879,0.0513617222328936,-4.4279068378203
"Earring_No+Fur_Dark.Brown+Hat_No","Earring_No","Earring","No",3,20,-0.045954291835979,0.0491813260695304,-0.142349690932258,0.0504411072603006,-4.49143835969612
"Earring_No+Fur_Dark.Brown+Hat_No","Earring_No","Earring","No",3,23,-0.0442903842089724,0.0525433721923198,-0.147275393705919,0.0586946252879745,-4.33238865022133
"Earring_No+Fur_Dark.Brown+Hat_No","Earring_No","Earring","No",3,25,-0.0486585915107024,0.0480473544182705,-0.142831406170513,0.0455142231491077,-4.74937320811509
"Earring_No+Fur_Dark.Brown+Hat_No","Earring_No","Earring","No",3,26,-0.0421588147605243,0.0475552017681377,-0.135367010226074,0.0510493807050257,-4.12824900103629
"Earring_No+Fur_Dark.Brown+Hat_No","Earring_No","Earring","No",3,27,-0.0416645877328857,0.0542065536221178,-0.147909432832237,0.0645802573664652,-4.08085487974242
"Earring_No+Fur_Dark.Brown+Hat_No","Earring_No","Earring","No",3,28,-0.0463393421092128,0.0478981975678086,-0.140219809342118,0.0475411251236921,-4.52820687813358
"Earring_No+Fur_Dark.Brown+Hat_No","Earring_No","Earring","No",3,29,-0.0447270138874333,0.0513448021439542,-0.145362826089583,0.0559087983147169,-4.37415085063255
"Earring_No+Fur_Dark.Brown+Hat_No","Earring_No","Earring","No",3,30,-0.0441168599859666,0.0494836475386341,-0.141104809161689,0.0528710891897563,-4.31578656190446
"Earring_No+Fur_Dark.Brown+Hat_No","Earring_No","Earring","No",3,31,-0.0476177627125215,0.0500761346820496,-0.145766986689339,0.0505314612642956,-4.65018200112763
"Earring_No+Fur_Dark.Brown+Hat_No","Earring_No","Earring","No",3,33,-0.0432619779156953,0.0527836129871393,-0.146717859370488,0.0601939035390977,-4.23395286933378
"Earring_No+Fur_Dark.Brown+Hat_No","Earring_No","Earring","No",3,34,-0.0456226276531803,0.0529030759580367,-0.149312656530932,0.0580674012245717,-4.45975633704376
"Earring_No+Fur_Dark.Brown+Hat_No","Earring_No","Earring","No",3,35,-0.0434931431554628,0.0589055052051685,-0.158947933357593,0.0719616470466675,-4.25608809203473
"Earring_No+Fur_Dark.Brown+Hat_No","Earring_No","Earring","No",3,36,-0.0427072457270208,0.0549286976694372,-0.150367493159118,0.0649530017050762,-4.1808136227457
"Earring_No+Fur_Dark.Brown+Hat_No","Earring_No","Earring","No",3,37,-0.0421253080019,0.0493157444297847,-0.138784167084278,0.054533551080478,-4.12503659559833
"Earring_No+Fur_Dark.Brown+Hat_No","Earring_No","Earring","No",3,38,-0.0424933138483436,0.0526667237110169,-0.145720092321937,0.0607334646252495,-4.16031265136323
"Earring_No+Fur_Dark.Brown+Hat_No","Earring_No","Earring","No",3,39,-0.047157963903853,0.0522322849510708,-0.149533242407952,0.0552173146002458,-4.60633018767177
"Earring_No+Fur_Dark.Brown+Hat_No","Earring_No","Earring","No",3,40,-0.0441306181597755,0.0510319547380761,-0.144153249446405,0.0558920131268536,-4.31710299288783
"Earring_No+Fur_Dark.Brown+Hat_No","Earring_No","Earring","No",3,42,-0.0439793847709125,0.052153089951363,-0.146199441075584,0.058240671533759,-4.30263144985457
"Earring_No+Fur_Dark.Brown+Hat_No","Earring_No","Earring","No",3,43,-0.0439121998695591,0.0465641925463109,-0.135178017260329,0.0473536175212103,-4.296201815604
"Earring_No+Fur_Dark.Brown+Hat_No","Earring_No","Earring","No",3,44,-0.0441970833561574,0.0503255350265313,-0.142835132008159,0.0544409652958439,-4.32346236408704
"Earring_No+Fur_Dark.Brown+Hat_No","Earring_No","Earring","No",3,46,-0.0434718592314669,0.0510190348013709,-0.143469167442154,0.05652544897922,-4.2540502642042
"Earring_No+Fur_Dark.Brown+Hat_No","Earring_No","Earring","No",3,47,-0.0436081646337385,0.0504016561927476,-0.142395410771524,0.0551790815040468,-4.26710006499944
"Earring_No+Fur_Dark.Brown+Hat_No","Earring_No","Earring","No",3,48,-0.0447673187382796,0.0528811349913266,-0.14841434332128,0.0588797058447205,-4.37800495854942
"Earring_No+Fur_Dark.Brown+Hat_No","Earring_No","Earring","No",3,49,-0.0424155930427374,0.0506567705266425,-0.141702863274957,0.0568716771894818,-4.152863624185
"Earring_No+Fur_Dark.Brown+Hat_No","Earring_No","Earring","No",3,50,-0.0487200493430602,0.0534227949807033,-0.153428727505239,0.0559886288191181,-4.75522692528823
"Earring_No+Fur_Dark.Brown+Hat_No","Earring_No","Earring","No",3,51,-0.0457990641382699,0.0497245346875993,-0.143259152125965,0.0516610238494248,-4.47661163483178
"Earring_No+Fur_Dark.Brown+Hat_No","Earring_No","Earring","No",3,52,-0.0438797665423728,0.0503441579692136,-0.142554316162031,0.0547947830772858,-4.29309777266755
