"treatment","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Earring_No+Hat_No+Mouth_Bored",3,70,-0.172608614159591,0.0510754649880339,-0.272716525536137,-0.0725007027830444,-15.8533111370746
"Earring_No+Hat_No+Mouth_Bored",3,71,-0.171003413322167,0.0576779159302603,-0.284052128545477,-0.0579546980988569,-15.718130334503
"Earring_No+Hat_No+Mouth_Bored",3,94,-0.171865167465884,0.0545088331543264,-0.278702480448364,-0.0650278544834043,-15.7907292992053
"Earring_No+Hat_No+Mouth_Bored",3,98,-0.167609106910974,0.0468135743369072,-0.259363712611312,-0.0758545012106358,-15.4315657751228
"Earring_No+Hat_No+Mouth_Bored",3,101,-0.170114786356983,0.0613553699000069,-0.290371311360997,-0.0498582613529695,-15.6432019056616
"Earring_No+Hat_No+Mouth_Bored",3,114,-0.173587524041879,0.0556177677666155,-0.282598348864446,-0.0645766992193128,-15.935642858122
"Earring_No+Hat_No+Mouth_Bored",3,125,-0.17289333029903,0.0500052613514178,-0.270903642547809,-0.0748830180502508,-15.8772656471946
"Earring_No+Hat_No+Mouth_Bored",3,126,-0.169723054642375,0.0532615160975425,-0.274115626193559,-0.0653304830911919,-15.6101501992271
"Earring_No+Hat_No+Mouth_Bored",3,133,-0.16939031842094,0.0565231984716184,-0.280175787425312,-0.0586048494165679,-15.5820659674154
"Earring_No+Hat_No+Mouth_Bored",3,166,-0.170790082760583,0.0546800728493078,-0.277963025545226,-0.0636171399759397,-15.7001485179486
"Earring_No+Hat_No+Mouth_Bored",3,173,-0.169933299784779,0.0531145277750221,-0.274037774223822,-0.0658288253457358,-15.6278908902035
"Earring_No+Hat_No+Mouth_Bored",3,175,-0.172002392576075,0.0532345601864965,-0.276342130541608,-0.0676626546105423,-15.8022841328316
"Earring_No+Hat_No+Mouth_Bored",3,183,-0.172588527809381,0.0516939947477633,-0.273908757514997,-0.0712682981037653,-15.851620920238
"Earring_No+Hat_No+Mouth_Bored",3,189,-0.17264838606443,0.0575745252635158,-0.285494455580921,-0.0598023165479393,-15.8566577446257
"Earring_No+Hat_No+Mouth_Bored",3,190,-0.170412850135003,0.0505656611391798,-0.269521545967796,-0.0713041543022108,-15.6683418647616
"Earring_No+Hat_No+Mouth_Bored",3,199,-0.171007134903429,0.0551508939777153,-0.279102887099751,-0.0629113827071067,-15.7184439957462
"Earring_No+Hat_No+Mouth_Bored",3,211,-0.169328064533167,0.0532540681220332,-0.273706038052352,-0.0649500910139816,-15.5768104592379
"Earring_No+Hat_No+Mouth_Bored",3,306,-0.170160323051039,0.0517596253330288,-0.271609188703775,-0.0687114573983023,-15.6470431479085
"Earring_No+Hat_No+Mouth_Bored",3,341,-0.170399836016646,0.0493874697775178,-0.267199276780581,-0.073600395252711,-15.6672443554398
"Earring_No+Hat_No+Mouth_Bored",3,345,-0.172580025887418,0.0558443398437152,-0.2820349319811,-0.0631251197937363,-15.8509054942445
"Earring_No+Hat_No+Mouth_Bored",3,370,-0.171141380466987,0.056086551271451,-0.281071020959031,-0.061211739974943,-15.7297576613078
"Earring_No+Hat_No+Mouth_Bored",3,379,-0.17230325504504,0.0562098475849249,-0.282474556311493,-0.0621319537785877,-15.8276122551768
"Earring_No+Hat_No+Mouth_Bored",3,401,-0.171080449606189,0.0510904624044085,-0.27121775591883,-0.0709431432935487,-15.7246228464698
"Earring_No+Hat_No+Mouth_Bored",3,487,-0.169399707080563,0.0568465330225135,-0.280818911804689,-0.0579805023564361,-15.5828585349435
"Earring_No+Hat_No+Mouth_Bored",3,489,-0.167233779462852,0.0520932479143041,-0.269336545374888,-0.0651310135508159,-15.3998189631613
"Earring_No+Hat_No+Mouth_Bored",3,492,-0.170483379549619,0.0494899777131321,-0.267483735867358,-0.0734830232318803,-15.6742895174987
"Earring_No+Hat_No+Mouth_Bored",3,500,-0.172730957851211,0.0572670356830215,-0.284974347789933,-0.0604875679124888,-15.8636053239004
"Earring_No+Hat_No+Mouth_Bored",3,515,-0.169848698173271,0.0564366819752258,-0.280464594844713,-0.0592328015018281,-15.6207525718541
"Earring_No+Hat_No+Mouth_Bored",3,523,-0.171779041982166,0.0522150803461065,-0.274120599460534,-0.069437484503797,-15.7834764227084
"Earring_No+Hat_No+Mouth_Bored",3,526,-0.169861989606553,0.0552689606173873,-0.278189152416632,-0.0615348267964736,-15.6218740855384
"Earring_No+Hat_No+Mouth_Bored",3,537,-0.171441159199355,0.0559909735283408,-0.281183467314903,-0.0616988510838068,-15.7550163015417
"Earring_No+Hat_No+Mouth_Bored",3,549,-0.173456088273167,0.0556388639206378,-0.282508261557617,-0.0644039149887168,-15.9245930685669
"Earring_No+Hat_No+Mouth_Bored",3,559,-0.17063880120454,0.0578952663468291,-0.284113523244325,-0.0571640791647551,-15.6873945405458
"Earring_No+Hat_No+Mouth_Bored",3,562,-0.168305953194068,0.0556538145225536,-0.277387429658273,-0.0592244767298633,-15.4904764459547
"Earring_No+Hat_No+Mouth_Bored",3,602,-0.168355125646849,0.0576664642662711,-0.28138139560874,-0.0553288556849575,-15.4946318843437
"Earring_No+Hat_No+Mouth_Bored",3,652,-0.16237282776827,0.0532401982448143,-0.266723616328107,-0.0580220392084344,-14.987580445755
"Earring_No+Hat_No+Mouth_Bored",3,685,-0.170170933764621,0.0532471172271065,-0.274535283529749,-0.065806583999492,-15.647938188225
"Earring_No+Hat_No+Mouth_Bored",3,709,-0.17027782034506,0.0595514099468233,-0.286998583840833,-0.0535570568492861,-15.6569538098319
"Earring_No+Hat_No+Mouth_Bored",3,710,-0.170653179361609,0.053909043107124,-0.276314903851572,-0.0649914548716462,-15.688606791715
"Earring_No+Hat_No+Mouth_Bored",3,732,-0.168688636152119,0.0531184640875526,-0.272800825763722,-0.0645764465405154,-15.5228106131498
"Earring_No+Hat_No+Mouth_Bored",3,747,-0.172685408075325,0.0567303169727218,-0.28387682934186,-0.0614939868087905,-15.8597728426954
"Earring_No+Hat_No+Mouth_Bored",3,770,-0.172841240074312,0.0514267050949651,-0.273637582060443,-0.07204489808818,-15.8728835609273
"Earring_No+Hat_No+Mouth_Bored",3,777,-0.174821674779323,0.0528799152063963,-0.27846630858386,-0.0711770409747861,-16.0393269524203
"Earring_No+Hat_No+Mouth_Bored",3,828,-0.1683363051363,0.0557802567849753,-0.277665608434852,-0.0590070018377486,-15.4930414352052
"Earring_No+Hat_No+Mouth_Bored",3,834,-0.174512395925839,0.0550345898996131,-0.28238019212908,-0.0666445997225968,-16.0133556757461
"Earring_No+Hat_No+Mouth_Bored",3,838,-0.169859153967073,0.0575446099139909,-0.282646589398495,-0.0570717185356505,-15.6216348192541
"Earring_No+Hat_No+Mouth_Bored",3,897,-0.165992452218392,0.0517644958761881,-0.267450864135721,-0.0645340403010634,-15.2947372466485
"Earring_No+Hat_No+Mouth_Bored",3,933,-0.171014127517711,0.0536505525766722,-0.276169210567989,-0.0658590444674338,-15.7190333420979
"Earring_No+Hat_No+Mouth_Bored",3,960,-0.166349215579988,0.0523516442732034,-0.268958438355467,-0.0637399928045096,-15.3249515909273
"Earring_No+Hat_No+Mouth_Bored",3,965,-0.16848345752039,0.0524065116340577,-0.271200220323143,-0.0657666947176368,-15.5054759207257
"Earring_No+Hat_No+Mouth_Bored",3,993,-0.170902036111357,0.0598621646268356,-0.288231878779954,-0.0535721934427588,-15.7095856405231
"Earring_No+Hat_No+Mouth_Bored",3,995,-0.170507999763563,0.057131318343414,-0.282485383716654,-0.0585306158104711,-15.6763656089747
"Earring_No+Hat_No+Mouth_Bored",3,1033,-0.173025286545337,0.0541703106360151,-0.279199095391926,-0.0668514776987472,-15.8883654350896
"Earring_No+Hat_No+Mouth_Bored",3,1034,-0.171203137726912,0.0514997888033993,-0.272142723781574,-0.0702635516722492,-15.7349617998696
"Earring_No+Hat_No+Mouth_Bored",3,1037,-0.171918899776528,0.057450775519098,-0.28452241979396,-0.059315379759096,-15.795253936337
"Earring_No+Hat_No+Mouth_Bored",3,1077,-0.173000901855759,0.0542738809009229,-0.279377708421568,-0.0666240952899498,-15.8863143739836
"Earring_No+Hat_No+Mouth_Bored",3,1090,-0.168007675424702,0.0580412655239913,-0.281768555851725,-0.0542467949976787,-15.4652653740145
"Earring_No+Hat_No+Mouth_Bored",3,1105,-0.176724180954349,0.0546422962468942,-0.283823081598262,-0.0696252803104366,-16.1989107985915
"Earring_No+Hat_No+Mouth_Bored",3,1115,-0.17228444964005,0.0581057453309139,-0.286171710488641,-0.0583971887914589,-15.8260293444527
"Earring_No+Hat_No+Mouth_Bored",3,1170,-0.170931007803829,0.0510004143458426,-0.270891819921681,-0.0709701956859778,-15.7120276411117
"Earring_No+Hat_No+Mouth_Bored",3,1188,-0.174386302896477,0.0528424291011433,-0.277957463934718,-0.0708151418582363,-16.0027648776385
"Earring_No+Hat_No+Mouth_Bored",3,1243,-0.170670488194809,0.0518578228490025,-0.272311820978854,-0.0690291554107645,-15.6900661109273
"Earring_No+Hat_No+Mouth_Bored",3,1253,-0.171941154382337,0.0560880010805733,-0.281873636500261,-0.0620086722644134,-15.7971278589162
"Earring_No+Hat_No+Mouth_Bored",3,1277,-0.171087066576802,0.0545984903933726,-0.278100107747813,-0.0640740254057919,-15.7251804923188
"Earring_No+Hat_No+Mouth_Bored",3,1281,-0.168060983871823,0.0496253262043338,-0.265326623232317,-0.0707953445113287,-15.4697716693323
"Earring_No+Hat_No+Mouth_Bored",3,1293,-0.172987583212353,0.050634499407868,-0.272231202051774,-0.0737439643729314,-15.8851940863389
"Earring_No+Hat_No+Mouth_Bored",3,1318,-0.172513167325213,0.0602448045951646,-0.290592984331735,-0.05443335031869,-15.8452792186947
"Earring_No+Hat_No+Mouth_Bored",3,1328,-0.171895554679796,0.0554931120733498,-0.280662054343561,-0.0631290550160301,-15.7932881454492
"Earring_No+Hat_No+Mouth_Bored",3,1336,-0.174507631899579,0.0500872213011954,-0.272678585649922,-0.0763366781492362,-16.012955560214
"Earring_No+Hat_No+Mouth_Bored",3,1359,-0.162281408371444,0.058152533978205,-0.276260374968726,-0.048302441774162,-14.9798083063799
"Earring_No+Hat_No+Mouth_Bored",3,1382,-0.172232800792974,0.0563299354939741,-0.282639474361163,-0.0618261272247848,-15.8216817436412
"Earring_No+Hat_No+Mouth_Bored",3,1396,-0.163554770152288,0.0557322418630115,-0.272789964203791,-0.054319576100786,-15.0880008703256
"Earring_No+Hat_No+Mouth_Bored",3,1397,-0.171370748739591,0.0527523686941311,-0.274765391380088,-0.0679761060990946,-15.749084364674
"Earring_No+Hat_No+Mouth_Bored",3,1404,-0.174142271349048,0.0475239561922242,-0.267289225485807,-0.0809953172122885,-15.982264401092
"Earring_No+Hat_No+Mouth_Bored",3,1426,-0.170568068566653,0.0582623482748761,-0.284762271185411,-0.0563738659478964,-15.6814306766371
"Earring_No+Hat_No+Mouth_Bored",3,1441,-0.172542370197066,0.0581774789964887,-0.286570229030183,-0.0585145113639477,-15.847736742338
"Earring_No+Hat_No+Mouth_Bored",3,1507,-0.167860226980993,0.0570109221046124,-0.279601634306034,-0.0561188196559531,-15.4527999399727
"Earring_No+Hat_No+Mouth_Bored",3,1511,-0.16973434607032,0.0536972314870654,-0.274980919784969,-0.0644877723556722,-15.6111030757558
"Earring_No+Hat_No+Mouth_Bored",3,1513,-0.171932510260259,0.0567514921617466,-0.283165434897283,-0.0606995856232359,-15.7963999958642
"Earring_No+Hat_No+Mouth_Bored",3,1517,-0.173636923264557,0.052262663579035,-0.276071743879466,-0.0712021026496484,-15.939795469451
"Earring_No+Hat_No+Mouth_Bored",3,1532,-0.172332182723019,0.0543140173405768,-0.278787656710549,-0.065876708735488,-15.8300471316863
"Earring_No+Hat_No+Mouth_Bored",3,1536,-0.167649218796736,0.0587417656991865,-0.282783079567142,-0.0525153580263304,-15.4349579064627
"Earring_No+Hat_No+Mouth_Bored",3,1582,-0.169858521972837,0.053645302225276,-0.275003314334378,-0.0647137296112958,-15.6215814925968
"Earring_No+Hat_No+Mouth_Bored",3,1583,-0.173612946984288,0.0519589640910491,-0.275452516602745,-0.0717733773658321,-15.9377799942661
"Earring_No+Hat_No+Mouth_Bored",3,1590,-0.171962445413379,0.0558738300063468,-0.281475152225819,-0.0624497386009392,-15.7989206057959
