"treatment_combo","covariate","trait","level","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Clothes_No+Earring_No+Hat_No+Mouth_Bored","Clothes_No","Clothes","No",4,1,0.422843286152586,0.127038156845335,0.173848498735729,0.671838073569443,52.6295085648001
"Clothes_No+Earring_No+Hat_No+Mouth_Bored","Clothes_No","Clothes","No",4,2,0.409754243167995,0.12787016067422,0.159128728246523,0.660379758089467,50.6447519847048
"Clothes_No+Earring_No+Hat_No+Mouth_Bored","Clothes_No","Clothes","No",4,3,0.42520041135881,0.136933579214341,0.156810596098701,0.693590226618918,52.9896997677638
"Clothes_No+Earring_No+Hat_No+Mouth_Bored","Clothes_No","Clothes","No",4,4,0.424265634411511,0.127545684556053,0.174276092681648,0.674255176141374,52.8467553442314
"Clothes_No+Earring_No+Hat_No+Mouth_Bored","Clothes_No","Clothes","No",4,5,0.427877004000687,0.138181952375783,0.157040377344153,0.698713630657221,53.3997393821539
"Clothes_No+Earring_No+Hat_No+Mouth_Bored","Clothes_No","Clothes","No",4,6,0.418883338538105,0.133522102818717,0.157180017013419,0.68058666006279,52.0262988341798
"Clothes_No+Earring_No+Hat_No+Mouth_Bored","Clothes_No","Clothes","No",4,7,0.424096067770956,0.132024493429955,0.165328060648245,0.682864074893667,52.8208398306734
"Clothes_No+Earring_No+Hat_No+Mouth_Bored","Clothes_No","Clothes","No",4,8,0.416356139945782,0.126844987060872,0.167739965306474,0.664972314585091,51.6425832527327
"Clothes_No+Earring_No+Hat_No+Mouth_Bored","Clothes_No","Clothes","No",4,9,0.408727464063048,0.128373998705406,0.157114426600451,0.660340501525644,50.4901524844478
"Clothes_No+Earring_No+Hat_No+Mouth_Bored","Clothes_No","Clothes","No",4,10,0.420711388053252,0.134357408960454,0.157370866490761,0.684051909615742,52.3044646089943
"Clothes_No+Earring_No+Hat_No+Mouth_Bored","Clothes_No","Clothes","No",4,11,0.422332315401605,0.13119454703331,0.165191003216318,0.679473627586892,52.5515392718973
"Clothes_No+Earring_No+Hat_No+Mouth_Bored","Clothes_No","Clothes","No",4,12,0.426429147203534,0.129783294826284,0.172053889344018,0.68080440506305,53.1777992343546
"Clothes_No+Earring_No+Hat_No+Mouth_Bored","Clothes_No","Clothes","No",4,13,0.422611145668678,0.138673622375772,0.150810845812166,0.694411445525191,52.5940811890464
"Clothes_No+Earring_No+Hat_No+Mouth_Bored","Clothes_No","Clothes","No",4,14,0.411118483080152,0.127062554402127,0.162075876451983,0.660161089708322,50.850407817971
"Clothes_No+Earring_No+Hat_No+Mouth_Bored","Clothes_No","Clothes","No",4,15,0.41128289483205,0.133224369359817,0.150163130886809,0.67240265877729,50.8752114367421
"Clothes_No+Earring_No+Hat_No+Mouth_Bored","Clothes_No","Clothes","No",4,16,0.416386338227378,0.129189407499997,0.163175099527384,0.669597576927372,51.6471626673085
"Clothes_No+Earring_No+Hat_No+Mouth_Bored","Clothes_No","Clothes","No",4,17,0.425635329181968,0.141689669107711,0.147923577730855,0.703347080633081,53.0562521863199
"Clothes_No+Earring_No+Hat_No+Mouth_Bored","Clothes_No","Clothes","No",4,18,0.418371172046104,0.126736970746203,0.169966709383546,0.666775634708662,51.9484559939628
"Clothes_No+Earring_No+Hat_No+Mouth_Bored","Clothes_No","Clothes","No",4,19,0.423575513082586,0.134408163775594,0.160135512082422,0.68701551408275,52.741308927907
"Clothes_No+Earring_No+Hat_No+Mouth_Bored","Clothes_No","Clothes","No",4,20,0.40974196223839,0.113507519396496,0.187267224221258,0.632216700255521,50.6429019384705
"Clothes_No+Earring_No+Hat_No+Mouth_Bored","Clothes_No","Clothes","No",4,21,0.42338945354508,0.128714951301656,0.171108148993834,0.675670758096327,52.7128925942568
"Clothes_No+Earring_No+Hat_No+Mouth_Bored","Clothes_No","Clothes","No",4,22,0.418530122303631,0.142886982571254,0.138471636463974,0.698588608143288,51.9726101597784
"Clothes_No+Earring_No+Hat_No+Mouth_Bored","Clothes_No","Clothes","No",4,23,0.415840813494932,0.137521123345922,0.146299411736924,0.68538221525294,51.5644579502537
"Clothes_No+Earring_No+Hat_No+Mouth_Bored","Clothes_No","Clothes","No",4,24,0.42126193097337,0.14237074339595,0.142215273917308,0.700308588029432,52.3883378394754
