"treatment","covariate","n0","n1","mean0","mean1","difference","SMD_kept"
"buyer_N_1_gaslimit_cost_high","`Clothes_recoded_Tie Dye`",7671,110,14.5385843517717,13.0084311433492,-1.53015320842249,-0.0185522883785091
"buyer_N_1_gaslimit_cost_high","`Earring_recoded_Diamond Stud`",7621,160,14.5526291713504,12.8176317084224,-1.73499746292798,0.0167349605992612
"buyer_N_1_gaslimit_cost_high","`Mouth_recoded_Grin Multicolored`",7698,83,14.5457219879108,11.8486762080956,-2.69704577981518,0.0415720645282371
"buyer_N_1_gaspaid_high","`Clothes_recoded_Biker Vest`",7429,204,41.9266851769489,38.587761723254,-3.3389234536949,-0.00349096614184318
"buyer_N_1_gaspaid_high","`Mouth_recoded_Small Grin`",7429,204,41.9217873461842,38.7661243936004,-3.15566295258379,0.00951174956460816
"buyer_N_1_gaspaid_high","`Clothes_recoded_Caveman Pelt`",7502,131,41.9014707942158,38.1710967396193,-3.73037405459651,0.0699542353236483
"buyer_N_1_total_value_high","`Clothes_recoded_Hip Hop`",7697,96,-30.8931296496827,-34.3023467969075,-3.40921714722487,-0.0127285234660563
"buyer_N_1_total_value_high","`Hat_recoded_Bayc Hat Red`",7711,82,-30.905324213125,-33.7376731549253,-2.83234894180035,0.00113787973316698
"buyer_N_1_total_value_high","Fur_recoded_Other_Fur",7733,60,-30.9179381606488,-33.1504734968938,-2.23253533624503,0.0948869259866915
"buyer_N_gaslimit_cost_high","`Mouth_recoded_Phoneme  ooo`",7646,206,24.6612430663511,22.6613167809995,-1.99992628535163,0.00956048963773251
"buyer_N_gaslimit_cost_high","Hat_recoded_Fez",7539,313,24.6906476000171,22.6367523504068,-2.05389524961027,0.0143202123608135
"buyer_N_gaslimit_cost_high","`Hat_recoded_Stuntman Helmet`",7725,127,24.6372672667223,22.8756386360345,-1.76162863068785,0.042407288024267
"buyer_N_gaspaid_high","`Clothes_recoded_Hip Hop`",7746,96,-12.1811663712834,-13.2540576585144,-1.07289128723104,-0.0182698284388852
"buyer_N_gaspaid_high","Eyes_recoded_Other_Eyes",7694,148,-12.1759527754593,-13.1481323837464,-0.972179608287069,0.0415866490237225
"buyer_N_gaspaid_high","Fur_recoded_Other_Fur",7782,60,-12.1849123713172,-13.4119362264608,-1.22702385514357,0.0470535551848388
"buyer_N_total_value_high","`Hat_recoded_Police Motorcycle Helmet`",7587,104,10.978588581964,9.99924428170474,-0.979344300259296,-0.0311789547452454
"buyer_N_total_value_high","`Clothes_recoded_Tie Dye`",7583,108,10.9790176459105,10.0053904418411,-0.973627204069448,-0.0304168029198937
"buyer_N_total_value_high","`Hat_recoded_Fisherman's Hat`",7425,266,11.0000924891511,9.99543701019379,-1.0046554789573,-0.0234076308673504
"seller_N_1_gaslimit_cost_high","`Clothes_recoded_Tie Dye`",7376,105,2.29233880477615,0.785890320241747,-1.5064484845344,-0.0223596817706703
"seller_N_1_gaslimit_cost_high","`Clothes_recoded_Rainbow Suspenders`",7379,102,2.28375970506938,1.36222199948381,-0.921537705585568,-0.0207069324331799
"seller_N_1_gaslimit_cost_high","Eyes_recoded_Holographic",7372,109,2.28474845259791,1.35453133121577,-0.930217121382136,0.0543019568756107
"seller_N_1_gaspaid_high","`Clothes_recoded_Biker Vest`",7268,198,51.4993968175578,45.4382396614699,-6.06115715608792,-0.0164279149119961
"seller_N_1_gaspaid_high","Fur_recoded_Dmt",7315,151,51.4392998723525,46.4629732233304,-4.97632664902211,-0.00617232513823254
"seller_N_1_gaspaid_high","Hat_recoded_Fez",7176,290,51.5079148971364,47.1503111073475,-4.3576037897889,0.00405140109790164
"seller_N_1_total_value_high","Eyes_recoded_Other_Eyes",7185,147,-27.8852431625191,-30.7688371455426,-2.8835939830235,0.0105968749172654
"seller_N_1_total_value_high","Fur_recoded_Other_Fur",7272,60,-27.8962722397023,-33.6133242663182,-5.71705202661587,0.0249990441931781
"seller_N_1_total_value_high","`Clothes_recoded_Hip Hop`",7236,96,-27.899058746203,-31.2593968288522,-3.36033808264926,0.0450575962156665
"seller_N_gaslimit_cost_high","`Clothes_recoded_Black T`",7330,256,10.6958486676542,9.67314764164506,-1.02270102600919,-0.00734489703306132
"seller_N_gaslimit_cost_high","`Hat_recoded_Girl's Hair Short`",7465,121,10.6757941497891,9.76936530571317,-0.906428844075913,0.0194469697602979
"seller_N_gaslimit_cost_high","`Clothes_recoded_Sleeveless T`",7399,187,10.6924353562441,9.43084133324387,-1.26159402300025,0.0434110042221234
"seller_N_gaspaid_high","`Clothes_recoded_Sleeveless T`",7180,181,-5.07354453214569,-6.19291503798482,-1.11937050583914,0.0398010566711838
"seller_N_gaspaid_high","`Clothes_recoded_Cowboy Shirt`",7272,89,-5.08438984896222,-6.46386944975253,-1.37947960079031,0.0415519441416743
"seller_N_gaspaid_high","Eyes_recoded_Other_Eyes",7214,147,-5.07810859183841,-6.22783660652376,-1.14972801468535,0.0590858306104718
"seller_N_total_value_high","`Fur_recoded_Golden Brown`",6727,596,0.899818181250383,-0.573121534770006,-1.47293971602039,-0.0109960670477713
"seller_N_total_value_high","Clothes_recoded_Service",7207,116,0.791073858767428,0.088165262168507,-0.702908596598921,-0.00356425890449613
"seller_N_total_value_high","Fur_recoded_Other_Fur",7263,60,0.786972018832989,-0.0713550372599641,-0.858327056092953,0.0671554157939185
