treatment,r2_tau,r2_tau_oos,n_kept
seller_N_total_value_high,0.687531631108703,0.717559547564858,7323
seller_N_1_total_value_high,0.789904710776743,0.899040378297898,7320
buyer_N_total_value_high,0.740042614362453,0.779225134913128,7704
buyer_N_1_total_value_high,0.781813561731085,0.856424297584895,7803
buyer_N_gaspaid_high,0.775082523046761,0.852673021599109,7845
buyer_N_1_gaspaid_high,0.828098104722985,0.875443141537824,7628
seller_N_gaspaid_high,0.655716204172821,0.68454152792841,7344
seller_N_1_gaspaid_high,0.828818469753388,0.940892064232097,7478
buyer_N_gaslimit_cost_high,0.790375939346495,0.899018534449509,7852
buyer_N_1_gaslimit_cost_high,0.618911871772493,0.651673512612482,7771
seller_N_gaslimit_cost_high,0.590056758451221,0.601192493161626,7568
seller_N_1_gaslimit_cost_high,0.682010406815676,0.700433257574669,7460
