treatment,alpha_used,n_total,n_kept,kept_pct,prop_quant_all,prop_quant_kept
seller_N_total_value_high,0.05,7852,7323,93.2628629648497,"min=0.066, p5=0.094, p25=0.148, p50=0.432, p75=0.854, p95=0.964, max=0.991","min=0.066, p5=0.093, p25=0.142, p50=0.356, p75=0.828, p95=0.915, max=0.950"
seller_N_1_total_value_high,0.05,7852,7320,93.2246561385634,"min=0.119, p5=0.184, p25=0.271, p50=0.424, p75=0.724, p95=0.964, max=0.994","min=0.119, p5=0.182, p25=0.262, p50=0.401, p75=0.652, p95=0.917, max=0.950"
buyer_N_total_value_high,0.05,7852,7704,98.1151299032094,"min=0.135, p5=0.185, p25=0.257, p50=0.466, p75=0.738, p95=0.909, max=0.983","min=0.135, p5=0.184, p25=0.255, p50=0.455, p75=0.724, p95=0.884, max=0.950"
buyer_N_1_total_value_high,0.05,7852,7803,99.3759551706572,"min=0.052, p5=0.083, p25=0.153, p50=0.546, p75=0.840, p95=0.925, max=0.972","min=0.052, p5=0.083, p25=0.152, p50=0.537, p75=0.836, p95=0.923, max=0.950"
buyer_N_gaspaid_high,0.05,7852,7845,99.9108507386653,"min=0.085, p5=0.130, p25=0.285, p50=0.485, p75=0.735, p95=0.866, max=0.958","min=0.085, p5=0.130, p25=0.285, p50=0.485, p75=0.735, p95=0.866, max=0.949"
buyer_N_1_gaspaid_high,0.05,7852,7628,97.1472236372899,"min=0.063, p5=0.095, p25=0.172, p50=0.461, p75=0.847, p95=0.937, max=0.978","min=0.063, p5=0.094, p25=0.169, p50=0.427, p75=0.830, p95=0.927, max=0.950"
seller_N_gaspaid_high,0.05,7852,7344,93.5303107488538,"min=0.048, p5=0.075, p25=0.147, p50=0.485, p75=0.846, p95=0.959, max=0.991","min=0.051, p5=0.074, p25=0.139, p50=0.413, p75=0.815, p95=0.925, max=0.950"
seller_N_1_gaspaid_high,0.05,7852,7478,95.236882322975,"min=0.069, p5=0.116, p25=0.239, p50=0.457, p75=0.785, p95=0.947, max=0.988","min=0.069, p5=0.115, p25=0.229, p50=0.430, p75=0.744, p95=0.908, max=0.950"
buyer_N_gaslimit_cost_high,0.05,7852,7852,100,"min=0.073, p5=0.158, p25=0.320, p50=0.524, p75=0.694, p95=0.784, max=0.869","min=0.073, p5=0.158, p25=0.320, p50=0.524, p75=0.694, p95=0.784, max=0.869"
buyer_N_1_gaslimit_cost_high,0.05,7852,7771,98.96841569027,"min=0.043, p5=0.079, p25=0.196, p50=0.463, p75=0.835, p95=0.922, max=0.961","min=0.050, p5=0.082, p25=0.201, p50=0.467, p75=0.835, p95=0.921, max=0.950"
seller_N_gaslimit_cost_high,0.05,7852,7568,96.3830871115639,"min=0.057, p5=0.094, p25=0.165, p50=0.493, p75=0.829, p95=0.938, max=0.987","min=0.057, p5=0.093, p25=0.161, p50=0.459, p75=0.808, p95=0.918, max=0.950"
seller_N_1_gaslimit_cost_high,0.05,7852,7460,95.0076413652573,"min=0.091, p5=0.156, p25=0.266, p50=0.429, p75=0.754, p95=0.950, max=0.985","min=0.091, p5=0.154, p25=0.261, p50=0.406, p75=0.712, p95=0.907, max=0.950"
