treatment,model,n_used,treated_share,overlap_alpha,target_primary,ATE_log,SE_log,CI95_lo_log,CI95_hi_log,z_or_t,p_value,ATE_pp,CI95_lo_pp,CI95_hi_pp,ATE_pct,CI95_lo_pct,CI95_hi_pct,top_importances,calib_intercept,calib_slope,calib_p_slope,AIPW_log,AIPW_se_log
seller_N_total_value_high,GRF,7323,0.46388092311894,0.05,overlap,0.00677013856622713,0.0389790264963896,-0.0696287533666965,0.0831690304991507,0.173686702176983,0.862111688802821,0.677013856622713,-6.96287533666965,8.31690304991507,0.679310775994746,-6.72599677663945,8.6725482775321,"log_buyern_rolling_avg_value_last10:0.0801, log_sellern_1_rolling_avg_value_last10:0.0574, log_buyern_1_avg_gasLimit_cost:0.0549, log_price_1_sale:0.0545, log_sellern_rolling_avg_value_last10:0.0510, log_buyern_1_rolling_avg_value_last10:0.0504, log_sellern_avg_gasLimit_cost:0.0456, log_sellern_1_total_value:0.0455",,,,-0.0467865006403703,0.0200306788623896
seller_N_1_total_value_high,GRF,7320,0.463661202185792,0.05,overlap,-0.34070476176434,0.0272689361232856,-0.39415187656598,-0.2872576469627,-12.4942447414883,8.02548125843672e-36,-34.070476176434,-39.415187656598,-28.72576469627,-28.8731129023087,-32.5748354560775,-24.9681613322258,"sold_after_30d:0.1159, log_sellern_1_avg_total_gaspaid:0.1109, log_sellern_1_rolling_avg_value_last10:0.0860, `log_price_change_n-1`:0.0583, log_price_1_sale:0.0480, log_buyern_total_value:0.0457, log_buyern_avg_total_gaspaid:0.0418, log_sellern_avg_total_gaspaid:0.0398",,,,-0.352501469437124,0.0189804422077319
buyer_N_total_value_high,GRF,7704,0.490394600207684,0.05,overlap,0.102694798123205,0.0265823891037756,0.0505933154798044,0.154796280766605,3.86326442376161,0.00011188178606593,10.2694798123205,5.05933154798044,15.4796280766605,10.8153147039276,5.18950168635137,16.7420110948569,"log_buyern_rolling_avg_value_last10:0.0809, log_sellern_1_rolling_avg_value_last10:0.0641, log_buyern_1_avg_gasLimit_cost:0.0631, log_buyern_avg_gasLimit_cost:0.0584, log_buyern_1_avg_total_gaspaid:0.0556, log_sellern_1_total_value:0.0546, log_sellern_1_avg_total_gaspaid:0.0539, `log_price_change_n-1`:0.0520",,,,0.0554617284007604,0.0177405146501132
buyer_N_1_total_value_high,GRF,7803,0.497885428681277,0.05,overlap,-0.388852876017242,0.0364546447487418,-0.460303979724776,-0.317401772309708,-10.6667580687551,1.45618696057182e-26,-38.8852876017242,-46.0303979724776,-31.7401772309708,-32.2166011685676,-36.8908222758382,-27.1961809227953,"sold_after_30d:0.0906, log_buyern_1_avg_gasLimit_cost:0.0899, log_buyern_1_avg_total_gaspaid:0.0841, log_price_1_sale:0.0665, log_sellern_avg_total_gaspaid:0.0599, log_buyern_1_rolling_avg_value_last10:0.0546, log_sellern_avg_gasLimit_cost:0.0511, log_sellern_rolling_avg_value_last10:0.0494",,,,-0.359528748699881,0.0178916716251306
buyer_N_gaspaid_high,GRF,7845,0.49955385595921,0.05,overlap,-0.131529589064356,0.0252805470942894,-0.181079461369163,-0.0819797167595487,-5.20279836404597,1.96309829333616e-07,-13.1529589064356,-18.1079461369163,-8.19797167595487,-12.3246667556789,-16.5630944046002,-7.87093547334806,"log_sellern_1_rolling_avg_value_last10:0.0700, log_sellern_1_avg_total_gaspaid:0.0694, log_price_1_sale:0.0635, log_buyern_rolling_avg_value_last10:0.0604, sold_after_30d:0.0603, log_buyern_1_total_value:0.0529, log_buyern_1_avg_gasLimit_cost:0.0493, log_sellern_rolling_avg_value_last10:0.0480",,,,-0.0840304661542593,0.0162848994102563
buyer_N_1_gaspaid_high,GRF,7628,0.485317252228631,0.05,overlap,0.350112195589048,0.0382043488349975,0.275231671872453,0.424992719305643,9.16419743472565,4.99170174241314e-20,35.0112195589048,27.5231671872453,42.4992719305643,41.9226770644609,31.6835713327261,52.9579283223582,"log_buyern_1_total_value:0.1077, log_buyern_1_avg_gasLimit_cost:0.0922, sold_after_30d:0.0638, log_sellern_avg_total_gaspaid:0.0543, log_sellern_total_value:0.0495, `log_price_change_n-1`:0.0473, log_sellern_1_avg_gasLimit_cost:0.0455, log_buyern_1_rolling_avg_value_last10:0.0447",,,,0.280582969228892,0.0185410145620501
seller_N_gaspaid_high,GRF,7344,0.465958605664488,0.05,overlap,-0.0534307195829967,0.0411494493467052,-0.134083640302539,0.0272222011365454,-1.29845527537478,0.194130935474514,-5.34307195829967,-13.4083640302539,2.72222011365454,-5.20283854024035,-12.5483083315167,2.75961104210847,"log_buyern_1_avg_gasLimit_cost:0.1014, log_buyern_1_total_value:0.0748, log_sellern_1_total_value:0.0591, log_sellern_avg_gasLimit_cost:0.0542, log_buyern_1_rolling_avg_value_last10:0.0535, log_sellern_rolling_avg_value_last10:0.0535, log_buyern_1_avg_total_gaspaid:0.0498, log_buyern_total_value:0.0454",,,,0.0333871519576863,0.0177866159351958
seller_N_1_gaspaid_high,GRF,7478,0.475127039315325,0.05,overlap,0.41004791984209,0.0309238743722955,0.349437126072391,0.47065871361179,13.2599141655241,3.95348014748686e-40,41.004791984209,34.9437126072391,47.065871361179,50.6889993313264,41.8269017225965,60.1048478369085,"sold_after_30d:0.1158, log_sellern_1_total_value:0.0912, log_sellern_total_value:0.0667, log_buyern_1_total_value:0.0584, log_sellern_1_rolling_avg_value_last10:0.0522, log_sellern_avg_total_gaspaid:0.0506, log_price_1_sale:0.0450, `log_price_change_n-1`:0.0421",,,,0.414583559443768,0.0180194102246934
buyer_N_gaslimit_cost_high,GRF,7852,0.5,0.05,overlap,0.216575827252394,0.0238319703811793,0.169865165305282,0.263286489199505,9.08761733874212,1.01233122311758e-19,21.6575827252394,16.9865165305282,26.3286489199505,24.1817245373528,18.5145041876761,30.1199445145597,"sold_after_30d:0.1210, log_buyern_total_value:0.0885, log_sellern_avg_total_gaspaid:0.0502, log_sellern_avg_gasLimit_cost:0.0455, log_sellern_rolling_avg_value_last10:0.0446, log_buyern_1_rolling_avg_value_last10:0.0441, `log_price_change_n-1`:0.0434, log_sellern_1_avg_total_gaspaid:0.0432",,,,0.226114755500013,0.0185323515060829
buyer_N_1_gaslimit_cost_high,GRF,7771,0.503152747394158,0.05,overlap,0.136453245310946,0.0378058459916163,0.0623537871673781,0.210552703454514,3.60931601269299,0.00030700543026841,13.6453245310946,6.23537871673781,21.0552703454514,14.6201286238218,6.43388275456398,23.4360106549631,"`log_price_change_n-1`:0.0990, log_sellern_avg_total_gaspaid:0.0785, log_sellern_total_value:0.0629, log_sellern_1_total_value:0.0607, log_buyern_1_rolling_avg_value_last10:0.0566, log_buyern_total_value:0.0538, log_buyern_1_avg_total_gaspaid:0.0526, log_buyern_1_total_value:0.0498",,,,0.185184012257707,0.0185374948512454
