treatment,model,n_used,treated_share,overlap_alpha,target_primary,ATE_log,SE_log,CI95_lo_log,CI95_hi_log,z_or_t,p_value,ATE_pp,CI95_lo_pp,CI95_hi_pp,ATE_pct,CI95_lo_pct,CI95_hi_pct,top_importances,calib_intercept,calib_slope,calib_p_slope,AIPW_log,AIPW_se_log
seller_N_total_value_high,PDS,7323,0.46388092311894,0.05,,0.121011784290586,0.0195270016456054,0.0827395643391455,0.159284004242027,6.19715133366726,5.74942160267408e-10,12.1011784290586,8.27395643391455,15.9284004242027,12.8638212489641,8.62588711593748,17.2670942914598,,,,,,
seller_N_1_total_value_high,PDS,7320,0.463661202185792,0.05,,-0.119422001990926,0.0172707380250836,-0.153272026506517,-0.085571977475336,-6.91470172366001,4.68848809006064e-12,-11.9422001990926,-15.3272026506517,-8.5571977475336,-11.2566776855722,-14.2103680471726,-8.20129337152543,,,,,,
buyer_N_total_value_high,PDS,7704,0.490394600207684,0.05,,0.104870462767857,0.0166812705101843,0.0721757733515262,0.137565152184189,6.28671915030884,3.24245184969044e-10,10.4870462767857,7.21757733515262,13.7565152184189,11.0566741295929,7.48442564377694,14.747646413466,,,,,,
buyer_N_1_total_value_high,PDS,7803,0.497885428681277,0.05,,-0.101520615356555,0.0181429198274968,-0.137080084792847,-0.0659611459202641,-5.59560513532636,2.19853568560796e-08,-10.1520615356555,-13.7080084792847,-6.59611459202641,-9.65374460524473,-12.8099602626671,-6.38327624985174,,,,,,
buyer_N_gaspaid_high,PDS,7845,0.49955385595921,0.05,,-0.0978086894141556,0.0159243625427645,-0.129019866474733,-0.0665975123535785,-6.142078789747,8.14484368698729e-10,-9.78086894141556,-12.9019866474733,-6.65975123535785,-9.31776281205314,-12.104349639504,-6.44283183884452,,,,,,
buyer_N_1_gaspaid_high,PDS,7628,0.485317252228631,0.05,,0.0831943847639808,0.0192619100970968,0.0454417347002226,0.120947034827739,4.31911395830468,1.56656878801224e-05,8.31943847639808,4.54417347002226,12.0947034827739,8.67530362503064,4.64900287823373,12.8565136137486,,,,,,
seller_N_gaspaid_high,PDS,7344,0.465958605664488,0.05,,-0.0534750317642451,0.0200955257721358,-0.0928615385280278,-0.0140885250004625,-2.66104168512938,0.00778993122914947,-5.34750317642451,-9.28615385280278,-1.40885250004625,-5.20703911617176,-8.86803257756446,-1.39897461589507,,,,,,
seller_N_1_gaspaid_high,PDS,7478,0.475127039315325,0.05,,0.143015333288834,0.0180143272961483,0.107707900582666,0.178322765995001,7.93897717842686,2.038552744527e-15,14.3015333288834,10.7707900582666,17.8322765995001,15.3747492273923,11.3722380210961,19.5211032462347,,,,,,
buyer_N_gaslimit_cost_high,PDS,7852,0.5,0.05,,-0.0215371710774153,0.0146567795981738,-0.0502639312191775,0.00718958906434688,-1.46943405494743,0.141715096115964,-2.15371710774153,-5.02639312191775,0.718958906434688,-2.13069022838865,-4.90216015127538,0.721549620983097,,,,,,
buyer_N_1_gaslimit_cost_high,PDS,7771,0.503152747394158,0.05,,0.00999463846390453,0.0182577585539536,-0.0257899107402725,0.0457791876680816,0.547418700623592,0.58409111051091,0.999463846390453,-2.57899107402725,4.57791876680816,1.00447516782565,-2.54601915496863,4.68432295393551,,,,,,
seller_N_gaslimit_cost_high,PDS,7568,0.481236786469345,0.05,,-0.056741754880149,0.0185149991480655,-0.0930304863841471,-0.0204530233761508,-3.06463718558029,0.00217934199097669,-5.6741754880149,-9.30304863841471,-2.04530233761508,-5.51619623243658,-8.88342782755056,-2.0245279037537,,,,,,
seller_N_1_gaslimit_cost_high,PDS,7460,0.47372654155496,0.05,,-0.0142116035338851,0.0175328505416182,-0.0485753591417802,0.0201521520740101,-0.810570049641992,0.417612622315357,-1.42116035338851,-4.85753591417802,2.01521520740101,-1.41110953870374,-4.74144494286631,2.03565775861077,,,,,,
