decile,n,mean_pct,lo_pct,hi_pct
1,781,-45.9776429526381,-46.105405989941,-45.8529477948033
2,780,-41.4823427649174,-41.5659997312492,-41.4147597433124
3,780,-38.1748949368875,-38.2306469960076,-38.1112765235524
4,780,-35.1527408464561,-35.2109595207621,-35.0886954052517
5,781,-32.2650382588063,-32.3235189308816,-32.2062351876287
6,780,-29.3810474491541,-29.4386616612453,-29.3268621064185
7,780,-26.4564611012715,-26.5175766834295,-26.3942607629846
8,780,-23.5267597146552,-23.586092723955,-23.4647752711948
9,780,-19.862340534389,-19.9445587574909,-19.7768106606172
10,781,-15.4159269939482,-15.5269903102273,-15.2852445979531
