decile,n,mean_pct,lo_pct,hi_pct
1,786,12.5078542999668,12.4685117144558,12.5537938492778
2,785,13.8074290686824,13.7871235214624,13.8266232998629
3,785,14.8307147907184,14.8127058579296,14.8529790158945
4,785,16.1214130691187,16.0860462483875,16.1611002486179
5,785,19.7834616088047,19.6769018565488,19.9091978752735
6,785,26.5488880035985,26.4485016135441,26.6532599583955
7,785,29.3998183399088,29.3641717434086,29.4408158964544
8,785,31.2606251215508,31.2219184433929,31.2981482191568
9,785,34.1314038173983,34.0184777011502,34.2427471547998
10,786,44.5839257143453,44.3605069469808,44.8409454383207
