decile,n,mean_pct,lo_pct,hi_pct
1,785,-18.9925157325417,-19.0474280522184,-18.9351032184077
2,784,-17.1081592220225,-17.1375506244491,-17.0782955082312
3,785,-15.636558450656,-15.6692346345171,-15.606141254327
4,784,-14.1680536582442,-14.197378608967,-14.1398716022533
5,785,-12.8618938571983,-12.8870242063835,-12.837098609638
6,784,-11.5957538969845,-11.6202833057301,-11.5690196443584
7,784,-10.337889451814,-10.3625248742293,-10.3126374235286
8,785,-9.15520390940872,-9.17695952483399,-9.13465434173111
9,784,-8.13250404539159,-8.1554079528457,-8.11031310983118
10,785,-6.50787091972061,-6.56364202358877,-6.4471087579853
