decile,n,mean_pct,lo_pct,hi_pct
1,748,19.77198195118,19.6350866355806,19.9187492689709
2,748,25.0842140244887,25.0054004291236,25.1697262114762
3,748,29.1209685058525,29.0461337850521,29.2076296299038
4,747,33.3393487064765,33.2463333806266,33.444368594229
5,748,39.8501335444609,39.6706841821632,40.0320869424684
6,748,53.3502364670592,53.0558577428027,53.6131329643371
7,747,63.6824075533338,63.5083603765711,63.8517511086409
8,748,72.047467434749,71.8808794290842,72.2258442042334
9,748,81.3001303243986,81.0774014971631,81.4959196723227
10,748,95.2019833631772,94.7774757659788,95.6983352806849
