treatment,covariate,SMD_raw,SMD_kept,flag_gt_0_1,flag_gt_0_25
seller_N_total_value_high,log_price_1_sale,0.0907234908109004,0.102260182058671,1,0
seller_N_total_value_high,sold_after_30d,-0.90740369670727,-0.605462430543865,1,1
seller_N_total_value_high,log_buyern_total_value,0.334976637695974,0.152482062899917,1,0
seller_N_total_value_high,log_buyern_rolling_avg_value_last10,-0.148225642367597,-0.0543329475617509,0,0
seller_N_total_value_high,log_sellern_rolling_avg_value_last10,0.193355050144862,0.148719902831324,1,0
seller_N_total_value_high,log_buyern_1_total_value,0.879279893393245,0.698157446720547,1,1
seller_N_total_value_high,log_buyern_1_rolling_avg_value_last10,0.119410190930005,0.20193339181439,1,0
seller_N_total_value_high,log_sellern_1_total_value,0.30870029113971,0.140284500709913,1,0
seller_N_total_value_high,log_sellern_1_rolling_avg_value_last10,0.320107481479685,0.19824208318047,1,0
seller_N_total_value_high,log_unique_makers_count,0.505127335835716,0.353565670047872,1,1
seller_N_total_value_high,log_median_offer_price,0.123038745263407,0.131443899495715,1,0
seller_N_total_value_high,log_buyern_avg_total_gaspaid,0.34911882506306,0.155505675795208,1,0
seller_N_total_value_high,log_buyern_1_avg_total_gaspaid,0.437599207474203,0.26789594682499,1,1
seller_N_total_value_high,log_sellern_avg_total_gaspaid,2.00762119087419,1.66467285202248,1,1
seller_N_total_value_high,log_sellern_1_avg_total_gaspaid,0.436349525213732,0.0724445547026445,0,0
seller_N_total_value_high,log_buyern_avg_gasLimit_cost,-0.238836532097492,-0.118623051664141,1,0
seller_N_total_value_high,log_buyern_1_avg_gasLimit_cost,-0.418218432788495,-0.228764380459667,1,0
seller_N_total_value_high,log_sellern_avg_gasLimit_cost,1.03145525751892,0.682223752142107,1,1
seller_N_total_value_high,log_sellern_1_avg_gasLimit_cost,0.265296789307251,0.00343109072740758,0,0
seller_N_total_value_high,`time_n_sale_str_2021-06`,-0.0965381418029346,-0.067323124511601,0,0
seller_N_total_value_high,`time_n_sale_str_2021-07`,0,0.0365803839006425,0,0
seller_N_total_value_high,`time_n_sale_str_2021-08`,-0.0858376111975313,-0.0457166145915931,0,0
seller_N_total_value_high,`time_n_sale_str_2021-09`,-0.0589862562696858,-0.0298548371549529,0,0
seller_N_total_value_high,`time_n_sale_str_2021-10`,-0.0776479195315842,-0.0454422135146323,0,0
seller_N_total_value_high,`time_n_sale_str_2021-11`,-0.120006841556503,-0.0863792602001041,0,0
seller_N_total_value_high,`time_n_sale_str_2021-12`,-0.168027057079973,-0.140922283781586,1,0
seller_N_total_value_high,`time_n_sale_str_2022-01`,-0.16414330146809,-0.11638184489567,1,0
seller_N_total_value_high,`time_n_sale_str_2022-02`,-0.120402637130542,-0.0918356038398995,0,0
seller_N_total_value_high,`time_n_sale_str_2022-03`,-0.14671775388231,-0.110027928660609,1,0
seller_N_total_value_high,`time_n_sale_str_2022-04`,-0.138671914567854,-0.101772801487959,1,0
seller_N_total_value_high,`time_n_sale_str_2022-05`,-0.205604958344589,-0.172862692361825,1,0
seller_N_total_value_high,`time_n_sale_str_2022-06`,-0.102483041362892,-0.0654448949944188,0,0
seller_N_total_value_high,`time_n_sale_str_2022-07`,0.0315917325750653,0.0654788050504193,0,0
seller_N_total_value_high,`time_n_sale_str_2022-08`,-0.0378824111071033,-0.000594831108184196,0,0
seller_N_total_value_high,`time_n_sale_str_2022-09`,-0.0373232251018626,-0.00879505706093386,0,0
seller_N_total_value_high,`time_n_sale_str_2022-10`,0.00692652440163717,0.0315945296802645,0,0
seller_N_total_value_high,`time_n_sale_str_2022-11`,-0.0470450806845277,-0.0112783709010551,0,0
seller_N_total_value_high,`time_n_sale_str_2022-12`,-0.0191900422244896,0.00557829994480965,0,0
seller_N_total_value_high,`time_n_sale_str_2023-01`,-0.0254009252100902,0.00583126538619611,0,0
seller_N_total_value_high,`time_n_sale_str_2023-02`,-0.084438647148313,-0.0631023535557937,0,0
seller_N_total_value_high,`time_n_sale_str_2023-03`,-0.0904960311297338,-0.0659605730831321,0,0
seller_N_total_value_high,`time_n_sale_str_2023-04`,-0.0729711661155744,-0.0450282151404379,0,0
seller_N_total_value_high,`time_n_sale_str_2023-05`,-0.025129962533134,-0.000394358074460785,0,0
seller_N_total_value_high,`time_n_sale_str_2023-06`,0.0989466538938821,0.0686613012114778,0,0
seller_N_total_value_high,`time_n_sale_str_2023-07`,0.00706873053669183,0.0353197166129981,0,0
seller_N_total_value_high,`time_n_sale_str_2023-08`,0.00420841084237933,0.0448380029534469,0,0
seller_N_total_value_high,`time_n_sale_str_2023-09`,0,0.0181277261229533,0,0
seller_N_total_value_high,`time_n_sale_str_2023-10`,0.011299882758288,0.0444003220415659,0,0
seller_N_total_value_high,`time_n_sale_str_2023-11`,0.131770050280734,0.0979625882113218,0,0
seller_N_total_value_high,`time_n_sale_str_2023-12`,0.0731551209995329,-0.0298836351887371,0,0
seller_N_total_value_high,`time_n_sale_str_2024-01`,0.339445279706396,0.166040383872167,1,0
seller_N_total_value_high,`time_n_sale_str_2024-02`,0.0819946712289723,0.00856167712843613,0,0
seller_N_total_value_high,`time_n_sale_str_2024-03`,0.192173155356371,0.163681121879705,1,0
seller_N_total_value_high,`time_n_sale_str_2024-04`,0.20745215673955,0.0952052215984468,0,0
seller_N_total_value_high,`time_n_sale_str_2024-05`,0.19268880981759,0.137813422516467,1,0
seller_N_total_value_high,`time_n_sale_str_2024-06`,0.128953547219897,0.0984009230893552,0,0
seller_N_total_value_high,`time_n_sale_str_2024-07`,0,0.0166718117577226,0,0
seller_N_total_value_high,`time_n_sale_str_2024-08`,0.0134974880100908,0.0365803839006424,0,0
seller_N_total_value_high,`time_n_sale_str_2024-09`,0.0637284075868243,0.0787196530107966,0,0
seller_N_total_value_high,`time_n_sale_str_2024-10`,0.0752042860291657,0.0904439623071861,0,0
seller_N_total_value_high,`time_n_sale_str_2024-11`,-0.0725233870205543,-0.0308906213831833,0,0
seller_N_total_value_high,`time_n_sale_str_2024-12`,0.00319194355305609,0.0500135216397902,0,0
seller_N_total_value_high,`time_n_sale_str_2025-01`,0,0.00739770835969224,0,0
seller_N_total_value_high,`time_n_sale_str_2025-02`,-0.0694549788677684,-0.0450223084241568,0,0
seller_N_total_value_high,`time_n_sale_str_2025-03`,-0.0332320063662229,-0.0107676594437661,0,0
seller_N_total_value_high,`time_n-1_sale_str_2021-06`,-0.229882399146159,-0.158407698716798,1,0
seller_N_total_value_high,`time_n-1_sale_str_2021-07`,-0.211266833505186,-0.165791945663779,1,0
seller_N_total_value_high,`time_n-1_sale_str_2021-08`,-0.174230553456289,-0.102812484323351,1,0
seller_N_total_value_high,`time_n-1_sale_str_2021-09`,-0.113718780561184,-0.0815288557392395,0,0
seller_N_total_value_high,`time_n-1_sale_str_2021-10`,-0.107100837247714,-0.0764089721429782,0,0
seller_N_total_value_high,`time_n-1_sale_str_2021-11`,-0.145237031854605,-0.117413806531408,1,0
seller_N_total_value_high,`time_n-1_sale_str_2021-12`,-0.053531134655029,-0.0201233746692242,0,0
seller_N_total_value_high,`time_n-1_sale_str_2022-01`,-0.101856805964403,-0.0607083718588553,0,0
seller_N_total_value_high,`time_n-1_sale_str_2022-02`,-0.0242844365119566,0.00148199655135953,0,0
seller_N_total_value_high,`time_n-1_sale_str_2022-03`,-0.0263002242608119,0.0103314686395201,0,0
seller_N_total_value_high,`time_n-1_sale_str_2022-04`,-0.0983865703570033,-0.0740748686262367,0,0
seller_N_total_value_high,`time_n-1_sale_str_2022-05`,0.00925027795647382,0.0464539807805879,0,0
seller_N_total_value_high,`time_n-1_sale_str_2022-06`,-0.110450061353753,-0.0816029696573614,0,0
seller_N_total_value_high,`time_n-1_sale_str_2022-07`,-0.0273607001713894,0.0012502745636863,0,0
seller_N_total_value_high,`time_n-1_sale_str_2022-08`,-0.0619432877128407,-0.0319772371795514,0,0
seller_N_total_value_high,`time_n-1_sale_str_2022-09`,-0.0242844365119566,0.00148199655135953,0,0
seller_N_total_value_high,`time_n-1_sale_str_2022-10`,0.0497947356714961,0.0720689994313014,0,0
seller_N_total_value_high,`time_n-1_sale_str_2022-11`,0,0.0303564032737028,0,0
seller_N_total_value_high,`time_n-1_sale_str_2022-12`,-0.0537743746988193,-0.0305146415960599,0,0
seller_N_total_value_high,`time_n-1_sale_str_2023-01`,-0.0199374414718585,0.00376184917284601,0,0
seller_N_total_value_high,`time_n-1_sale_str_2023-02`,-0.00617361673521507,0.0205982561665752,0,0
seller_N_total_value_high,`time_n-1_sale_str_2023-03`,-0.0228236869783992,0.00488943527943328,0,0
seller_N_total_value_high,`time_n-1_sale_str_2023-04`,-0.0479924645278694,-0.0205298858192183,0,0
seller_N_total_value_high,`time_n-1_sale_str_2023-05`,-0.0678548584502465,-0.0499551939197909,0,0
seller_N_total_value_high,`time_n-1_sale_str_2023-06`,0.201561382287933,0.185389585632713,1,0
seller_N_total_value_high,`time_n-1_sale_str_2023-07`,0.0411221326685034,0.0654788050504194,0,0
seller_N_total_value_high,`time_n-1_sale_str_2023-08`,0.0447140605031003,0.0812073685873507,0,0
seller_N_total_value_high,`time_n-1_sale_str_2023-09`,-0.0297022846283982,-0.0194731023489888,0,0
seller_N_total_value_high,`time_n-1_sale_str_2023-10`,0.0320773310635957,0.0507183854439829,0,0
seller_N_total_value_high,`time_n-1_sale_str_2023-11`,0.159085588189563,0.137581105820123,1,0
seller_N_total_value_high,`time_n-1_sale_str_2023-12`,0.208240796212515,0.136752320205243,1,0
seller_N_total_value_high,`time_n-1_sale_str_2024-01`,0.376952476042465,0.182101066952566,1,0
seller_N_total_value_high,`time_n-1_sale_str_2024-02`,0.207694158270376,0.133082297687217,1,0
seller_N_total_value_high,`time_n-1_sale_str_2024-03`,0.213339656867908,0.142471670640368,1,0
seller_N_total_value_high,`time_n-1_sale_str_2024-04`,0.295836724251854,0.182076988559789,1,0
seller_N_total_value_high,`time_n-1_sale_str_2024-05`,0.200630552380958,0.127910371658493,1,0
seller_N_total_value_high,`time_n-1_sale_str_2024-06`,0.108735831895247,0.0708157893830316,0,0
seller_N_total_value_high,`time_n-1_sale_str_2024-07`,0.0963370101036962,0.12224031881687,1,0
seller_N_total_value_high,`time_n-1_sale_str_2024-08`,0.0506342993396627,0.0534195316452441,0,0
seller_N_total_value_high,`time_n-1_sale_str_2024-09`,0.0502718382948319,0.073314662555369,0,0
seller_N_total_value_high,`time_n-1_sale_str_2024-10`,0.0383084236421774,0.0345189879921236,0,0
seller_N_total_value_high,`time_n-1_sale_str_2024-11`,0.00907988352388463,0.0418336261646358,0,0
seller_N_total_value_high,`time_n-1_sale_str_2024-12`,0.163983469641927,0.189898203312384,1,0
seller_N_total_value_high,`time_n-1_sale_str_2025-01`,0.113153984459031,0.108275232584074,1,0
seller_N_total_value_high,`time_n-1_sale_str_2025-02`,-0.049794735671496,-0.0467603730919664,0,0
seller_N_total_value_high,`time_n-1_sale_str_2025-03`,0.0148192912752926,0.0268708229359192,0,0
seller_N_total_value_high,`Background_recoded_Army Green`,-0.00859762250759931,-0.0292886803624909,0,0
seller_N_total_value_high,Background_recoded_Blue,-0.00165624903025156,0.00334991076547034,0,0
seller_N_total_value_high,Background_recoded_Gray,-0.0016688469536327,0.0187050226502177,0,0
seller_N_total_value_high,`Background_recoded_New Punk Blue`,-0.0162776659468242,-0.0108090802088494,0,0
seller_N_total_value_high,Background_recoded_Orange,-0.00164703254258515,0.0178854979382655,0,0
seller_N_total_value_high,Background_recoded_Purple,0.0248923936279302,0.00957130668414791,0,0
seller_N_total_value_high,Background_recoded_Yellow,0,-0.0240557422164432,0,0
seller_N_total_value_high,`Clothes_recoded_Bayc T Black`,-0.0438404501002743,-0.0259723369613967,0,0
seller_N_total_value_high,`Clothes_recoded_Bayc T Red`,-0.10444895260306,-0.0889488535103964,0,0
seller_N_total_value_high,`Clothes_recoded_Biker Vest`,0.113786245152131,0.101322389653513,1,0
seller_N_total_value_high,`Clothes_recoded_Black Holes T`,-0.0404525069568008,-0.0516376495041589,0,0
seller_N_total_value_high,`Clothes_recoded_Black T`,-0.0307418781754354,-0.0199503514765616,0,0
seller_N_total_value_high,`Clothes_recoded_Bone Necklace`,-0.0142934684639286,-0.0324092296855844,0,0
seller_N_total_value_high,`Clothes_recoded_Bone Tee`,0.0798769416746223,0.0741454665696056,0,0
seller_N_total_value_high,`Clothes_recoded_Caveman Pelt`,0.0788923922230643,0.0666342545397707,0,0
seller_N_total_value_high,`Clothes_recoded_Cowboy Shirt`,0.00533097955091207,0.00488943527943327,0,0
seller_N_total_value_high,Clothes_recoded_Guayabera,0.00367675443178501,-0.0303220746578439,0,0
seller_N_total_value_high,Clothes_recoded_Hawaiian,0,-0.00628575749356177,0,0
seller_N_total_value_high,`Clothes_recoded_Hip Hop`,-0.0437640506565954,-0.0126774393004502,0,0
seller_N_total_value_high,`Clothes_recoded_Lab Coat`,-0.00496700240328387,0.00437731053510509,0,0
seller_N_total_value_high,`Clothes_recoded_Leather Jacket`,-0.0585128213888599,-0.0572866317705028,0,0
seller_N_total_value_high,`Clothes_recoded_Leather Punk Jacket`,-0.0929339929224869,-0.0968317993963655,0,0
seller_N_total_value_high,`Clothes_recoded_Lumberjack Shirt`,-0.0285891285333641,-0.044463060663551,0,0
seller_N_total_value_high,`Clothes_recoded_Navy Striped Tee`,-0.0715561763325021,-0.089965183730796,0,0
seller_N_total_value_high,Clothes_recoded_No_Clothes,0.0469311285405935,0.0541383030454195,0,0
seller_N_total_value_high,Clothes_recoded_Other_Clothes,-0.00278792207854427,0.0397068331657598,0,0
seller_N_total_value_high,`Clothes_recoded_Prison Jumpsuit`,0.0755120078338989,0.0683811487008712,0,0
seller_N_total_value_high,`Clothes_recoded_Prom Dress`,0.0514087820858743,0.035229167372054,0,0
seller_N_total_value_high,`Clothes_recoded_Puffy Vest`,-0.00367675443178502,0.00656788139490799,0,0
seller_N_total_value_high,`Clothes_recoded_Rainbow Suspenders`,-0.0282950676391296,-0.038932580786266,0,0
seller_N_total_value_high,`Clothes_recoded_Sailor Shirt`,0.0487527366954224,0.044937234444794,0,0
seller_N_total_value_high,Clothes_recoded_Service,0,0.00739770835969225,0,0
seller_N_total_value_high,`Clothes_recoded_Sleeveless Logo T`,-0.058986256269686,-0.0433072390599675,0,0
seller_N_total_value_high,`Clothes_recoded_Sleeveless T`,0.0139871373583075,0.00406015966034938,0,0
seller_N_total_value_high,`Clothes_recoded_Smoking Jacket`,0.0114424909444385,-0.00450963198324618,0,0
seller_N_total_value_high,`Clothes_recoded_Striped Tee`,0.0671670920221955,0.0566916985505588,0,0
seller_N_total_value_high,`Clothes_recoded_Stunt Jacket`,-0.0258653086841634,-0.0219006909943239,0,0
seller_N_total_value_high,Clothes_recoded_Tanktop,-0.00699344034148636,-0.00648650904461255,0,0
seller_N_total_value_high,`Clothes_recoded_Tie Dye`,-0.00925027795647381,-0.00818129019614732,0,0
seller_N_total_value_high,Clothes_recoded_Toga,0.0109029271282379,-0.00434833174817831,0,0
seller_N_total_value_high,`Clothes_recoded_Tuxedo Tee`,-0.0479638472660455,-0.0425422743899474,0,0
seller_N_total_value_high,`Clothes_recoded_Tweed Suit`,-0.0145849116940544,-0.0184066048988226,0,0
seller_N_total_value_high,`Clothes_recoded_Vietnam Jacket`,-0.00372082567338276,0.0054550692475682,0,0
seller_N_total_value_high,`Clothes_recoded_Wool Turtleneck`,-0.0349723362035065,-0.0108110403709194,0,0
seller_N_total_value_high,`Clothes_recoded_Work Vest`,-0.00848330159241839,-0.0177645886468117,0,0
seller_N_total_value_high,`Earring_recoded_Diamond Stud`,-0.0752207552957039,-0.0587658351938531,0,0
seller_N_total_value_high,`Earring_recoded_Gold Hoop`,-0.0425924639265769,-0.0388307070199466,0,0
seller_N_total_value_high,`Earring_recoded_Gold Stud`,-0.0734389714460233,-0.0402253538619499,0,0
seller_N_total_value_high,Earring_recoded_No_Earring,0.0923491343401613,0.0624767928305498,0,0
seller_N_total_value_high,`Earring_recoded_Silver Hoop`,-0.0135478542542743,-0.0246538464251269,0,0
seller_N_total_value_high,`Earring_recoded_Silver Stud`,0.00404081321066023,0.0180255194533992,0,0
seller_N_total_value_high,Eyes_recoded_Angry,-0.029720163466547,-0.0296456969075069,0,0
seller_N_total_value_high,Eyes_recoded_Blindfold,0.0699611497256933,0.0524713572842849,0,0
seller_N_total_value_high,Eyes_recoded_Bloodshot,0.0443215083018394,0.0339021723192407,0,0
seller_N_total_value_high,Eyes_recoded_Bored,0.00432728975346941,0.0571435291772304,0,0
seller_N_total_value_high,Eyes_recoded_Closed,0.0729757330428435,0.02133560282736,0,0
seller_N_total_value_high,Eyes_recoded_Coins,0.0279217374364268,-0.0114809602391333,0,0
seller_N_total_value_high,Eyes_recoded_Crazy,0.0704690597696645,0.0378796823713084,0,0
seller_N_total_value_high,Eyes_recoded_Eyepatch,0.0159602058723366,0.0254415336918194,0,0
seller_N_total_value_high,Eyes_recoded_Heart,-0.115951634829402,-0.0746072693866169,0,0
seller_N_total_value_high,Eyes_recoded_Holographic,-0.0363251528643507,-0.0195565287316434,0,0
seller_N_total_value_high,Eyes_recoded_Hypnotized,0.0120741343872398,0.000795727160948658,0,0
seller_N_total_value_high,Eyes_recoded_Other_Eyes,-0.0207226521499659,0.0136745220062343,0,0
seller_N_total_value_high,Eyes_recoded_Robot,-0.0542829652251944,-0.0338741286237764,0,0
seller_N_total_value_high,Eyes_recoded_Sad,0.0159534610135966,0.0237525296108582,0,0
seller_N_total_value_high,Eyes_recoded_Scumbag,-0.0120741343872396,0.00970823891506135,0,0
seller_N_total_value_high,Eyes_recoded_Sleepy,0.0105988337606689,-0.0177448769307467,0,0
seller_N_total_value_high,Eyes_recoded_Sunglasses,-0.133778948643155,-0.120747400009986,1,0
seller_N_total_value_high,`Eyes_recoded_Wide Eyed`,-0.031094972845022,-0.016731817621738,0,0
seller_N_total_value_high,`Eyes_recoded_X Eyes`,0.0659228260932504,0.0338906157785815,0,0
seller_N_total_value_high,Eyes_recoded_Zombie,-0.0189068309244076,-0.0090411033693226,0,0
seller_N_total_value_high,Fur_recoded_Blue,0.0128977645408899,0.00254571338518084,0,0
seller_N_total_value_high,Fur_recoded_Brown,-0.00315687152701841,-0.0550610765026719,0,0
seller_N_total_value_high,Fur_recoded_Cheetah,-0.0273391541546506,0.0050041177686513,0,0
seller_N_total_value_high,Fur_recoded_Cream,0.0266435676066017,0.00866888797137705,0,0
seller_N_total_value_high,`Fur_recoded_Dark Brown`,0.0397631275815065,0.0544764886769254,0,0
seller_N_total_value_high,`Fur_recoded_Death Bot`,-0.0898791560812289,-0.06480156861077,0,0
seller_N_total_value_high,Fur_recoded_Dmt,-0.0294620085421349,-0.0184162244343642,0,0
seller_N_total_value_high,`Fur_recoded_Golden Brown`,0.0118318097382076,0.0189425844376003,0,0
seller_N_total_value_high,Fur_recoded_Gray,-0.0249258553471268,-0.0327168547528484,0,0
seller_N_total_value_high,Fur_recoded_Noise,-0.0134974880100908,0.0231431557343802,0,0
seller_N_total_value_high,Fur_recoded_Other_Fur,0.00617361673521509,0.0337997226567083,0,0
seller_N_total_value_high,Fur_recoded_Pink,0.0218323022558852,0.0231693822311675,0,0
seller_N_total_value_high,Fur_recoded_Red,0.0761268655795691,0.0702935665072029,0,0
seller_N_total_value_high,Fur_recoded_Robot,-0.015985894556231,0.0157516423636223,0,0
seller_N_total_value_high,Fur_recoded_Tan,-0.0447648589841334,-0.0496925002233819,0,0
seller_N_total_value_high,Fur_recoded_White,-0.00820522984505779,-0.00269219646498057,0,0
