treatment,covariate,type,n,cor,slope_catepct_per_unit,n0,n1,mean0,mean1,diff1minus0
seller_N_total_value_high,log_price_1_sale,numeric,3196,0.517014603640747,1.10580328071966,,,,,
seller_N_total_value_high,sold_after_30d,binary,3196,,,995,2201,-12.5118822198533,-13.0768470539997,-0.564964834146416
seller_N_total_value_high,log_buyern_total_value,numeric,3196,-0.0927371206588308,-0.128538899989173,,,,,
seller_N_total_value_high,log_buyern_rolling_avg_value_last10,numeric,3196,-0.251201997931025,-0.585306221343001,,,,,
seller_N_total_value_high,log_sellern_rolling_avg_value_last10,numeric,3196,0.180653359190254,0.535661766124994,,,,,
seller_N_total_value_high,log_buyern_1_total_value,numeric,3196,0.204781007767369,0.294690739279358,,,,,
seller_N_total_value_high,log_buyern_1_rolling_avg_value_last10,numeric,3196,0.15827763810168,0.520086602322317,,,,,
seller_N_total_value_high,log_sellern_1_total_value,numeric,3196,-0.190255740688973,-0.295047206650044,,,,,
seller_N_total_value_high,log_sellern_1_rolling_avg_value_last10,numeric,3196,0.152224910625884,0.511651880582378,,,,,
seller_N_total_value_high,log_unique_makers_count,numeric,3196,0.210335432485003,1.1852429086669,,,,,
seller_N_total_value_high,log_median_offer_price,numeric,3196,0.180834200898128,0.772055392825698,,,,,
seller_N_total_value_high,log_buyern_avg_total_gaspaid,numeric,3196,-0.0701754041573979,-0.113924900929657,,,,,
seller_N_total_value_high,log_buyern_1_avg_total_gaspaid,numeric,3196,0.00653860774195232,0.0113686519347578,,,,,
seller_N_total_value_high,log_sellern_avg_total_gaspaid,numeric,3196,-0.153085138993384,-0.23732523488093,,,,,
seller_N_total_value_high,log_sellern_1_avg_total_gaspaid,numeric,3196,-0.394669326943131,-0.605600605469647,,,,,
seller_N_total_value_high,log_buyern_avg_gasLimit_cost,numeric,3196,-0.195391682910329,-60.4037779889056,,,,,
seller_N_total_value_high,log_buyern_1_avg_gasLimit_cost,numeric,3196,-0.0828679362134951,-29.5255120168689,,,,,
seller_N_total_value_high,log_sellern_avg_gasLimit_cost,numeric,3196,-0.249887910072783,-92.54571780216,,,,,
seller_N_total_value_high,log_sellern_1_avg_gasLimit_cost,numeric,3196,-0.342680401712759,-105.7285563975,,,,,
seller_N_total_value_high,`time_n_sale_str_2021-06`,binary,3196,,,3138,58,-12.8708648241504,-14.5291268348872,-1.65826201073682
seller_N_total_value_high,`time_n_sale_str_2021-07`,binary,3196,,,3144,52,-12.8905955744295,-13.527513242325,-0.636917667895526
seller_N_total_value_high,`time_n_sale_str_2021-08`,binary,3196,,,3108,88,-12.8712529871427,-13.9501010291788,-1.07884804203612
