treatment,display_label,subgroup,metric,n_kept,kept_pct,treated_prop,treated_kept,control_kept,ATE,CI_lower,CI_upper,StdErr,ATE_pct,CI_lower_pct,CI_upper_pct,p_value,q_value_bh,GATES_lift,GATES_bot_mean,GATES_top_mean
seller_N_total_value_high,Seller N High — Total Value,Seller N High,Total Value,3196,87.6577070762479,0.429599499374218,1373,1823,-0.139248612135863,-0.234451463836416,-0.0440457604353108,0.04857288352069,-12.9988293899296,-20.8995374710426,-4.30898321546958,0.00414648474160592,0.00552864632214123,8.2354153133435,-16.9144067612212,-8.67899144787769
seller_N_gaspaid_high,Seller N High — Gas Paid,Seller N High,Gas Paid,3221,88.3433900164564,0.436199937907482,1405,1816,0.0710165375222116,-0.0315535316996629,0.173586606744086,0.0523316679703442,7.35989803885337,-3.10609138907511,18.9563706547947,0.174766249813704,0.209719499776445,7.82179042281128,2.67432989880888,10.4961203216202
seller_N_gaslimit_cost_high,Seller N High — Gas Limit Cost,Seller N High,Gas Limit Cost,3238,88.8096544157981,0.437615812229771,1417,1821,0.362160398444565,0.267380289105136,0.456940507783994,0.0483571986425657,43.6429324512736,30.653721373489,57.9234929269137,6.9254665627054e-14,1.38509331254108e-13,18.4568042434721,34.7897889535175,53.2465931969896
seller_N_1_total_value_high,Seller N-1 High — Total Value,Seller N-1 High,Total Value,3166,86.8348875479978,0.424194567277322,1343,1823,-0.55530171650544,-0.646915226709139,-0.463688206301742,0.0467415868386216,-42.6100919752993,-47.6341343965763,-37.1040370453026,1.49919105201373e-32,1.79902926241648e-31,23.6136643598508,-53.64524985038,-30.0315854905292
seller_N_1_gaspaid_high,Seller N-1 High — Gas Paid,Seller N-1 High,Gas Paid,3258,89.3582007679649,0.440454266421117,1435,1823,0.616404929501907,0.507320562337763,0.725489296666052,0.0556552893694617,85.2257062989602,66.0835123548308,106.574161321021,1.6512986279202e-28,9.90779176752122e-28,48.7607198246697,57.8076843603756,106.568404185045
seller_N_1_gaslimit_cost_high,Seller N-1 High — Gas Limit Cost,Seller N-1 High,Gas Limit Cost,3238,88.8096544157981,0.437306979617048,1416,1822,0.061428343463972,-0.0379251319212595,0.160781818849203,0.0506905486659344,6.33542975132231,-3.72149799423566,17.4428702652792,0.225577342090306,0.246084373189425,13.3057271754814,0.261738978236379,13.5674661537178
buyer_N_total_value_high,Buyer N High — Total Value,Buyer N High,Total Value,3646,100,0.501097092704334,1827,1819,0.0425765415353446,-0.0410103828862883,0.126163465956978,0.0426463900110372,4.34959240971964,-4.01808357971769,13.4467599958616,0.318103781439514,0.318103781439514,11.7994705986995,-0.840038618540581,10.9594319801589
buyer_N_gaspaid_high,Buyer N High — Gas Paid,Buyer N High,Gas Paid,3631,99.5885902358749,0.497934453318645,1808,1823,-0.158669574846469,-0.246234330848254,-0.0711048188446843,0.0446758959192779,-14.6721743007461,-21.826098210639,-6.86357375150055,0.000382940012809249,0.000574410019213873,9.04306471885413,-19.4171599819345,-10.3740952630804
buyer_N_gaslimit_cost_high,Buyer N High — Gas Limit Cost,Buyer N High,Gas Limit Cost,3646,100,0.5,1823,1823,0.349543746611618,0.270095755742402,0.428991737480833,0.0405346892189875,41.8420241895034,31.0089893357577,53.5708345525289,6.50382674422925e-18,1.95114802326877e-17,30.9976299883373,23.6730814486876,54.6707114370249
buyer_N_1_total_value_high,Buyer N-1 High — Total Value,Buyer N-1 High,Total Value,3638,99.7805814591333,0.49890049477735,1815,1823,-0.453723311592483,-0.536702299640638,-0.370744323544329,0.0423362183919155,-36.4741522411879,-41.532684637538,-30.9779607895812,8.45754209981242e-27,3.38301683992497e-26,27.6202607487328,-48.3524737712735,-20.7322130225406
buyer_N_1_gaspaid_high,Buyer N-1 High — Gas Paid,Buyer N-1 High,Gas Paid,3501,96.023038946791,0.47957726363896,1679,1822,0.396577730096293,0.304867226771393,0.488288233421193,0.0467910731249489,48.6727996993892,35.6444891481825,62.9524465701515,2.34072453608113e-17,5.61773888659472e-17,36.5524006467246,28.5321410026656,65.0845416493902
buyer_N_1_gaslimit_cost_high,Buyer N-1 High — Gas Limit Cost,Buyer N-1 High,Gas Limit Cost,3611,99.0400438837082,0.504846302963168,1823,1788,0.27773152656205,0.189592498156717,0.365870554967383,0.0449688920435373,32.01317293247,20.8756926606215,44.176860079129,6.57122201987109e-10,1.12649520340647e-09,21.6788484132353,21.971154158876,43.6500025721113
