decile,n,mean_pct,lo_pct,hi_pct
1,362,21.971154158876,21.7936424830357,22.1449033031273
2,361,25.4753287096744,25.4102583828694,25.5472075549549
3,361,27.5638727960557,27.5074638273429,27.6170715677117
4,361,29.3772279986435,29.3146641992311,29.4377840372733
5,361,31.0974294288316,31.055383608649,31.1436954417424
6,361,32.685097446028,32.6383610185493,32.7379955039904
7,361,34.7091080556508,34.6437878958027,34.7810667009983
8,361,36.9829038008355,36.9226388860917,37.044923185538
9,361,39.4256862731344,39.3508769144832,39.5031559849086
10,361,43.6500025721113,43.4327080750596,43.8749261936313
