decile,n,mean_pct,lo_pct,hi_pct
1,364,-48.3524737712735,-48.5297171834191,-48.1760183178327
2,364,-44.8544727863087,-44.9313919108081,-44.7723876630297
3,364,-42.48213627053,-42.5434827186721,-42.4185825798919
4,363,-40.4219734951771,-40.4880047953439,-40.3617289417739
5,364,-38.2710918225259,-38.3540512544623,-38.1936989784176
6,364,-35.7255555197136,-35.8072269854697,-35.6437502968803
7,363,-32.5621616008972,-32.6654460146755,-32.4585512641805
8,364,-28.626476537362,-28.7443400687773,-28.5049878495567
9,364,-25.0259136561863,-25.1192782046109,-24.9389612607284
10,364,-20.7322130225406,-20.9059145421864,-20.5504924274892
