decile,n,mean_pct,lo_pct,hi_pct
1,365,23.6730814486876,23.5174681807688,23.835259941703
2,365,28.2347772439178,28.1074431741703,28.3553136570606
3,364,32.5649897365811,32.4399131472137,32.6851482989341
4,365,36.9215564271852,36.7761584789394,37.0692092516699
5,364,42.29590233505,42.1627545086466,42.4280428613372
6,365,45.729775186678,45.6526757963993,45.8078921589055
7,364,47.98207014179,47.9227289369993,48.0410167246271
8,365,49.9097951704612,49.8543070413929,49.9681107886052
9,364,51.8234055597549,51.7681691513857,51.8856900616747
10,365,54.6707114370249,54.5211566049301,54.8194140011291
