decile,n,mean_pct,lo_pct,hi_pct
1,364,-19.4171599819345,-19.5161567793602,-19.323282472021
2,363,-17.5694713614859,-17.6052298452397,-17.5365199582001
3,363,-16.4928748486549,-16.5188056454866,-16.4652885246784
4,363,-15.6635652177573,-15.6828143248524,-15.6453525833697
5,363,-14.923337697394,-14.9435363164346,-14.903909516252
6,363,-14.2336807330326,-14.2544711220088,-14.2159376638681
7,363,-13.562896485951,-13.5840281845922,-13.5433775277914
8,363,-12.8254982144663,-12.849270809389,-12.8022862484248
9,363,-11.9496352403849,-11.9760869303667,-11.9204439571012
10,363,-10.3740952630804,-10.4598048559018,-10.289175597215
