decile,n,mean_pct,lo_pct,hi_pct
1,324,34.7897889535175,34.6234297716137,34.9403274078438
2,324,37.8996127413857,37.8333080102279,37.9690887255341
3,324,39.8230504430484,39.7739723046229,39.8668150981444
4,323,41.3553707886571,41.3093696401685,41.4017156327856
5,324,42.7441422802333,42.7051945441526,42.7834977088962
6,324,44.0565877773602,44.0119840333841,44.1013294462897
7,323,45.5392003858118,45.4936687599437,45.5851352113939
8,324,47.2712229962455,47.2175700687209,47.3343399430721
9,324,49.4454167530433,49.3694517050772,49.5252110869522
10,324,53.2465931969896,53.060690704445,53.4517995441097
