decile,n,mean_pct,lo_pct,hi_pct
1,421,-12.8846628140642,-12.9558094421313,-12.8135914150003
2,421,-11.2963895867685,-11.3251233994026,-11.267427494543
3,420,-10.4289276802462,-10.448303867855,-10.4086008097468
4,421,-9.69112158611781,-9.71098787194314,-9.67292795320113
5,420,-9.01425203041337,-9.03259194724276,-8.99510561736229
6,421,-8.33650393972375,-8.35422050816705,-8.31908417372893
7,420,-7.71181451454751,-7.7278853088783,-7.69638306187747
8,421,-7.1471759565382,-7.16091634281118,-7.13294126908222
9,420,-6.57961498159336,-6.59535531407974,-6.56243056326655
10,421,-5.71075608536031,-5.75078032100473,-5.66815623537463
