treatment,model,n_used,treated_share,overlap_alpha,target_primary,ATE_log,SE_log,CI95_lo_log,CI95_hi_log,z_or_t,p_value,ATE_pp,CI95_lo_pp,CI95_hi_pp,ATE_pct,CI95_lo_pct,CI95_hi_pct,top_importances,calib_intercept,calib_slope,calib_p_slope,AIPW_log,AIPW_se_log
seller_N_total_value_high,GRF,4206,0.5,0.05,overlap,-0.152065314460696,0.0306069699398693,-0.21205497554284,-0.0920756533785527,-4.9683230571156,6.75343844839071e-07,-15.2065314460696,-21.205497554284,-9.20756533785527,-14.1067821783005,-19.1079774484439,-8.79638516809471,"log_sellern_avg_total_gaspaid:0.0871, log_sellern_avg_gasLimit_cost:0.0843, log_buyern_total_value:0.0764, log_price_1_sale:0.0701, log_sellern_1_avg_total_gaspaid:0.0649, log_buyern_avg_total_gaspaid:0.0647, log_sellern_1_rolling_avg_value_last10:0.0626, log_buyern_avg_gasLimit_cost:0.0554",,,,-0.177425698648382,0.0218794206406176
seller_N_total_value_high,PDS,4206,0.5,0.05,,-0.107739762027304,0.0285075835812848,-0.163613599132887,-0.0518659249217203,-3.77933688136356,0.000157246563591145,-10.7739762027304,-16.3613599132887,-5.18659249217203,-10.213877638562,-15.0929960097441,-5.05438432819659,,,,,,
seller_N_1_total_value_high,GRF,4206,0.5,0.05,overlap,-0.224065683992034,0.0308721292111274,-0.284575057245844,-0.163556310738225,-7.25786298896654,3.93253575341233e-13,-22.4065683992034,-28.4575057245844,-16.3556310738225,-20.0737366115314,-24.7666114764611,-15.0881316844565,"sold_after_30d:0.1191, log_sellern_1_rolling_avg_value_last10:0.0833, log_buyern_total_value:0.0743, `log_price_change_n-1`:0.0630, log_sellern_1_avg_total_gaspaid:0.0628, log_sellern_avg_gasLimit_cost:0.0560, log_price_1_sale:0.0554, log_buyern_avg_gasLimit_cost:0.0544",,,,-0.232251826041108,0.0217151487622506
seller_N_1_total_value_high,PDS,4206,0.5,0.05,,-0.171565662458761,0.0270143927070957,-0.22451289922889,-0.118618425688632,-6.35089836440029,2.14061108949113e-10,-17.1565662458761,-22.451289922889,-11.8618425688632,-15.7655044236846,-20.10947286285,-11.1853369947682,,,,,,
buyer_N_total_value_high,GRF,4206,0.5,0.05,overlap,0.0643330378681108,0.0295225022574821,0.00646893344344597,0.122197142292776,2.17911873820948,0.029322848585875,6.43330378681108,0.646893344344597,12.2197142292776,6.6447507030166,0.648990218413825,12.9976846049653,"log_buyern_avg_gasLimit_cost:0.1075, log_sellern_avg_total_gaspaid:0.0953, log_sellern_rolling_avg_value_last10:0.0771, log_sellern_1_total_value:0.0663, log_sellern_1_avg_total_gaspaid:0.0605, `log_price_change_n-1`:0.0578, log_sellern_1_avg_gasLimit_cost:0.0572, log_sellern_1_rolling_avg_value_last10:0.0571",,,,0.0373388591065301,0.020757103211132
buyer_N_total_value_high,PDS,4206,0.5,0.05,,0.113037182008624,0.0285452310140014,0.0570895572908058,0.168984806726443,3.95993228967668,7.49710172022664e-05,11.3037182008624,5.70895572908058,16.8984806726443,11.9673563886729,5.87506249873806,18.4102148399442,,,,,,
buyer_N_gaspaid_high,GRF,4206,0.5,0.05,overlap,-0.0946499728359122,0.0300407552008764,-0.15352985302963,-0.0357700926421946,-3.15071882191401,0.00162869202220022,-9.46499728359122,-15.352985302963,-3.57700926421946,-9.03087045881799,-14.232484038531,-3.51379031196302,"log_sellern_1_rolling_avg_value_last10:0.0724, log_sellern_1_total_value:0.0663, log_sellern_avg_gasLimit_cost:0.0660, log_sellern_avg_total_gaspaid:0.0652, log_sellern_total_value:0.0648, sold_after_30d:0.0630, log_sellern_rolling_avg_value_last10:0.0628, log_buyern_rolling_avg_value_last10:0.0622",,,,-0.0564957578614014,0.0206055207754044
buyer_N_gaspaid_high,PDS,4206,0.5,0.05,,-0.102744073461382,0.0283423682869012,-0.158294094540279,-0.0471940523824856,-3.62510544007244,0.000288843579315939,-10.2744073461382,-15.8294094540279,-4.71940523824856,-9.76421187383124,-14.6401293668817,-4.60977273796791,,,,,,
seller_N_gaspaid_high,GRF,4206,0.5,0.05,overlap,0.211268009816786,0.0334436927891245,0.145718371950102,0.27681764768347,6.3171256580101,2.66472907928273e-10,21.1268009816786,14.5718371950102,27.681764768347,23.5243368050805,15.6870335031835,31.8925839922681,"sold_after_30d:0.1071, log_buyern_total_value:0.0991, log_buyern_rolling_avg_value_last10:0.0815, log_sellern_total_value:0.0707, log_buyern_avg_total_gaspaid:0.0575, log_buyern_avg_gasLimit_cost:0.0537, log_sellern_1_total_value:0.0533, log_sellern_1_avg_gasLimit_cost:0.0532",,,,0.228443596055091,0.020826326636807
seller_N_gaspaid_high,PDS,4206,0.5,0.05,,0.168426423703696,0.0304204912794716,0.108803356403917,0.228049491003475,5.53661090336676,3.08380597403222e-08,16.8426423703696,10.8803356403917,22.8049491003475,18.3441150424776,11.4943082366188,25.6147491893878,,,,,,
seller_N_1_gaspaid_high,GRF,4206,0.500475511174513,0.05,overlap,0.277312709327008,0.0337753324559119,0.211113057713421,0.343512360940596,8.21051013158772,2.20250720836753e-16,27.7312709327008,21.1113057713421,34.3512360940596,31.9578951168523,23.5051979321184,40.9890949953439,"sold_after_30d:0.1317, log_sellern_avg_gasLimit_cost:0.0736, log_sellern_total_value:0.0726, log_sellern_1_total_value:0.0698, log_sellern_1_rolling_avg_value_last10:0.0675, log_price_1_sale:0.0654, log_buyern_avg_gasLimit_cost:0.0536, log_buyern_total_value:0.0522",,,,0.287387581337208,0.0201195113123655
seller_N_1_gaspaid_high,PDS,4206,0.500475511174513,0.05,,0.197484638193405,0.028798777859481,0.141040070790053,0.253929205596757,6.85739648942741,7.01268014702894e-12,19.7484638193405,14.1040070790053,25.3929205596757,21.8334349009246,15.147078740449,28.9080541349734,,,,,,
buyer_N_gaslimit_cost_high,GRF,4206,0.5,0.05,overlap,0.185475252106316,0.0277878140211711,0.131011136624821,0.239939367587812,6.6746974758434,2.47742679234612e-11,18.5475252106316,13.1011136624821,23.9939367587812,20.3790408129458,13.9980476776171,27.1172073755621,"log_buyern_total_value:0.1116, sold_after_30d:0.1013, log_sellern_total_value:0.0611, log_sellern_rolling_avg_value_last10:0.0586, log_buyern_rolling_avg_value_last10:0.0578, `log_price_change_n-1`:0.0575, log_price_1_sale:0.0549, log_sellern_avg_gasLimit_cost:0.0536",,,,0.198792269272337,0.0223714853394534
