treatment,r2_tau,r2_tau_oos,n_kept
seller_N_total_value_high,0.641022659276255,0.652532288136117,3196
seller_N_1_total_value_high,0.738861011441628,0.758217045899951,3166
buyer_N_total_value_high,0.72004622750361,0.732669898199949,3646
buyer_N_1_total_value_high,0.839501178523296,0.873570685342548,3638
buyer_N_gaspaid_high,0.723472560923177,0.731606925800787,3631
buyer_N_1_gaspaid_high,0.80874516832167,0.842464920836714,3501
seller_N_gaspaid_high,0.611385572697677,0.611693304249137,3221
seller_N_1_gaspaid_high,0.84712046262222,0.903632277740492,3258
buyer_N_gaslimit_cost_high,0.875926300075943,0.940476495497657,3646
buyer_N_1_gaslimit_cost_high,0.691077706058633,0.711298239369725,3611
seller_N_gaslimit_cost_high,0.719379374198643,0.735414229749054,3238
seller_N_1_gaslimit_cost_high,0.619528802642388,0.6429385799625,3238
buyer_N_Tvalue_Gaspaid_11vs00,0.62082723724706,0.646001492885979,2810
buyer_N_Tvalue_Gaslimit_11vs00,0.870697288048585,0.895360793442759,1844
buyer_N_1_Tvalue_Gaspaid_11vs00,0.800861714312945,0.837497144831612,2730
buyer_N_1_Tvalue_Gaslimit_11vs00,0.618058841633127,0.646169023683808,1574
buyer_N_1_Tvalue_Gaspaid_Gaslimit_11vs00,0.455661039180955,0.51721817562397,1342
seller_N_Tvalue_Gaslimit_11vs00,0.525604511428481,0.551112161522579,1988
seller_N_1_Tvalue_Gaspaid_11vs00,0.472337387941658,0.502888318736739,2559
combo_all_TV_BN1_SN_SN1_11vs00,0.5900233406411,0.625537357872377,1660
seller_total_value_11vs00,0.72029375524322,0.728738025466027,1744
comboB_lowTV_all_11vs00,0.58046435580947,0.609327893775913,1660
comboB_BN1_lowTV_highFees_11vs00,0.00543282796918099,-0.00148434400688147,627
comboB_SN_lowTV_highFees_11vs00,0.00274646442508532,-0.0146717335626192,499
comboB_mix_lowTV_highFees_11vs00,0.029356285936364,-0.054930557890079,105
