treatment,model,n_used,treated_share,overlap_alpha,target_primary,ATE_log,SE_log,CI95_lo_log,CI95_hi_log,z_or_t,p_value,ATE_pp,CI95_lo_pp,CI95_hi_pp,ATE_pct,CI95_lo_pct,CI95_hi_pct,top_importances,calib_intercept,calib_slope,calib_p_slope,AIPW_log,AIPW_se_log,q_value_bh
seller_N_total_value_high,GRF,3196,0.429599499374218,0.05,overlap,-0.139248612135863,0.04857288352069,-0.234451463836416,-0.0440457604353108,-2.86679731658404,0.00414648474160592,-13.9248612135863,-23.4451463836416,-4.40457604353108,-12.9988293899296,-20.8995374710426,-4.30898321546958,"log_price_1_sale:0.0839, log_buyern_rolling_avg_value_last10:0.0767, log_sellern_1_rolling_avg_value_last10:0.0581, log_sellern_avg_gasLimit_cost:0.0566, `log_price_change_n-1`:0.0555, log_sellern_1_avg_total_gaspaid:0.0549, log_buyern_avg_gasLimit_cost:0.0542, log_buyern_1_avg_gasLimit_cost:0.0527",,,,-0.230736874113572,0.0339822515808863,0.00609777167883224
seller_N_1_total_value_high,GRF,3166,0.424194567277322,0.05,overlap,-0.55530171650544,0.0467415868386216,-0.646915226709139,-0.463688206301742,-11.880249560689,1.49919105201373e-32,-55.5301716505441,-64.6915226709139,-46.3688206301742,-42.6100919752993,-47.6341343965763,-37.1040370453026,"log_sellern_1_rolling_avg_value_last10:0.1131, log_price_1_sale:0.1090, log_sellern_1_avg_total_gaspaid:0.0868, `log_price_change_n-1`:0.0758, sold_after_30d:0.0680, log_buyern_1_rolling_avg_value_last10:0.0516, log_buyern_1_total_value:0.0473, log_sellern_total_value:0.0407",,,,-0.597792167053799,0.0339183375478307,9.36994407508581e-32
buyer_N_total_value_high,GRF,3646,0.501097092704334,0.05,overlap,0.0425765415353446,0.0426463900110372,-0.0410103828862883,0.126163465956978,0.998362147987801,0.318103781439514,4.25765415353446,-4.10103828862883,12.6163465956978,4.34959240971964,-4.01808357971769,13.4467599958616,"log_buyern_rolling_avg_value_last10:0.0791, log_price_1_sale:0.0770, log_sellern_1_total_value:0.0632, log_sellern_1_rolling_avg_value_last10:0.0610, log_buyern_1_avg_gasLimit_cost:0.0581, `log_price_change_n-1`:0.0552, log_sellern_1_avg_gasLimit_cost:0.0528, log_buyern_avg_gasLimit_cost:0.0506",,,,-0.0115516067382925,0.0293154368171922,0.331358105666161
buyer_N_1_total_value_high,GRF,3638,0.49890049477735,0.05,overlap,-0.453723311592483,0.0423362183919155,-0.536702299640638,-0.370744323544329,-10.7171431182698,8.45754209981242e-27,-45.3723311592483,-53.6702299640638,-37.0744323544329,-36.4741522411879,-41.532684637538,-30.9779607895812,"log_buyern_1_avg_gasLimit_cost:0.1115, log_price_1_sale:0.0780, log_sellern_avg_total_gaspaid:0.0723, log_buyern_1_avg_total_gaspaid:0.0664, log_sellern_1_rolling_avg_value_last10:0.0640, log_sellern_avg_gasLimit_cost:0.0561, sold_after_30d:0.0520, log_buyern_1_rolling_avg_value_last10:0.0507",,,,-0.55696784359674,0.0296368997795708,3.02055074993301e-26
buyer_N_gaspaid_high,GRF,3631,0.497934453318645,0.05,overlap,-0.158669574846469,0.0446758959192779,-0.246234330848254,-0.0711048188446843,-3.55157007109962,0.000382940012809249,-15.8669574846469,-24.6234330848254,-7.11048188446843,-14.6721743007461,-21.826098210639,-6.86357375150055,"log_buyern_rolling_avg_value_last10:0.0642, log_sellern_1_rolling_avg_value_last10:0.0639, log_buyern_1_avg_gasLimit_cost:0.0599, log_buyern_1_total_value:0.0590, log_sellern_total_value:0.0571, log_sellern_1_avg_total_gaspaid:0.0569, log_price_1_sale:0.0568, log_sellern_1_total_value:0.0515",,,,-0.104454862841875,0.0274264309000106,0.000598343770014451
buyer_N_1_gaspaid_high,GRF,3501,0.47957726363896,0.05,overlap,0.396577730096293,0.0467910731249489,0.304867226771393,0.488288233421193,8.47549978256085,2.34072453608113e-17,39.6577730096293,30.4867226771393,48.8288233421193,48.6727996993892,35.6444891481825,62.9524465701515,"log_buyern_1_total_value:0.1122, log_buyern_1_avg_gasLimit_cost:0.0668, `log_price_change_n-1`:0.0635, log_buyern_1_rolling_avg_value_last10:0.0602, log_sellern_1_rolling_avg_value_last10:0.0551, log_sellern_total_value:0.0523, log_sellern_rolling_avg_value_last10:0.0505, log_sellern_avg_gasLimit_cost:0.0504",,,,0.321548969453751,0.030161156160674,5.85181134020283e-17
seller_N_gaspaid_high,GRF,3221,0.436199937907482,0.05,overlap,0.0710165375222116,0.0523316679703442,-0.0315535316996629,0.173586606744086,1.35704708595293,0.174766249813704,7.10165375222116,-3.15535316996629,17.3586606744086,7.35989803885337,-3.10609138907511,18.9563706547947,"log_buyern_1_avg_total_gaspaid:0.0658, log_buyern_1_rolling_avg_value_last10:0.0615, log_sellern_1_avg_total_gaspaid:0.0613, log_buyern_rolling_avg_value_last10:0.0607, log_sellern_1_avg_gasLimit_cost:0.0605, log_buyern_1_avg_gasLimit_cost:0.0578, log_buyern_total_value:0.0574, log_sellern_1_total_value:0.0569",,,,0.0929724848205786,0.0316711178018436,0.198598011151936
seller_N_1_gaspaid_high,GRF,3258,0.440454266421117,0.05,overlap,0.616404929501907,0.0556552893694617,0.507320562337763,0.725489296666052,11.0754060662585,1.6512986279202e-28,61.6404929501907,50.7320562337763,72.5489296666052,85.2257062989602,66.0835123548308,106.574161321021,"sold_after_30d:0.0751, log_sellern_1_total_value:0.0705, log_sellern_avg_gasLimit_cost:0.0663, log_sellern_1_rolling_avg_value_last10:0.0639, log_buyern_1_avg_gasLimit_cost:0.0624, log_price_1_sale:0.0596, log_sellern_avg_total_gaspaid:0.0567, log_sellern_total_value:0.0551",,,,0.598557431726103,0.0316506822910641,6.88041094966752e-28
buyer_N_gaslimit_cost_high,GRF,3646,0.5,0.05,overlap,0.349543746611618,0.0405346892189875,0.270095755742402,0.428991737480833,8.62332370980365,6.50382674422925e-18,34.9543746611617,27.0095755742402,42.8991737480833,41.8420241895034,31.0089893357577,53.5708345525289,"sold_after_30d:0.0799, log_buyern_total_value:0.0677, log_buyern_1_total_value:0.0661, log_buyern_1_avg_gasLimit_cost:0.0607, log_buyern_1_rolling_avg_value_last10:0.0548, log_sellern_1_avg_total_gaspaid:0.0539, log_sellern_1_rolling_avg_value_last10:0.0533, log_sellern_avg_gasLimit_cost:0.0528",,,,0.374414948865957,0.030889113940738,1.80661854006368e-17
buyer_N_1_gaslimit_cost_high,GRF,3611,0.504846302963168,0.05,overlap,0.27773152656205,0.0449688920435373,0.189592498156717,0.365870554967383,6.17608115168058,6.57122201987109e-10,27.773152656205,18.9592498156717,36.5870554967383,32.01317293247,20.8756926606215,44.176860079129,"`log_price_change_n-1`:0.1054, log_buyern_1_total_value:0.0697, log_sellern_1_total_value:0.0627, log_sellern_total_value:0.0610, log_sellern_rolling_avg_value_last10:0.0564, log_sellern_avg_total_gaspaid:0.0544, log_buyern_1_rolling_avg_value_last10:0.0533, log_buyern_avg_gasLimit_cost:0.0531",,,,0.382077604004629,0.0324625204918517,1.2636965422829e-09
seller_N_gaslimit_cost_high,GRF,3238,0.437615812229771,0.05,overlap,0.362160398444565,0.0483571986425657,0.267380289105136,0.456940507783994,7.4892758185082,6.9254665627054e-14,36.2160398444565,26.7380289105136,45.6940507783994,43.6429324512736,30.653721373489,57.9234929269137,"log_buyern_rolling_avg_value_last10:0.0805, log_sellern_rolling_avg_value_last10:0.0646, `log_price_change_n-1`:0.0574, log_sellern_1_rolling_avg_value_last10:0.0574, log_sellern_1_avg_gasLimit_cost:0.0550, log_buyern_1_avg_total_gaspaid:0.0543, log_buyern_1_rolling_avg_value_last10:0.0534, log_sellern_1_total_value:0.0521",,,,0.359760620454595,0.0343413857288393,1.57396967334214e-13
seller_N_1_gaslimit_cost_high,GRF,3238,0.437306979617048,0.05,overlap,0.061428343463972,0.0506905486659344,-0.0379251319212595,0.160781818849203,1.21183031315764,0.225577342090306,6.1428343463972,-3.79251319212595,16.0781818849203,6.33542975132231,-3.72149799423566,17.4428702652792,"log_sellern_1_rolling_avg_value_last10:0.0835, log_sellern_1_total_value:0.0761, log_buyern_avg_gasLimit_cost:0.0613, log_buyern_rolling_avg_value_last10:0.0580, `log_price_change_n-1`:0.0576, log_buyern_total_value:0.0559, log_sellern_rolling_avg_value_last10:0.0542, log_price_1_sale:0.0519",,,,0.115143503070346,0.0353709384072634,0.245192763141637
buyer_N_Tvalue_Gaspaid_11vs00,GRF,2810,0.500355871886121,0.05,overlap,-0.0853189579695655,0.0469361360301843,-0.177313784588727,0.00667586864959578,-1.81776697414328,0.0690997563630535,-8.53189579695655,-17.7313784588727,0.667586864959578,-8.17806356947134,-16.2483056622229,0.669820193106663,"log_price_1_sale:0.0877, log_sellern_1_total_value:0.0685, `log_price_change_n-1`:0.0636, log_buyern_1_total_value:0.0616, log_buyern_avg_gasLimit_cost:0.0608, log_buyern_1_avg_gasLimit_cost:0.0591, log_buyern_rolling_avg_value_last10:0.0586, log_sellern_1_avg_gasLimit_cost:0.0585",,,,-0.0961026238949878,0.0364378390526937,0.0822616147179208
buyer_N_Tvalue_Gaslimit_11vs00,GRF,1844,0.501084598698482,0.05,overlap,0.384158601097201,0.0764208442047632,0.234373746455865,0.533943455738537,5.0268824571982,4.98517701713299e-07,38.4158601097201,23.4373746455865,53.3943455738537,46.8378309625958,26.4116863126193,70.5645200276665,"log_buyern_1_avg_gasLimit_cost:0.0852, log_sellern_1_rolling_avg_value_last10:0.0807, log_sellern_1_avg_total_gaspaid:0.0714, log_buyern_rolling_avg_value_last10:0.0639, log_sellern_1_total_value:0.0635, log_price_1_sale:0.0586, sold_after_30d:0.0570, log_buyern_1_total_value:0.0561",,,,0.362690828106505,0.0399233989967702,8.90210181630891e-07
