decile,n,mean_pct,lo_pct,hi_pct
1,158,-21.8558799245251,-22.0185772059188,-21.7132116399686
2,157,-19.9448906276341,-20.0052702722612,-19.8880131422654
3,157,-18.6709112303744,-18.729439255026,-18.6134952595548
4,158,-17.4157706562759,-17.4598043712202,-17.3686662597685
5,157,-16.4557532291354,-16.4947554210909,-16.4214655204501
6,157,-15.5253051510254,-15.5718625085435,-15.4841471735813
7,158,-14.5634578641725,-14.6114234686757,-14.5202421198232
8,157,-13.5392148892609,-13.5856057009421,-13.4950899595271
9,157,-12.2786092768099,-12.3541626097673,-12.2108806195513
10,158,-10.229288809888,-10.3834640545426,-10.0567969887792
