decile,n,mean_pct,lo_pct,hi_pct
1,185,29.3808867285616,29.1519825184985,29.6299447764637
2,184,35.7193485810103,35.4487669734024,36.0056000902143
3,184,40.4459423427274,40.2973014107135,40.5885464979513
4,185,43.8131029325071,43.6784184406505,43.9367490844812
5,184,46.7507673269375,46.6461258272264,46.8635914964237
6,184,49.1992586310793,49.1009123793472,49.3064797595206
7,185,51.5419853095003,51.4486695036201,51.6424840636933
8,184,54.0384811999981,53.94301938183,54.155406039571
9,184,56.7477211661597,56.6333849793527,56.8788179512471
10,185,60.8401107885322,60.53592109961,61.1385418444927
