decile,n,mean_pct,lo_pct,hi_pct
1,281,-11.9712305364251,-12.0463247859447,-11.9006682154169
2,281,-10.6753148184529,-10.713200997452,-10.6415626290539
3,281,-9.79512083821923,-9.81867807289307,-9.76873713301496
4,281,-9.11745738566508,-9.13653918076773,-9.09513815898606
5,281,-8.54232213663859,-8.56585930601387,-8.52346296091908
6,281,-7.9346761318306,-7.95751679761075,-7.91193375726656
7,281,-7.2853127719946,-7.30635390411534,-7.26573173086782
8,281,-6.68037377202084,-6.70208990861592,-6.65584165295165
9,281,-5.82685969353766,-5.86515827546207,-5.79339996097659
10,281,-4.23693371588493,-4.32021067133927,-4.14888834707902
