decile,n,mean_pct,lo_pct,hi_pct
1,365,-0.840038618540581,-0.940339039304804,-0.732102419298313
2,365,1.07667088687818,1.03866605722072,1.11762018637954
3,364,2.21738232411151,2.18954348331416,2.24950272363593
4,365,3.20649880344893,3.17635587173945,3.23467388331642
5,364,4.10033799571767,4.07261453172743,4.12831154158281
6,365,5.03625643388746,5.0058518826108,5.06871979043832
7,364,6.10459429409964,6.06699278935272,6.13540104962944
8,365,7.27253173635107,7.23771429916007,7.30791597861897
9,364,8.59489847462094,8.55142379736658,8.64403807733541
10,365,10.9594319801589,10.8446021482449,11.0901101780305
