decile,n,mean_pct,lo_pct,hi_pct
1,63,272.241055915347,271.898487655685,272.497088263241
2,63,274.15966811581,274.092224370685,274.225686407932
3,62,275.105164231277,275.057022746055,275.152530440814
4,63,275.753198110213,275.706145050784,275.798434669657
5,63,276.329488989553,276.288257456654,276.367226083362
6,62,277.037641843127,276.998456794436,277.082088543505
7,63,277.687136649007,277.640075418579,277.744709062412
8,62,278.532215387674,278.466552023055,278.604214597205
9,63,279.636129182237,279.529818815325,279.745645122486
10,63,282.262317497786,281.906910610256,282.616794073894
