decile,n,mean_pct,lo_pct,hi_pct
1,166,181.530706302597,180.867714151492,182.307620592949
2,166,191.731336874433,191.386767554807,192.067981756356
3,166,200.636088486801,200.252936628147,201.052165670434
4,166,213.099821859586,212.41137127106,213.832562650892
5,166,230.96948667794,230.267627625097,231.746710904115
6,166,245.315050895316,244.847915639961,245.863330532306
7,166,254.642656112321,254.362921749338,254.953101696166
8,166,262.212324616454,261.827088498602,262.576253696883
9,166,271.022274858213,270.649387331515,271.425315624873
10,166,282.526522935837,281.637457271519,283.360112908051
