decile,n,mean_pct,lo_pct,hi_pct
1,11,694.428134252333,689.050688294236,699.455439036029
2,10,710.425030045858,709.277749778733,711.42642403085
3,11,719.635723992846,718.093063417132,721.257921150215
4,10,725.36415824832,724.521733601086,726.072922937698
5,11,729.69221010188,728.879635686632,730.660275776345
6,10,736.743640495871,735.626085913203,737.878560789613
7,10,743.481487873443,742.673017105024,744.21284669882
8,11,747.961768361127,746.983597477922,749.150728855552
9,10,754.908656791042,753.210498017824,757.013629865096
10,11,781.688942426779,768.756426542824,796.837884206464
