decile,n,mean_pct,lo_pct,hi_pct
1,166,-74.0221605195642,-74.0723155225102,-73.9703994732471
2,166,-73.1886629196869,-73.2247329198675,-73.1569273888014
3,166,-72.4850458542234,-72.5187059901985,-72.4525135727667
4,166,-71.839073572806,-71.8724695711084,-71.8102922763506
5,166,-71.0228925009344,-71.0629635281826,-70.9845478870336
6,166,-69.6991959064825,-69.7750178750518,-69.6289489934693
7,166,-67.7588658772225,-67.8404825549484,-67.6803612013254
8,166,-66.2085740531088,-66.2565007825726,-66.1587222419033
9,166,-65.1474267347374,-65.1915456597922,-65.1022673580009
10,166,-63.8069184659526,-63.9277524040983,-63.685786889849
