decile,n,mean_pct,lo_pct,hi_pct
1,256,-8.83027460719856,-8.99322333469888,-8.67411818113229
2,256,-6.35333276834077,-6.41901836708059,-6.2963656228773
3,256,-4.79005357424256,-4.84445252409162,-4.7400563262626
4,256,-3.52114511312459,-3.55883018310807,-3.48112348954093
5,256,-2.46142555240587,-2.49825027468539,-2.42461151267099
6,255,-1.26013168649017,-1.30360965292248,-1.21800588876891
7,256,0.0510359068997457,0.00310480448774262,0.0990795935460258
8,256,1.42984185812138,1.38012183959474,1.4825357243727
9,256,2.79981100404088,2.75397169206809,2.84801831649649
10,256,4.89036242183838,4.76128147265351,5.03538759679048
