decile,n,mean_pct,lo_pct,hi_pct
1,317,-53.64524985038,-53.8291199873232,-53.4904193853278
2,317,-49.6131032192652,-49.6968917141231,-49.5214600988572
3,316,-47.3638995855836,-47.4221619351716,-47.3056502394711
4,317,-45.2081780541303,-45.2820883610823,-45.1219645996072
5,316,-43.0230923852637,-43.0848329399907,-42.9564481632895
6,317,-41.0985240537724,-41.1604794407288,-41.0442367426146
7,316,-39.1848025293718,-39.2528781140688,-39.1276010885273
8,317,-36.7368114404307,-36.8273521416086,-36.658994476775
9,316,-34.1012529572791,-34.1872078771642,-34.0095951744872
10,317,-30.0315854905292,-30.2492549331582,-29.8104416564775
